Date,Open,High,Low,Close,Volume
7/18/2022,11.0,11.0,11.0,11.0,1
7/19/2022,12.1,12.1,12.1,12.1,1
7/20/2022,13.3,13.3,13.3,13.3,1
7/21/2022,14.6,14.6,14.6,14.6,1
7/24/2022,16.0,16.0,16.0,16.0,1
7/25/2022,17.6,17.6,17.6,17.6,1
7/26/2022,19.3,19.3,19.3,19.3,27261
7/27/2022,21.2,21.2,21.2,21.2,1
7/28/2022,23.3,23.3,23.3,23.3,1
7/31/2022,25.6,25.6,25.6,25.6,1
8/1/2022,28.1,28.1,28.1,28.1,1
8/2/2022,30.9,30.9,30.9,30.9,1
8/3/2022,33.9,33.9,33.9,33.9,77555
8/4/2022,37.2,37.2,37.2,37.2,179813
8/7/2022,40.9,40.9,40.9,40.9,135591
8/8/2022,44.9,44.9,44.9,44.9,252037
8/10/2022,49.3,49.3,46.5,49.3,7715918
8/11/2022,50.8,54.1,50.7,51.6,1554064
8/14/2022,50.2,52.6,49.4,49.6,2378923
8/16/2022,49.6,50.0,47.4,48.5,1340637
8/17/2022,48.9,50.9,48.2,49.2,1444262
8/21/2022,49.5,50.5,46.7,47.6,1663731
8/22/2022,47.9,48.2,44.5,45.0,1099471
8/23/2022,47.0,47.0,42.3,42.6,993392
8/24/2022,44.0,44.8,41.3,41.9,728414
8/25/2022,43.2,44.1,42.0,42.9,670439
8/28/2022,44.0,44.0,38.7,39.1,813492
8/29/2022,41.3,41.5,39.4,40.4,692720
8/30/2022,39.1,42.5,39.1,41.5,494365
8/31/2022,43.0,43.0,39.1,39.5,493970
9/1/2022,41.2,41.2,38.2,38.6,556998
9/4/2022,40.7,40.7,38.3,38.6,549647
9/5/2022,40.3,41.4,39.2,39.8,711759
9/6/2022,41.5,41.5,38.5,38.9,234835
9/7/2022,39.9,39.9,35.2,36.2,464972
9/8/2022,33.5,37.5,33.5,36.0,262950
9/11/2022,34.6,37.7,34.6,36.7,245720
9/12/2022,36.3,39.2,36.1,38.0,220625
9/13/2022,39.0,40.9,39.0,39.2,358820
9/14/2022,43.0,43.0,38.5,38.7,226309
9/15/2022,39.7,42.3,39.4,42.1,714104
9/18/2022,43.0,43.0,39.2,39.9,292792
9/19/2022,41.4,41.4,37.1,37.5,474152
9/20/2022,39.0,39.0,35.0,35.5,497584
9/21/2022,35.4,36.5,35.1,35.9,203586
9/22/2022,38.0,38.0,34.6,34.9,271706
9/25/2022,36.8,36.8,34.0,34.1,158825
9/26/2022,36.8,36.8,33.2,33.4,157940
9/27/2022,34.4,36.7,33.4,36.5,404811
9/28/2022,37.5,39.4,36.6,36.8,194206
9/29/2022,37.6,37.6,35.0,35.3,142553
10/2/2022,36.8,36.8,33.9,34.5,281402
10/3/2022,35.7,35.7,33.5,33.7,156327
10/4/2022,35.7,35.7,33.3,33.6,111325
10/6/2022,33.2,34.5,32.7,33.2,109932
10/10/2022,33.3,34.0,30.4,31.3,126077
10/11/2022,30.2,34.2,30.2,33.3,207136
10/12/2022,34.8,36.5,34.0,35.4,471683
10/13/2022,36.9,38.0,33.8,33.9,242760
10/16/2022,35.5,35.5,32.4,33.3,151326
10/17/2022,34.9,34.9,32.2,32.5,242972
10/18/2022,34.4,34.4,30.4,30.6,105015
10/19/2022,32.1,32.1,28.9,29.0,93239
10/20/2022,30.5,30.5,28.3,29.7,124713
10/23/2022,30.2,30.6,28.7,28.9,67734
10/24/2022,30.0,30.0,28.2,29.1,7109
10/25/2022,28.2,29.9,28.2,28.7,30115
10/26/2022,29.9,29.9,28.0,28.7,35871
10/27/2022,30.2,30.2,28.9,30.1,98264
10/30/2022,31.0,31.0,27.9,28.1,107615
10/31/2022,30.5,30.5,26.1,26.5,40834
11/1/2022,24.2,27.0,23.9,24.8,232569
11/2/2022,25.6,26.5,24.7,26.2,100230
11/3/2022,26.2,28.0,25.5,25.8,101043
11/6/2022,25.8,27.1,24.6,25.0,84796
11/7/2022,25.0,25.9,23.9,24.2,90608
11/8/2022,23.9,26.6,23.9,25.6,134207
11/9/2022,25.9,28.1,25.5,26.8,206161
11/10/2022,26.9,28.8,26.1,27.1,130097
11/13/2022,26.2,29.2,26.2,28.2,399495
11/14/2022,27.4,28.9,26.8,27.0,188741
11/15/2022,28.0,28.0,24.6,25.3,20994
11/16/2022,24.7,25.9,23.9,25.0,58308
11/17/2022,27.5,27.5,27.5,27.5,42944
11/20/2022,29.9,29.9,25.7,25.8,271182
11/21/2022,27.5,27.5,24.7,24.9,32540
11/22/2022,24.1,26.7,24.1,25.5,12163
11/23/2022,27.4,27.4,24.7,25.0,121151
11/24/2022,27.5,27.5,25.2,25.5,81497
11/27/2022,26.2,27.5,24.9,26.3,127824
11/28/2022,28.0,28.0,25.6,25.6,35070
11/29/2022,25.3,26.5,25.3,26.0,22167
12/1/2022,27.8,27.8,25.8,26.0,43992
12/4/2022,26.3,26.3,24.7,25.2,218114
12/5/2022,26.5,26.5,24.3,24.6,24989
12/6/2022,25.1,25.1,23.5,24.0,28659
12/7/2022,25.8,25.8,23.8,24.2,663
12/8/2022,24.2,24.2,22.7,23.1,25303
12/11/2022,22.7,24.9,22.7,23.4,7860
12/12/2022,23.5,24.1,23.5,24.0,34872
12/13/2022,24.3,25.0,24.0,24.1,95778
12/14/2022,23.4,24.5,23.4,24.3,2007
12/15/2022,25.0,25.0,23.5,23.9,24032
