Date,Open,High,Low,Close,Volume
6/6/2023,19.3,19.3,19.3,19.3,1
6/7/2023,21.2,21.2,21.2,21.2,4903
6/8/2023,23.3,23.3,23.3,23.3,1
6/11/2023,25.6,25.6,25.6,25.6,151
6/12/2023,28.1,28.1,28.1,28.1,10063
6/13/2023,30.9,30.9,30.9,30.9,19482
6/14/2023,33.9,33.9,33.9,33.9,22064
6/15/2023,37.2,37.2,31.4,37.2,1611670
6/18/2023,40.9,40.9,33.5,34.9,869893
6/19/2023,33.0,35.9,33.0,35.1,585045
6/20/2023,35.9,36.0,32.9,33.2,436640
6/21/2023,33.4,35.0,33.3,33.7,285457
6/22/2023,34.9,37.0,33.9,37.0,537787
6/25/2023,39.4,40.0,37.5,39.8,413000
6/26/2023,43.5,43.5,39.0,39.9,223719
7/2/2023,42.9,42.9,39.5,40.4,387319
7/3/2023,41.7,41.7,38.2,38.9,356672
7/4/2023,39.9,42.7,38.3,42.7,852785
7/5/2023,40.2,46.8,40.2,46.2,382976
7/6/2023,46.5,46.5,44.3,44.5,168595
7/9/2023,47.1,51.5,47.1,48.6,453366
7/10/2023,49.9,50.0,45.1,46.0,301701
7/11/2023,48.0,48.7,46.1,47.0,277453
7/12/2023,48.9,51.7,46.8,51.7,420880
7/13/2023,56.3,56.8,56.3,56.8,237794
7/16/2023,58.5,58.9,51.4,52.2,906359
7/17/2023,52.0,55.7,51.2,51.6,336999
7/18/2023,51.0,53.4,49.6,49.8,332802
7/19/2023,50.1,51.2,49.7,51.2,15303
7/20/2023,49.0,51.0,48.4,48.8,172005
7/23/2023,49.4,49.4,46.0,46.5,191582
7/24/2023,50.0,50.0,42.8,43.4,350112
7/25/2023,44.9,46.8,44.0,45.0,54410
7/26/2023,45.2,47.3,44.6,45.7,149354
7/27/2023,47.0,48.6,46.6,46.7,161083
8/2/2023,44.6,47.8,44.6,46.1,123167
8/3/2023,45.1,47.0,44.6,45.2,142031
