Date,Open,High,Low,Close,Volume
10/1/2012,12.40981241,13.03511304,12.02501203,12.74651275,131500
10/2/2012,13.08321308,13.46801347,12.50601251,12.79461279,188500
10/3/2012,12.89081289,12.89081289,11.83261183,11.97691198,99000
10/4/2012,11.97691198,12.02501203,11.68831169,11.68831169,48500
10/7/2012,12.07311207,12.50601251,11.3035113,11.4959115,74500
10/8/2012,11.54401154,11.64021164,10.77441077,10.96681097,38000
10/9/2012,11.78451178,11.92881193,11.4959115,11.83261183,55000
10/10/2012,12.31361231,12.31361231,11.20731121,11.3035113,49000
10/11/2012,11.44781145,11.44781145,10.96681097,11.11111111,30500
10/14/2012,11.06301106,11.20731121,10.48581049,10.58201058,32000
10/15/2012,10.1972102,10.87061087,10.1972102,10.67821068,39000
10/16/2012,10.82251082,10.82251082,10.48581049,10.58201058,18000
10/17/2012,10.96681097,11.01491101,10.29341029,10.43771044,12000
10/18/2012,10.96681097,11.44781145,10.96681097,11.44781145,121500
10/21/2012,12.50601251,12.50601251,11.59211159,11.68831169,160000
10/22/2012,11.83261183,11.83261183,11.11111111,11.20731121,22500
10/23/2012,11.3035113,11.44781145,10.53391053,10.72631073,77000
10/30/2012,10.82251082,10.82251082,10.24531025,10.29341029,86500
10/31/2012,10.34151034,10.34151034,9.860509861,10.00481,36500
11/1/2012,10.63011063,10.96681097,10.1010101,10.91871092,87000
11/4/2012,10.77441077,10.87061087,10.48581049,10.63011063,52000
11/5/2012,10.43771044,10.53391053,10.1010101,10.14911015,45000
11/6/2012,9.812409812,10.43771044,9.812409812,10.24531025,61500
11/8/2012,10.1010101,10.1010101,9.764309764,9.908609909,83500
11/11/2012,10.05291005,10.1972102,9.716209716,9.764309764,100500
11/12/2012,10.00481,10.00481,9.668109668,9.812409812,38000
11/13/2012,9.716209716,10.63011063,9.716209716,10.53391053,46500
11/14/2012,10.00481,10.34151034,9.860509861,10.05291005,24000
11/15/2012,9.62000962,10.00481,9.62000962,9.812409812,68500
11/18/2012,9.716209716,10.1010101,9.62000962,9.908609909,57500
11/19/2012,9.668109668,9.668109668,9.427609428,9.523809524,25000
11/20/2012,9.37950938,9.668109668,9.139009139,9.37950938,18000
11/21/2012,9.62000962,9.62000962,9.139009139,9.187109187,27000
11/22/2012,9.956709957,9.956709957,9.235209235,9.37950938,11000
11/26/2012,9.475709476,9.475709476,9.042809043,9.139009139,13000
11/27/2012,9.139009139,9.37950938,9.090909091,9.187109187,10500
11/28/2012,9.187109187,9.235209235,8.898508899,9.042809043,15000
11/29/2012,8.946608947,9.571909572,8.946608947,9.475709476,40500
12/2/2012,9.716209716,9.716209716,9.042809043,9.139009139,29500
12/3/2012,10.00481,10.00481,9.042809043,9.331409331,5500
12/4/2012,9.187109187,9.235209235,9.042809043,9.139009139,9000
12/5/2012,8.946608947,9.139009139,8.85040885,8.946608947,10500
12/6/2012,8.802308802,8.802308802,8.561808562,8.60990861,21500
12/9/2012,8.658008658,8.658008658,8.273208273,8.369408369,23000
12/10/2012,8.177008177,8.417508418,8.128908129,8.321308321,21000
12/11/2012,8.417508418,8.417508418,8.177008177,8.273208273,2500
12/12/2012,8.513708514,8.513708514,8.273208273,8.321308321,6500
12/13/2012,8.225108225,8.273208273,8.177008177,8.177008177,17000
12/17/2012,8.369408369,8.369408369,8.225108225,8.273208273,19500
12/18/2012,8.273208273,8.369408369,8.273208273,8.273208273,10500
12/19/2012,8.417508418,8.85040885,8.417508418,8.513708514,21500
12/20/2012,8.60990861,8.658008658,8.369408369,8.465608466,15000
12/23/2012,8.417508418,8.465608466,8.225108225,8.273208273,16000
12/24/2012,8.465608466,8.465608466,8.273208273,8.321308321,4000
12/26/2012,8.225108225,8.417508418,8.225108225,8.321308321,7500
12/27/2012,8.225108225,8.369408369,8.177008177,8.177008177,17500
12/30/2012,8.417508418,8.417508418,8.273208273,8.369408369,3000
1/1/2013,8.273208273,8.321308321,8.177008177,8.177008177,20500
1/2/2013,8.177008177,8.273208273,8.080808081,8.177008177,15000
1/3/2013,8.080808081,8.177008177,8.080808081,8.128908129,5500
1/6/2013,8.128908129,8.128908129,8.080808081,8.080808081,2500
1/7/2013,8.080808081,8.080808081,7.936507937,7.984607985,23500
1/8/2013,8.177008177,8.177008177,8.032708033,8.032708033,6500
1/9/2013,8.032708033,8.128908129,8.032708033,8.032708033,13000
1/10/2013,8.080808081,8.177008177,8.080808081,8.080808081,10000
1/13/2013,7.936507937,8.032708033,7.936507937,7.984607985,13500
1/14/2013,7.984607985,8.080808081,7.984607985,8.032708033,11500
1/15/2013,8.080808081,8.128908129,8.032708033,8.032708033,11000
1/16/2013,8.080808081,8.128908129,8.032708033,8.080808081,11500
1/17/2013,8.080808081,8.080808081,8.032708033,8.032708033,7000
1/20/2013,8.080808081,8.080808081,7.984607985,8.032708033,5000
1/21/2013,7.984607985,7.984607985,7.984607985,7.984607985,4500
