Date,Open,High,Low,Close,Volume
9/29/2014,154.0,154.0,154.0,154.0,0
9/30/2014,154.0,154.0,154.0,154.0,0
10/1/2014,154.0,154.0,154.0,154.0,0
10/2/2014,154.0,154.0,154.0,154.0,0
9/30/2021,14.4,14.4,14.4,14.4,18
10/3/2021,17.2,17.2,17.2,17.2,6900
10/4/2021,20.6,20.6,15.6,15.9,40272
10/5/2021,13.0,13.1,13.0,13.0,6000
10/6/2021,10.4,14.4,10.4,10.7,41509
10/7/2021,8.8,9.4,8.7,9.1,23096
10/10/2021,8.6,8.7,8.6,8.6,3500
10/11/2021,8.6,8.6,8.5,8.6,9690
10/12/2021,8.0,8.0,7.1,7.4,9150
10/13/2021,8.1,8.1,8.1,8.1,1
10/14/2021,7.0,7.0,7.0,7.0,10140
10/17/2021,6.6,6.6,6.6,6.6,500
10/18/2021,5.5,5.6,5.5,5.5,4890
10/19/2021,5.5,6.5,5.5,5.7,2915
10/21/2021,5.0,6.7,5.0,5.7,550
10/24/2021,5.7,5.7,5.7,5.7,7500
10/25/2021,6.3,6.3,6.3,6.3,2000
10/26/2021,7.1,7.1,6.0,6.6,21
10/27/2021,0.0,6.6,6.6,6.6,170
11/1/2021,7.8,7.8,7.8,7.8,1
11/2/2021,7.4,8.0,7.3,7.4,10467
11/3/2021,8.4,8.4,7.0,7.0,1211
11/4/2021,7.0,7.0,7.0,7.0,3000
11/7/2021,7.0,8.2,7.0,7.0,62
11/8/2021,7.3,7.9,7.3,7.3,1603
11/9/2021,7.3,7.9,7.0,7.3,622
11/10/2021,7.2,7.9,7.2,7.3,1845
11/11/2021,7.1,7.1,7.1,7.1,290
11/14/2021,7.0,7.0,7.0,7.0,5244
11/15/2021,7.0,7.0,6.9,7.0,14079
11/16/2021,7.2,8.0,7.2,7.2,12253
11/17/2021,7.1,7.2,7.1,7.1,1000
11/18/2021,7.1,7.1,7.1,7.1,5730
11/21/2021,7.2,7.4,7.2,7.4,2030
11/22/2021,7.1,7.8,7.1,7.1,3481
11/28/2021,7.0,7.0,7.0,7.0,1085
11/29/2021,7.0,7.0,7.0,7.0,867
11/30/2021,6.5,6.7,6.5,6.6,2116
12/1/2021,6.8,6.9,6.8,6.8,2015
12/2/2021,5.6,6.6,5.6,6.3,6175
12/5/2021,6.1,6.1,6.1,6.1,1000
12/8/2021,6.3,6.3,6.3,6.3,12000
12/9/2021,6.0,6.0,6.0,6.0,1
12/12/2021,6.5,6.5,5.2,6.3,3002
12/13/2021,7.5,7.5,7.5,7.5,1000
12/14/2021,7.5,7.5,7.5,7.5,105
12/19/2021,7.5,7.5,7.5,7.5,101
12/20/2021,7.0,8.2,7.0,7.0,501
12/21/2021,6.6,7.0,6.6,6.6,5500
12/22/2021,6.9,7.7,6.9,7.0,29725
12/23/2021,7.0,8.0,6.7,7.1,29145
12/26/2021,7.1,7.1,7.0,7.0,40000
12/27/2021,6.0,6.0,6.0,6.0,1000
12/28/2021,5.5,5.5,5.5,5.5,190
12/29/2021,5.5,6.0,5.5,5.5,246
12/30/2021,5.6,6.0,5.6,5.9,1554
1/4/2022,6.0,6.5,5.5,6.0,26000
1/5/2022,5.6,6.7,5.6,6.0,58286
1/6/2022,6.1,6.2,6.1,6.1,5640
1/9/2022,6.2,6.2,6.2,6.2,10100
1/10/2022,5.9,6.0,5.8,5.9,31030
1/11/2022,5.7,5.9,5.7,5.7,3630
1/16/2022,5.4,5.4,5.4,5.4,1220
1/17/2022,5.4,6.0,5.4,5.5,533
1/18/2022,5.6,5.6,5.5,5.6,14570
1/19/2022,5.6,5.6,5.6,5.6,5000
1/20/2022,5.6,5.9,5.6,5.8,13050
1/23/2022,5.5,5.5,5.5,5.5,210
1/25/2022,5.8,5.8,5.8,5.8,2
1/27/2022,5.7,6.8,5.7,5.7,502
1/31/2022,6.0,6.0,5.8,5.9,5000
2/2/2022,6.0,6.0,6.0,6.0,1000
2/6/2022,6.5,6.5,6.5,6.5,5000
2/7/2022,6.5,6.6,6.1,6.4,21500
2/8/2022,6.0,6.0,6.0,6.0,3670
2/9/2022,5.8,7.2,5.8,6.6,2740
2/10/2022,7.5,7.5,5.8,6.0,2100
2/13/2022,5.6,7.1,5.6,6.4,13371
2/14/2022,6.5,6.5,6.0,6.0,2000
2/15/2022,7.0,7.0,7.0,7.0,70
2/16/2022,8.2,8.2,6.0,6.5,26005
2/20/2022,5.7,5.7,5.7,5.7,4998
2/22/2022,5.6,5.6,5.5,5.5,25360
2/23/2022,5.6,5.6,5.6,5.6,140
2/28/2022,5.6,5.6,5.5,5.5,120
3/1/2022,6.0,6.0,6.0,6.0,5
3/2/2022,6.0,6.0,6.0,6.0,1070
3/3/2022,5.6,5.6,5.6,5.6,1000
3/6/2022,6.1,6.1,6.1,6.1,2000
3/7/2022,6.0,6.0,5.6,5.7,12500
3/8/2022,5.0,5.7,4.9,5.6,2170
3/9/2022,6.0,6.3,6.0,6.2,200
3/10/2022,5.6,5.6,5.6,5.6,760
3/13/2022,5.6,5.6,5.6,5.6,2000
3/14/2022,6.1,6.7,5.6,6.2,3565
3/15/2022,5.8,7.4,5.8,7.2,38987
3/16/2022,7.2,8.6,7.2,8.6,63318
3/20/2022,7.8,10.3,7.8,9.2,23385
3/21/2022,8.8,11.0,8.8,10.7,55453
3/22/2022,10.9,12.8,10.9,12.8,102792
3/23/2022,12.5,15.1,11.9,12.4,51979
3/24/2022,12.0,13.9,11.7,12.2,39624
3/27/2022,12.0,14.6,12.0,14.6,73746
3/28/2022,14.0,16.9,14.0,16.1,81284
3/29/2022,16.1,18.4,14.6,15.0,275858
3/30/2022,14.5,16.4,13.5,15.0,125975
3/31/2022,13.3,18.0,13.3,18.0,220410
4/3/2022,20.0,20.0,15.4,18.4,145725
4/4/2022,18.0,22.0,17.1,21.5,1044845
4/5/2022,22.0,25.8,21.6,25.6,1064961
4/6/2022,26.0,27.5,22.1,22.7,1397572
4/7/2022,20.4,22.5,18.7,22.3,741381
4/10/2022,22.6,22.7,20.4,20.5,158175
4/11/2022,18.8,20.2,18.6,19.1,213294
4/12/2022,18.3,21.0,18.2,21.0,619001
4/13/2022,21.2,22.4,19.4,21.5,552375
4/17/2022,21.9,22.9,21.1,21.4,416807
4/18/2022,21.8,21.8,19.8,20.1,204401
4/19/2022,19.3,21.5,19.3,21.1,258882
4/20/2022,20.7,21.0,20.1,20.7,314253
4/21/2022,20.2,21.2,19.5,19.9,339995
4/24/2022,20.7,20.7,18.8,18.9,199357
4/25/2022,19.8,19.8,18.2,19.3,129301
4/26/2022,19.6,19.6,18.0,18.2,194896
4/27/2022,18.1,18.2,17.6,17.8,140833
4/28/2022,17.8,18.5,17.5,18.1,121650
5/5/2022,18.5,18.6,17.2,17.4,33710
5/8/2022,18.5,18.5,17.2,17.2,73514
5/9/2022,16.4,17.9,16.4,17.8,72612
5/10/2022,18.0,18.0,17.2,17.2,79637
5/11/2022,17.0,17.1,16.2,16.3,78003
5/12/2022,16.3,16.4,15.7,15.8,21204
5/16/2022,16.6,16.6,14.8,14.9,18101
5/17/2022,15.9,15.9,13.5,13.7,101596
5/18/2022,14.8,14.8,12.5,13.3,140918
5/19/2022,13.0,14.4,12.8,14.2,116993
5/22/2022,14.0,14.7,13.1,13.3,38176
5/23/2022,13.9,14.5,13.4,14.4,81414
5/24/2022,14.0,15.0,13.7,13.8,36398
5/26/2022,13.4,13.6,13.1,13.5,51050
5/29/2022,13.5,14.8,13.5,14.7,151309
5/30/2022,15.9,15.9,14.1,14.2,37421
5/31/2022,15.4,15.4,13.4,13.6,113215
6/9/2022,23.7,24.2,23.7,24.2,462857
6/12/2022,24.0,26.6,24.0,26.3,1542248
6/13/2022,27.3,27.8,23.7,24.1,900544
6/14/2022,22.5,24.7,22.5,23.8,319290
6/15/2022,24.0,26.1,24.0,25.4,469563
6/16/2022,26.0,27.9,25.0,27.9,1103126
6/19/2022,27.2,30.6,27.2,30.6,1263450
6/20/2022,30.8,33.6,30.8,33.6,332113
6/21/2022,36.9,36.9,36.9,36.9,463028
6/22/2022,40.5,40.5,40.5,40.5,135871
6/23/2022,44.5,44.5,44.5,44.5,113990
6/26/2022,48.9,48.9,40.1,44.8,2808399
6/27/2022,41.1,47.0,41.0,43.3,268539
6/28/2022,45.0,46.9,42.6,45.1,730890
6/29/2022,49.6,49.6,45.0,48.6,923377
6/30/2022,53.4,53.4,46.2,46.6,379821
7/3/2022,51.0,51.0,44.1,45.8,636284
7/4/2022,47.0,47.3,44.9,45.3,245835
7/5/2022,45.3,45.3,42.1,42.5,445414
7/6/2022,44.0,44.0,39.9,41.6,504391
7/7/2022,44.9,45.2,41.2,44.4,652346
7/12/2022,44.9,47.8,44.3,45.9,574610
7/13/2022,45.0,45.5,42.7,43.0,420204
7/14/2022,42.6,43.9,41.2,42.7,257108
7/17/2022,41.8,42.8,39.0,40.6,102228
7/18/2022,41.0,41.0,36.6,36.9,287237
7/19/2022,33.3,39.0,33.3,37.0,710622
7/20/2022,39.4,39.4,34.3,35.1,511385
7/21/2022,36.0,38.6,34.4,38.6,614849
7/24/2022,38.1,41.5,37.6,38.9,354746
7/25/2022,38.5,38.9,36.1,38.5,244676
7/26/2022,40.5,40.5,36.6,37.3,174930
7/27/2022,41.0,41.0,35.5,35.8,180287
7/28/2022,39.3,39.3,32.6,33.1,355697
7/31/2022,30.5,36.2,30.3,35.9,573421
8/1/2022,37.7,38.0,35.0,36.7,247535
8/2/2022,36.4,37.0,35.0,35.6,436282
8/3/2022,34.8,36.3,34.8,35.4,240035
8/4/2022,36.5,37.5,36.0,36.6,376812
8/7/2022,36.9,36.9,35.1,35.5,256433
8/8/2022,35.9,38.7,35.8,36.8,478760
8/10/2022,36.8,39.0,36.6,38.5,533316
8/11/2022,39.9,41.4,38.0,40.0,607238
8/14/2022,41.0,41.0,37.0,37.3,515190
8/16/2022,38.8,38.8,34.4,34.8,1021753
8/17/2022,35.8,35.9,34.4,34.9,719128
8/21/2022,35.4,36.9,33.5,34.0,809768
8/22/2022,36.9,36.9,33.3,33.6,352360
8/23/2022,35.5,35.5,30.7,31.3,540434
8/24/2022,32.9,32.9,31.7,31.8,569417
8/25/2022,34.8,34.8,31.9,32.1,414690
8/28/2022,34.0,34.0,30.3,31.5,288080
8/29/2022,33.3,33.3,28.4,29.0,838168
8/30/2022,31.4,31.9,26.1,31.9,2546605
8/31/2022,32.0,34.6,29.5,30.7,782031
9/1/2022,30.5,30.8,28.2,28.8,1353011
9/4/2022,29.0,29.0,26.2,26.4,711360
9/5/2022,27.6,28.5,25.1,26.4,514293
9/6/2022,28.9,28.9,25.4,26.1,222583
9/7/2022,26.0,27.0,25.5,25.6,495920
9/8/2022,26.5,27.9,25.7,26.6,378242
9/11/2022,26.7,27.7,26.3,27.0,258134
9/12/2022,29.4,29.5,27.2,28.8,721679
9/13/2022,30.3,30.3,28.4,29.0,313590
9/14/2022,30.8,30.8,27.0,27.6,365059
9/15/2022,27.3,29.8,27.3,29.6,434508
9/18/2022,31.1,31.1,27.6,27.8,471588
9/19/2022,26.7,29.0,26.5,26.8,289108
9/20/2022,26.3,26.6,24.2,24.5,696233
9/21/2022,25.0,25.9,24.0,24.5,327959
9/22/2022,24.6,26.0,24.6,25.1,303109
9/25/2022,24.7,25.9,22.8,22.9,751929
9/26/2022,24.7,24.7,22.8,23.0,46763
9/27/2022,23.9,25.3,23.0,25.3,395427
9/28/2022,26.9,27.3,25.2,26.1,559978
9/29/2022,26.8,26.8,25.0,25.1,158301
10/2/2022,24.7,25.5,23.1,23.8,209866
10/3/2022,23.8,24.8,23.1,23.4,247585
10/4/2022,24.4,24.4,23.0,23.1,180758
10/6/2022,22.8,23.8,22.7,22.9,122865
10/10/2022,24.2,24.2,21.1,21.8,425228
10/11/2022,21.8,23.9,21.8,23.9,725148
10/12/2022,26.2,26.2,26.2,26.2,50209
10/13/2022,28.8,28.8,28.8,28.8,105393
10/16/2022,31.6,31.6,31.6,31.6,72390
10/17/2022,34.7,34.7,32.2,34.7,2034530
