Date,Open,High,Low,Close,Volume
6/14/2022,11.0,11.0,11.0,11.0,6
6/15/2022,12.1,12.1,12.1,12.1,1001
6/16/2022,13.3,13.3,13.3,13.3,1
6/19/2022,14.6,14.6,14.6,14.6,1
6/20/2022,16.0,16.0,16.0,16.0,260
6/21/2022,17.6,17.6,17.6,17.6,12781
6/22/2022,19.3,19.3,19.3,19.3,1
6/23/2022,21.2,21.2,21.2,21.2,136
6/26/2022,23.3,23.3,23.3,23.3,1
6/27/2022,25.6,25.6,25.6,25.6,4760
6/28/2022,28.1,28.1,28.1,28.1,34627
6/29/2022,30.9,30.9,30.9,30.9,60268
6/30/2022,33.9,33.9,33.9,33.9,137960
7/3/2022,37.2,37.2,37.2,37.2,98855
7/4/2022,40.9,40.9,40.9,40.9,594908
7/5/2022,44.9,44.9,41.2,44.9,4939393
7/6/2022,46.9,49.3,45.7,46.7,1157313
7/7/2022,46.7,51.3,44.9,51.3,2418197
7/12/2022,55.0,56.4,52.8,56.0,1588569
7/13/2022,55.1,57.6,51.8,53.6,1833974
7/14/2022,55.5,56.0,51.1,52.8,1048602
7/17/2022,52.9,53.0,47.6,47.8,1077467
7/18/2022,45.1,48.3,43.1,43.1,1166520
7/19/2022,41.0,46.6,40.3,44.6,991204
7/20/2022,44.2,49.0,44.2,49.0,1543240
7/21/2022,49.0,53.8,48.8,52.8,1481392
7/24/2022,52.0,53.6,48.8,49.7,933261
7/25/2022,49.0,49.7,46.1,48.4,589007
7/26/2022,49.9,49.9,45.0,45.5,511762
7/27/2022,50.0,50.0,44.3,45.3,261965
7/28/2022,49.8,49.8,40.9,42.5,387727
7/31/2022,46.0,46.7,41.6,46.6,538581
8/1/2022,47.6,49.6,46.0,47.5,650942
8/2/2022,46.8,48.7,45.1,45.7,480008
8/3/2022,46.8,47.2,45.2,46.0,381508
8/4/2022,46.7,49.4,46.4,48.2,681900
8/7/2022,49.0,49.0,47.3,48.3,263800
8/8/2022,49.7,51.7,49.1,49.8,1101964
8/10/2022,48.8,53.4,48.6,52.4,1322637
8/11/2022,53.5,54.6,51.7,52.7,1057254
8/14/2022,52.2,52.6,49.2,49.8,458726
8/16/2022,48.8,51.7,48.4,50.6,679782
8/17/2022,52.5,53.5,50.6,51.9,982732
8/21/2022,52.0,52.5,48.0,49.0,428251
8/22/2022,51.0,51.0,47.2,47.6,347365
8/23/2022,47.3,48.8,46.3,46.9,348726
8/24/2022,49.4,49.4,46.5,47.6,263026
8/25/2022,48.0,50.3,47.0,49.7,416212
8/28/2022,51.3,51.3,45.6,46.3,655518
8/29/2022,48.7,48.7,46.0,46.9,137073
8/30/2022,48.9,48.9,46.0,46.8,136342
8/31/2022,49.7,49.7,44.5,45.5,178387
9/1/2022,48.5,48.5,44.0,45.3,107688
9/4/2022,46.5,46.5,42.3,44.0,103209
9/5/2022,45.1,45.5,42.6,44.0,62746
9/6/2022,48.0,48.0,43.0,43.9,181214
9/7/2022,46.5,46.5,41.9,43.0,209275
9/8/2022,44.9,44.9,42.4,42.9,166050
9/11/2022,46.1,46.1,41.2,42.2,48113
9/12/2022,43.6,43.6,41.0,42.7,40606
9/13/2022,43.4,43.9,41.2,42.5,76322
9/14/2022,46.7,46.7,41.6,42.4,73260
9/15/2022,44.0,46.0,42.2,45.4,155874
9/18/2022,45.6,47.0,43.0,43.0,113496
9/19/2022,43.0,43.0,40.7,41.0,151574
9/20/2022,41.1,41.1,38.0,39.1,294770
9/21/2022,43.0,43.0,39.3,42.6,153762
9/22/2022,38.4,43.7,38.4,42.7,52463
9/25/2022,38.5,44.8,38.5,40.7,62320
9/26/2022,43.9,43.9,40.5,41.3,27596
9/27/2022,45.0,45.0,41.0,43.9,73726
9/28/2022,45.3,45.3,43.0,43.4,36110
9/29/2022,44.7,44.8,40.1,40.7,28691
10/2/2022,43.0,43.0,39.9,41.3,19491
10/3/2022,41.0,41.1,38.9,40.3,16910
10/4/2022,44.0,44.0,39.8,40.5,10192
10/6/2022,38.6,40.5,38.6,38.9,7887
10/10/2022,36.9,39.8,36.5,38.5,21194
10/11/2022,42.1,42.1,36.9,40.3,83580
10/12/2022,41.0,43.1,39.7,40.4,84851
10/13/2022,42.5,42.5,39.2,39.3,84088
10/16/2022,40.1,42.8,39.8,42.1,144500
10/17/2022,44.9,44.9,40.0,41.4,257533
10/18/2022,41.7,41.7,38.5,40.3,95564
10/19/2022,42.5,42.5,37.5,37.9,50335
10/20/2022,37.3,40.0,37.0,38.9,83424
10/23/2022,40.9,40.9,38.0,39.7,62030
10/24/2022,36.1,39.7,36.1,37.5,4007
10/25/2022,39.7,40.3,38.2,39.8,138118
10/26/2022,38.5,40.7,38.5,39.4,243451
10/27/2022,42.8,42.8,39.3,39.6,75882
10/30/2022,43.0,43.0,37.2,37.4,13810
10/31/2022,39.4,43.0,34.0,36.1,40178
11/1/2022,32.6,38.0,32.6,34.0,30132
11/2/2022,37.2,37.2,34.1,37.0,49472
11/3/2022,39.5,39.5,34.8,36.3,3608
11/6/2022,38.6,38.6,35.0,36.9,4
11/7/2022,34.5,37.5,34.5,34.7,16704
11/8/2022,37.9,37.9,34.2,34.5,5012
11/9/2022,34.2,37.0,34.1,34.3,5513
11/10/2022,37.3,37.7,35.0,37.3,80859
11/13/2022,35.4,39.6,35.4,38.9,20675
11/14/2022,39.4,39.4,36.9,37.0,11360
11/15/2022,35.3,37.9,35.3,36.5,52
11/16/2022,34.4,38.7,34.4,37.7,24756
11/17/2022,39.7,41.4,39.7,41.4,223379
11/20/2022,44.9,45.2,38.0,39.2,41202
11/21/2022,41.0,41.0,36.3,37.0,1080
11/22/2022,36.9,40.4,36.8,36.9,5442
11/23/2022,40.5,40.5,34.1,34.8,12194
11/27/2022,32.0,38.2,32.0,38.1,40503
11/28/2022,40.0,40.9,36.0,40.4,11140
