Date,Open,High,Low,Close,Volume
9/30/2021,213.3,213.3,213.3,213.3,7
10/3/2021,252.7,252.7,240.0,249.6,10050
10/4/2021,220.0,220.0,204.0,205.9,1960
10/5/2021,180.0,180.0,168.0,172.0,400
10/6/2021,147.0,147.0,147.0,147.0,11
10/7/2021,125.5,125.5,120.0,123.8,400
10/10/2021,136.1,146.7,136.1,136.4,205
10/11/2021,160.0,160.0,160.0,160.0,111
10/12/2021,165.0,187.0,165.0,176.0,520
10/13/2021,188.0,188.0,188.0,188.0,1
10/14/2021,155.0,180.0,155.0,155.3,5366
10/17/2021,140.4,140.4,130.0,137.2,2350
10/18/2021,158.0,158.0,123.5,123.9,1601
10/19/2021,112.0,119.0,101.0,103.4,1001
10/21/2021,93.2,93.2,84.3,84.7,240
10/24/2021,89.1,89.1,89.0,89.1,2000
10/25/2021,104.0,104.0,104.0,104.0,1
10/26/2021,119.9,119.9,119.9,119.9,1
11/2/2021,91.0,91.0,91.0,91.0,100
11/3/2021,100.0,100.0,99.9,99.9,309
11/7/2021,93.6,109.8,93.6,102.4,11
11/8/2021,112.0,112.0,112.0,112.0,3
11/9/2021,130.0,130.0,130.0,130.0,1
11/10/2021,140.0,140.0,140.0,140.0,1
11/11/2021,150.0,150.0,150.0,150.0,1
11/15/2021,169.9,169.9,169.9,169.9,1
11/18/2021,199.0,199.0,140.0,155.0,7
11/21/2021,130.0,130.0,130.0,130.0,1
11/22/2021,0.0,130.0,130.0,130.0,1
12/8/2021,107.0,107.0,107.0,107.0,2000
12/9/2021,89.0,89.0,89.0,89.0,1
12/12/2021,71.3,71.3,71.2,71.3,550
12/13/2021,64.2,80.0,64.2,72.2,2200
12/15/2021,73.1,73.1,73.1,73.1,134
12/20/2021,73.0,74.8,71.0,72.9,700
12/21/2021,79.9,80.0,79.9,80.0,250
12/22/2021,67.1,80.5,67.1,79.3,11
12/26/2021,77.0,77.0,77.0,77.0,1
12/27/2021,88.0,91.0,88.0,90.8,3823
1/5/2022,107.0,108.0,90.0,107.7,1026
1/6/2022,126.0,126.0,114.9,115.4,1020
1/9/2022,112.0,112.0,104.0,106.1,3770
1/11/2022,90.0,90.0,90.0,90.0,500
1/12/2022,80.1,95.0,80.1,93.7,11
1/13/2022,109.0,109.0,109.0,109.0,10
1/16/2022,100.0,100.0,100.0,100.0,10
1/17/2022,107.0,107.0,107.0,107.0,10
1/18/2022,103.9,103.9,103.9,103.9,10
1/19/2022,104.0,104.0,104.0,104.0,6000
1/20/2022,107.0,107.0,107.0,107.0,10
1/23/2022,90.0,99.9,90.0,92.0,50
1/24/2022,101.0,101.0,101.0,101.0,10
1/25/2022,103.0,103.0,103.0,103.0,10
1/26/2022,106.0,106.0,90.0,93.7,70
1/27/2022,100.0,105.0,100.0,100.2,420
1/30/2022,110.0,110.0,106.0,106.4,580
1/31/2022,118.0,118.0,118.0,118.0,10
2/1/2022,123.9,123.9,105.0,105.2,910
2/2/2022,105.0,105.0,103.0,103.4,380
2/3/2022,103.5,103.5,103.5,103.5,250
2/6/2022,103.0,104.0,103.0,103.1,65
2/8/2022,104.0,104.0,104.0,104.0,5
2/9/2022,103.0,104.0,103.0,103.3,285
2/10/2022,107.0,107.0,107.0,107.0,95
2/16/2022,104.0,104.0,104.0,104.0,118
2/17/2022,104.0,104.0,104.0,104.0,200
2/20/2022,103.8,103.8,103.8,103.8,2000
2/22/2022,103.9,104.0,103.9,104.0,1500
2/23/2022,104.0,104.0,103.8,104.0,1500
2/24/2022,105.0,105.0,105.0,105.0,100
3/2/2022,105.0,105.0,104.0,104.2,1101
3/6/2022,85.0,100.0,85.0,97.0,750
3/8/2022,106.7,106.7,106.7,106.7,5
3/10/2022,109.7,109.7,90.0,90.1,201
3/13/2022,105.0,105.0,91.0,95.7,196
3/14/2022,104.9,104.9,90.0,90.3,102
3/15/2022,108.0,108.0,108.0,108.0,1
3/16/2022,110.0,124.9,110.0,110.5,727
3/20/2022,96.5,96.5,96.0,96.3,490
3/21/2022,98.7,106.9,98.7,99.1,230
3/22/2022,100.0,100.0,95.0,95.5,1060
3/23/2022,95.0,113.9,94.7,95.2,11861
