Date,Open,High,Low,Close,Volume
10/1/2012,251.0,251.0,247.5,249.65,1050
10/2/2012,250.55,255.0,250.5,251.15,650
10/3/2012,256.0,256.0,256.0,256.0,50
10/4/2012,257.3,257.35,250.5,255.05,150
10/7/2012,248.0,250.05,247.5,249.6,600
10/8/2012,250.0,250.0,249.6,249.9,250
10/9/2012,253.5,253.5,253.45,253.45,1450
10/10/2012,253.5,254.95,250.5,252.65,1450
10/11/2012,253.25,256.0,253.25,254.3,850
10/15/2012,252.5,254.5,252.5,252.6,1000
10/16/2012,251.2,252.5,250.55,251.6,1100
10/17/2012,252.05,252.05,252.0,252.0,100
10/18/2012,252.0,252.0,250.5,251.35,400
10/22/2012,250.0,250.0,250.0,250.0,150
10/23/2012,250.0,252.5,247.5,249.15,850
11/4/2012,248.5,250.0,248.5,249.0,150
11/5/2012,250.0,250.0,249.0,249.8,300
11/6/2012,251.85,251.85,251.8,251.8,100
11/7/2012,247.5,247.55,247.5,247.5,200
11/8/2012,250.0,266.25,250.0,266.05,11800
11/11/2012,274.5,274.5,255.0,266.85,1750
11/12/2012,272.25,272.25,265.5,265.7,2200
11/13/2012,265.8,271.75,265.75,268.75,1600
11/14/2012,270.0,288.9,269.0,288.15,4050
11/15/2012,299.5,309.75,299.5,309.0,11150
11/18/2012,310.0,317.0,309.25,311.5,2650
11/19/2012,295.0,296.5,288.6,292.0,2550
11/20/2012,285.0,287.5,285.0,286.05,2050
11/21/2012,285.0,297.45,283.25,288.2,950
11/22/2012,285.05,293.5,285.0,286.0,550
11/26/2012,277.5,277.5,264.6,271.05,200
11/27/2012,275.0,280.0,268.1,278.4,550
11/28/2012,276.05,279.0,270.5,274.35,650
11/29/2012,287.0,287.5,278.0,281.0,500
12/2/2012,279.5,279.75,274.5,277.4,900
12/3/2012,279.75,284.0,271.5,276.2,350
12/4/2012,267.55,277.4,267.55,271.9,600
12/5/2012,275.0,279.45,272.0,275.1,450
12/6/2012,272.75,273.0,272.75,272.85,200
12/9/2012,261.55,277.95,261.55,267.0,150
12/10/2012,280.0,280.0,268.5,275.0,650
12/11/2012,270.0,273.5,270.0,271.9,400
12/18/2012,260.0,260.0,260.0,260.0,200
12/19/2012,260.5,260.95,260.5,260.7,200
12/20/2012,261.0,264.5,259.25,261.3,700
12/23/2012,255.0,255.0,251.0,252.35,750
12/26/2012,257.55,257.55,257.5,257.5,100
12/27/2012,263.5,267.0,263.5,265.15,650
1/2/2013,265.0,265.0,262.5,263.75,200
1/3/2013,262.5,262.5,255.5,257.55,450
1/6/2013,250.5,265.0,250.5,256.3,750
1/7/2013,256.5,256.5,255.0,255.65,350
1/8/2013,254.0,254.0,252.5,252.85,600
1/9/2013,253.55,253.55,253.0,253.2,500
1/10/2013,253.5,253.5,252.55,253.1,400
1/13/2013,257.0,257.0,257.0,257.0,50
1/14/2013,253.55,254.3,253.5,253.85,300
1/15/2013,253.55,253.55,253.0,253.25,400
1/16/2013,267.5,267.5,255.0,259.55,1850
1/17/2013,262.5,271.75,262.5,270.75,3500
1/20/2013,272.5,275.0,263.15,266.35,1400
1/21/2013,259.0,267.5,259.0,264.45,600
1/22/2013,268.0,268.0,262.05,264.05,1600
1/23/2013,265.0,265.0,264.9,264.95,650
1/24/2013,263.5,263.5,256.0,261.7,1700
1/27/2013,259.0,259.0,256.5,257.5,1700
1/28/2013,261.0,261.25,255.0,258.25,800
1/29/2013,256.0,260.0,256.0,258.6,700
1/30/2013,260.95,260.95,255.25,256.15,950
1/31/2013,256.75,256.75,256.5,256.55,600
2/3/2013,257.5,257.5,254.75,255.7,450
2/4/2013,255.05,255.05,254.05,254.65,900
2/5/2013,254.95,262.5,254.95,256.6,850
2/6/2013,256.5,265.0,256.5,260.4,550
2/7/2013,259.5,262.0,259.5,260.3,2150
2/10/2013,262.5,262.5,261.0,261.5,1650
2/11/2013,260.05,260.15,260.0,260.0,2850
2/12/2013,261.0,261.0,261.0,261.0,50
2/14/2013,261.0,264.0,260.0,262.35,3150
2/17/2013,261.5,261.5,258.05,260.35,1000
2/18/2013,258.35,260.5,258.35,259.4,200
2/19/2013,260.0,264.0,258.0,258.8,600
2/24/2013,255.5,255.5,252.0,253.25,500
2/25/2013,256.0,256.0,255.0,255.25,2000
2/26/2013,259.8,262.25,259.8,261.55,1350
2/27/2013,260.0,263.25,260.0,260.0,3750
2/28/2013,263.75,263.75,260.5,262.65,600
3/4/2013,262.65,262.65,260.15,261.45,2500
3/5/2013,260.0,260.5,260.0,260.15,800
3/6/2013,260.5,275.0,260.5,268.25,5000
3/7/2013,265.0,268.0,265.0,266.55,350
3/11/2013,265.0,267.0,265.0,265.6,1750
3/12/2013,267.5,272.0,267.5,269.9,1450
3/13/2013,272.5,272.5,270.0,270.9,950
3/14/2013,274.4,274.5,265.0,272.25,2550
3/18/2013,272.5,277.25,272.5,274.25,4600
3/19/2013,274.45,274.45,270.5,271.0,6300
3/20/2013,280.0,280.0,268.15,273.35,1500
3/24/2013,269.0,275.0,269.0,272.85,450
3/25/2013,267.55,267.55,265.0,266.05,1200
3/27/2013,265.0,265.0,260.0,263.15,1350
3/28/2013,266.0,267.45,265.0,265.9,1350
4/1/2013,246.25,250.0,246.0,246.3,1250
4/2/2013,250.0,252.5,244.55,250.05,1200
4/3/2013,250.0,250.05,250.0,250.0,2750
4/4/2013,252.5,252.5,252.5,252.5,100
4/7/2013,250.0,253.0,239.0,250.8,1200
4/8/2013,253.0,253.0,252.5,252.7,2200
4/9/2013,250.0,254.25,250.0,253.75,1800
4/10/2013,253.75,253.75,251.55,252.15,1800
4/11/2013,250.0,250.5,248.0,249.55,1350
4/15/2013,248.5,249.05,248.5,248.9,350
4/16/2013,248.0,248.5,248.0,248.05,1800
4/17/2013,255.0,255.0,254.0,254.25,1050
4/18/2013,250.0,250.0,250.0,250.0,750
4/21/2013,255.0,255.0,250.0,252.75,400
4/22/2013,260.0,271.7,260.0,271.65,10600
4/24/2013,298.0,298.0,285.0,295.25,5350
4/25/2013,285.0,292.5,285.0,290.7,3400
4/28/2013,282.6,285.0,282.55,283.15,1550
4/29/2013,283.55,283.55,282.5,283.25,1100
4/30/2013,289.5,304.4,288.45,293.4,1850
5/2/2013,304.5,304.5,290.5,297.2,2350
5/5/2013,297.0,297.2,288.0,296.5,1300
5/6/2013,295.0,302.0,288.5,300.3,3250
5/7/2013,312.0,312.0,295.0,298.6,1650
5/8/2013,295.55,298.0,291.55,294.95,1300
5/9/2013,312.5,312.5,296.05,301.0,1150
5/12/2013,301.0,306.25,301.0,303.95,600
5/13/2013,285.5,309.75,285.5,291.1,1500
5/14/2013,312.0,312.9,310.05,312.7,7400
5/15/2013,312.5,316.0,310.0,310.2,4500
5/16/2013,315.0,333.45,315.0,329.05,4200
5/19/2013,328.5,350.0,328.5,349.5,3350
5/20/2013,350.0,353.0,336.55,351.65,4500
5/21/2013,340.05,352.45,340.05,348.85,3800
5/22/2013,348.0,356.75,345.0,347.25,1650
5/26/2013,345.0,349.5,345.0,348.6,1050
5/27/2013,340.05,347.0,340.0,343.8,500
5/28/2013,350.0,350.0,341.05,346.4,1900
5/29/2013,347.5,352.5,347.0,349.8,2250
5/30/2013,353.5,364.0,352.5,357.8,4500
6/2/2013,347.75,349.5,347.5,348.0,1900
6/3/2013,350.0,357.5,350.0,356.45,4800
6/4/2013,362.0,362.0,357.5,358.6,1600
6/5/2013,355.5,356.0,343.5,355.0,3150
6/6/2013,350.0,374.85,350.0,361.15,5400
6/9/2013,347.05,350.0,347.05,348.4,250
6/11/2013,347.0,361.0,346.6,358.2,5050
6/12/2013,357.5,357.5,355.35,355.75,3300
6/13/2013,359.5,362.5,359.5,360.9,1000
6/16/2013,350.5,351.75,350.05,351.2,950
6/17/2013,340.05,350.5,340.05,347.85,200
6/18/2013,350.5,350.5,350.0,350.05,1700
6/19/2013,355.0,357.5,345.0,352.35,11100
6/20/2013,345.25,346.05,345.25,345.75,150
6/23/2013,342.45,357.5,342.45,351.3,1450
6/24/2013,354.9,354.9,354.75,354.8,100
6/26/2013,361.7,362.5,355.0,359.3,6250
6/27/2013,360.0,360.0,355.0,359.7,5850
6/30/2013,357.5,362.25,357.0,358.15,2950
7/2/2013,362.5,373.5,362.5,364.65,1150
7/3/2013,371.5,375.0,369.95,373.05,1650
7/4/2013,355.0,355.0,355.0,355.0,150
7/7/2013,352.55,359.5,352.5,354.55,300
7/8/2013,355.0,355.0,355.0,355.0,250
7/9/2013,355.0,355.6,355.0,355.15,1250
7/10/2013,352.65,356.0,352.65,354.4,300
7/11/2013,355.25,367.5,355.0,355.85,5650
7/14/2013,355.5,359.5,355.5,356.5,450
7/15/2013,353.1,362.5,353.1,358.85,600
7/17/2013,369.5,370.0,365.0,367.75,2850
7/18/2013,368.0,368.0,357.6,364.5,150
7/21/2013,356.0,356.0,346.25,349.3,600
7/23/2013,355.0,359.5,337.5,353.35,800
7/24/2013,350.0,361.95,350.0,350.25,4100
7/25/2013,350.0,355.0,350.0,352.6,500
7/28/2013,355.0,357.5,355.0,356.65,300
7/29/2013,357.5,360.0,357.5,359.1,1150
7/30/2013,357.5,359.5,355.5,357.6,2050
7/31/2013,373.5,384.4,373.5,384.2,12650
8/1/2013,409.5,413.0,400.0,413.0,36350
8/4/2013,415.5,415.5,392.5,403.65,2200
8/5/2013,400.0,404.45,390.0,399.6,4650
8/12/2013,420.0,420.0,395.0,401.25,3200
8/13/2013,412.5,412.5,393.1,396.65,1600
8/14/2013,397.0,404.0,390.25,399.0,4000
8/18/2013,395.5,395.5,395.0,395.0,5050
8/19/2013,395.05,406.5,395.0,401.75,4450
8/20/2013,409.5,410.0,402.5,406.0,3550
