Date,Open,High,Low,Close,Volume
10/1/2012,29.2,30.0,28.5,29.65,126750
10/2/2012,30.025,30.8,30.0,30.1,133850
10/3/2012,30.0,30.5,29.6,29.725,161100
10/4/2012,29.35,30.45,29.2,29.525,141450
10/7/2012,28.6,30.2,28.6,28.825,101300
10/8/2012,28.5,29.475,28.0,28.2,127500
10/9/2012,29.7,29.7,28.525,29.25,100550
10/10/2012,30.0,30.0,28.5,28.65,82250
10/11/2012,28.225,28.9,28.2,28.325,71950
10/14/2012,28.1,28.6,27.6,27.725,119100
10/15/2012,28.5,28.5,27.725,27.8,75600
10/16/2012,28.2,28.2,27.6,27.825,58250
10/17/2012,28.5,28.5,27.35,27.475,73650
10/18/2012,27.25,27.8,27.25,27.575,40500
10/21/2012,27.625,27.8,27.0,27.125,54700
10/22/2012,27.15,27.3,27.0,27.1,62050
10/23/2012,27.1,27.8,27.1,27.35,64300
10/30/2012,26.025,27.975,26.025,27.125,36700
10/31/2012,27.025,27.2,26.8,26.85,44500
11/1/2012,26.25,27.5,26.25,26.75,35950
11/4/2012,26.75,27.2,26.325,26.4,59850
11/5/2012,26.25,26.8,26.2,26.275,53400
11/6/2012,26.35,26.4,26.0,26.1,59250
11/7/2012,26.1,26.2,25.525,25.6,80400
11/8/2012,25.5,27.825,25.5,27.825,131300
11/11/2012,29.9,30.25,28.2,29.275,474450
11/12/2012,29.25,29.7,27.8,28.25,125400
11/13/2012,27.675,28.8,27.675,28.4,75050
11/14/2012,29.0,29.0,27.875,28.075,61200
11/15/2012,28.025,28.575,28.025,28.425,76300
11/18/2012,28.4,28.625,27.975,28.025,64300
11/19/2012,27.8,27.9,27.15,27.2,68650
11/20/2012,26.875,27.45,26.575,26.625,59750
11/21/2012,27.4,27.4,26.375,26.55,43700
11/22/2012,27.0,27.0,26.2,26.275,81850
11/26/2012,26.275,26.85,25.925,26.025,43000
11/27/2012,25.925,26.2,25.7,25.9,45400
11/28/2012,26.3,26.3,25.525,25.775,48550
11/29/2012,26.0,27.25,26.0,27.1,63450
12/2/2012,28.0,28.5,26.5,26.85,72400
12/3/2012,27.0,27.0,26.4,26.5,40000
12/4/2012,26.65,28.2,26.4,27.45,114750
12/5/2012,27.6,28.0,27.2,27.375,81550
12/6/2012,26.8,27.3,26.8,26.95,36450
12/9/2012,27.0,27.0,26.425,26.525,43750
12/10/2012,25.9,26.375,25.9,26.275,45450
12/11/2012,26.975,27.0,26.0,26.275,61650
12/12/2012,26.1,27.1,26.1,26.775,81950
12/13/2012,26.5,27.0,26.425,26.575,85850
12/17/2012,26.9,26.975,26.4,26.75,88300
12/18/2012,26.4,26.8,26.3,26.35,65750
12/19/2012,26.4,26.7,26.4,26.525,85950
12/20/2012,26.5,26.9,26.5,26.75,46950
12/23/2012,26.6,26.95,26.325,26.475,49000
12/24/2012,26.5,26.7,26.35,26.5,55550
12/26/2012,26.75,28.325,26.525,27.875,265300
12/27/2012,28.0,28.6,27.525,27.625,126150
12/30/2012,27.55,27.575,27.3,27.35,71200
1/1/2013,27.325,27.85,27.325,27.425,77000
1/2/2013,27.4,27.4,26.975,27.15,41700
1/3/2013,27.2,27.35,27.0,27.225,50150
1/6/2013,27.2,27.425,27.125,27.2,49950
1/7/2013,27.375,27.375,26.9,27.0,48250
1/8/2013,27.025,27.3,27.025,27.175,47700
1/9/2013,27.375,27.7,27.175,27.225,87500
1/10/2013,27.25,28.3,27.25,27.8,205650
1/13/2013,28.0,28.2,27.575,27.675,63150
1/14/2013,28.0,28.0,27.425,27.55,48000
1/15/2013,27.425,27.775,27.4,27.475,45850
1/16/2013,27.275,27.5,27.275,27.3,65000
1/17/2013,27.275,27.675,27.275,27.45,43250
1/20/2013,27.525,27.525,27.225,27.275,46500
1/21/2013,27.2,27.225,27.0,27.025,59050
1/22/2013,27.5,27.5,27.0,27.2,43000
1/23/2013,27.1,27.325,27.1,27.2,38450
1/24/2013,27.1,27.625,27.075,27.425,90700
1/27/2013,27.35,27.6,27.175,27.175,127650
1/28/2013,27.225,27.4,27.075,27.125,56950
1/29/2013,27.275,27.55,27.175,27.225,115550
1/30/2013,27.25,27.5,27.15,27.2,75850
1/31/2013,27.025,27.25,27.025,27.125,72400
2/3/2013,27.2,27.45,27.0,27.05,130500
2/4/2013,27.0,27.3,27.0,27.0,95350
2/5/2013,27.5,27.5,26.825,26.925,123400
2/6/2013,27.0,27.2,26.575,26.925,76950
2/7/2013,27.1,27.2,26.825,26.925,79950
2/10/2013,27.5,29.275,27.5,29.275,564850
2/11/2013,30.5,31.475,29.825,30.025,472650
2/12/2013,30.4,30.4,28.0,28.725,332300
2/13/2013,28.1,30.35,28.1,29.15,267300
2/14/2013,31.0,34.9,30.7,31.625,863800
