Date,Open,High,Low,Close,Volume
10/1/2012,60.1478,62.6912,60.1478,60.7665,400784
10/2/2012,63.8598,63.8598,62.0725,62.4162,515709
10/3/2012,63.1724,64.1347,61.4539,62.6224,634271
10/4/2012,64.2035,64.6847,62.21,62.6224,469884
10/7/2012,62.6224,63.5161,59.9416,60.5602,334593
10/8/2012,61.8663,61.8663,59.8041,59.8728,256036
10/9/2012,61.1789,62.0038,60.6977,61.1102,189845
10/10/2012,58.4293,62.5537,58.4293,59.8041,243671
10/11/2012,60.4915,61.935,58.9105,59.1167,352050
10/14/2012,60.4915,60.5602,59.3229,60.0791,224759
10/15/2012,60.2165,60.5602,58.773,58.9792,232033
10/16/2012,60.4915,60.4915,57.9481,58.3605,344776
10/17/2012,58.498,58.9792,57.2607,57.4669,247308
10/18/2012,57.7419,58.9792,57.3982,58.0856,90195
10/21/2012,58.0856,58.4293,56.7795,57.3294,143293
10/22/2012,57.0545,63.0349,57.0545,61.1102,643727
10/23/2012,63.2411,63.2411,58.773,60.0791,463338
10/30/2012,60.4915,60.8352,59.2542,60.5602,271311
10/31/2012,60.4915,62.6224,60.4228,60.9039,488796
11/1/2012,61.1789,63.1724,60.9727,61.7288,808114
11/4/2012,61.8663,61.8663,60.1478,60.1478,291677
11/5/2012,59.8041,60.354,59.1854,59.7354,240034
11/6/2012,60.1478,60.1478,58.6355,58.9792,472794
11/8/2012,57.2332,60.1581,57.1542,58.1818,461725
11/11/2012,58.498,58.498,54.8617,55.0198,221375
11/12/2012,57.0751,57.3123,54.5455,54.7826,173938
11/13/2012,54.4664,58.1028,54.3874,56.996,382030
11/14/2012,56.1265,57.3913,56.1265,57.0751,394048
11/15/2012,58.6561,60.0,58.1818,59.3676,479435
11/18/2012,59.6838,61.581,58.8933,60.1581,531933
11/19/2012,60.0791,60.0791,57.5494,58.0237,433895
11/20/2012,58.1028,58.8142,57.0751,57.2332,100568
11/21/2012,58.2609,59.2885,56.996,58.8142,225803
11/22/2012,59.2885,59.4466,57.5494,57.8656,363055
11/26/2012,57.7075,57.8656,55.336,55.5731,182160
11/27/2012,55.415,56.1265,55.0198,55.0988,90448
11/28/2012,57.5494,57.5494,53.0435,54.0711,161920
11/29/2012,55.336,57.7075,54.9407,57.2332,345345
12/2/2012,57.3123,57.7075,55.6522,55.8893,184690
12/3/2012,54.6245,55.9684,54.2292,54.3083,135988
12/4/2012,53.7549,56.6008,53.7549,54.6245,122073
12/5/2012,54.5455,55.0988,53.913,54.1502,79063
12/6/2012,53.7549,54.1502,53.2016,53.4387,104995
12/9/2012,52.1739,54.1502,52.1739,52.8063,79695
12/10/2012,52.5692,53.4387,52.1739,52.6482,48070
12/11/2012,52.9644,53.2806,52.4111,52.9644,37318
12/12/2012,53.7549,54.5455,52.7273,52.9644,53130
12/13/2012,52.9644,53.5968,52.4111,52.6482,25933
12/17/2012,53.7549,54.8617,53.7549,54.0711,98038
12/18/2012,54.5455,54.5455,52.8854,53.1225,103730
12/19/2012,53.2016,55.7312,53.2016,55.0988,101200
12/20/2012,55.336,56.3636,53.7549,53.9921,197973
12/23/2012,54.5455,54.8617,53.6759,53.9921,117013
12/24/2012,53.7549,53.9921,52.9644,53.0435,94243
12/26/2012,53.1225,54.5455,53.1225,53.5968,75268
12/27/2012,56.8379,56.917,53.834,54.9407,118910
12/30/2012,55.336,57.6285,53.5178,56.996,561660
1/1/2013,57.6285,57.7075,55.336,55.415,75900
1/2/2013,54.7036,54.7036,53.4387,53.5968,119543
1/3/2013,55.1779,55.415,53.7549,54.0711,115115
1/6/2013,55.5731,55.5731,53.9921,54.1502,85388
1/7/2013,53.913,53.9921,53.5178,53.5968,75268
1/8/2013,53.7549,53.7549,53.2016,53.2806,56293
1/9/2013,53.7549,53.7549,53.2016,53.4387,97405
1/10/2013,53.5178,53.6759,53.2016,53.2806,110688
1/13/2013,53.3597,53.5178,52.8854,52.9644,54395
1/14/2013,52.9644,52.9644,52.332,52.4111,108790
1/15/2013,52.5692,52.9644,52.253,52.332,110055
1/16/2013,52.9644,52.9644,52.253,52.4111,63250
1/17/2013,53.2806,54.4664,53.2016,54.2292,301703
1/20/2013,54.7826,54.7826,53.7549,54.0711,108158
1/21/2013,53.2016,53.3597,52.8854,53.0435,125235
1/22/2013,52.9644,53.9921,52.9644,53.4387,135988
1/23/2013,54.1502,55.336,53.6759,54.4664,197340
1/24/2013,55.336,55.8103,53.7549,54.3874,430100
1/27/2013,55.2569,55.5731,54.3083,54.8617,382663
1/28/2013,55.336,55.7312,54.5455,54.9407,287155
1/29/2013,58.7352,58.8142,56.4427,57.3913,939895
1/30/2013,59.0514,59.1304,57.7075,58.3399,543318
1/31/2013,57.7866,58.5771,57.2332,57.3123,178365
2/3/2013,56.917,59.2885,56.917,58.6561,435793
2/4/2013,59.2885,60.8696,59.2095,59.5257,749513
2/5/2013,60.3953,61.8182,59.1304,61.581,597080
2/6/2013,62.0553,62.5296,61.0277,61.1067,351670
2/7/2013,61.1858,62.4506,60.3162,61.9763,745718
2/10/2013,63.083,64.3478,62.0553,62.4506,757103
2/11/2013,62.8458,62.8458,61.6601,61.8972,356098
2/12/2013,62.2925,64.1107,61.8972,63.1621,1487640
2/13/2013,63.3202,64.4269,63.3202,63.9526,666655
2/14/2013,64.4269,65.6126,64.4269,65.0593,966460
2/17/2013,64.5059,65.2174,64.0316,64.3478,715990
2/18/2013,64.9802,65.6917,64.0316,64.3478,977213
2/19/2013,65.2964,65.2964,62.6087,62.9249,605935
2/20/2013,63.1621,63.2411,61.2648,61.7391,377603
2/24/2013,62.4506,62.4506,60.1581,60.5534,242880
2/25/2013,61.2648,61.4229,58.8142,59.0514,169510
2/26/2013,59.3676,60.3953,58.498,60.1581,308660
2/27/2013,59.6838,60.0791,57.3913,57.6285,348508
2/28/2013,58.3399,58.419,56.2846,57.1542,146108
3/3/2013,54.5455,54.5455,53.2016,54.3083,230863
3/4/2013,56.7589,56.7589,54.5455,56.1265,184690
3/5/2013,56.6008,56.6008,54.4664,54.4664,165083
3/6/2013,56.5217,56.5217,53.834,54.4664,342183
3/7/2013,53.9921,54.9407,53.9921,54.8617,60088
3/10/2013,55.7312,55.7312,53.2016,54.1502,48703
3/11/2013,53.2806,54.3874,52.8063,53.7549,111953
3/12/2013,53.0435,54.8617,52.9644,54.4664,142945
3/13/2013,55.0988,56.8379,55.0988,56.2055,251735
3/14/2013,55.4941,56.8379,55.336,56.3636,272608
3/18/2013,56.5217,56.5217,55.4941,56.2846,121440
3/19/2013,57.3913,58.1818,56.3636,57.7866,528770
3/20/2013,59.1304,59.1304,56.996,57.1542,191015
3/24/2013,56.5217,57.0751,54.7036,54.8617,174570
3/25/2013,53.834,55.336,52.7273,53.6759,486393
3/27/2013,52.8854,53.0435,52.332,52.4111,199870
3/28/2013,54.5455,54.5455,52.4111,53.3597,423775
3/31/2013,52.4111,53.6759,52.332,53.0435,90448
4/1/2013,52.5692,52.8854,52.332,52.6482,287788
4/2/2013,52.9644,53.4387,52.4111,53.2806,97405
4/3/2013,54.1502,55.0198,53.9921,54.3874,211255
4/4/2013,53.2016,54.7826,53.1225,54.6245,214418
4/7/2013,54.5455,54.7036,53.5178,54.6245,190383
4/8/2013,53.0435,54.7036,53.0435,53.913,134723
4/9/2013,54.5455,55.9684,54.3083,55.415,232760
4/10/2013,56.5217,56.5217,54.8617,55.0198,228965
4/11/2013,54.8617,55.2569,54.1502,54.4664,110055
4/15/2013,55.4941,55.6522,54.4664,55.415,119543
4/16/2013,55.4941,56.7589,53.5968,53.6759,178998
4/17/2013,53.834,54.2292,53.2806,53.834,208725
4/18/2013,55.1779,56.5217,54.2292,55.4941,259325
4/21/2013,55.6522,56.3636,54.7826,55.0198,85388
4/22/2013,54.6245,55.2569,54.3083,54.8617,141048
4/24/2013,54.5455,55.415,54.3874,54.7036,122705
4/25/2013,54.5455,55.0988,54.0711,54.6245,125235
4/28/2013,54.3083,54.9407,53.7549,54.3874,170143
4/29/2013,53.2016,54.3874,53.2016,54.3083,117013
4/30/2013,54.5455,54.5455,53.7549,54.0711,149903
5/2/2013,54.5455,55.0198,53.9921,54.7036,68943
5/5/2013,55.2569,55.2569,54.3083,54.3874,72738
5/6/2013,54.3874,54.5455,54.1502,54.4664,62618
5/7/2013,54.6245,55.1779,54.4664,55.0198,118910
5/8/2013,55.336,55.9684,54.5455,54.6245,153698
5/9/2013,54.5455,55.9684,54.3083,55.415,202400
5/12/2013,56.5217,57.0751,55.6522,56.8379,302335
5/13/2013,57.0751,57.6285,56.0474,56.917,256163
5/14/2013,57.3913,59.6838,57.3913,59.3676,535095
5/15/2013,59.6047,59.6838,56.7589,56.917,341550
5/16/2013,57.6285,59.1304,57.3123,58.8142,312455
5/19/2013,59.2885,60.6324,58.2609,60.4743,623013
5/20/2013,60.8696,60.8696,58.419,59.4466,961400
5/21/2013,59.7628,60.0,57.1542,58.0237,354833
5/22/2013,57.7075,59.0514,57.0751,57.2332,284625
5/26/2013,57.3123,57.3123,56.2846,56.4427,63883
5/27/2013,57.0751,57.9447,57.0751,57.4704,191015
5/28/2013,58.0237,58.0237,56.917,57.7075,253633
5/29/2013,58.498,58.6561,57.8656,58.2609,363688
5/30/2013,59.5257,59.5257,57.8656,58.419,370645
6/2/2013,58.7352,60.0791,58.498,59.6838,425673
6/3/2013,59.921,61.6601,59.921,61.1858,802643
6/4/2013,61.6601,62.8458,61.3439,61.9763,924083
6/5/2013,61.581,62.4506,61.1858,61.8972,765958
6/6/2013,62.0553,62.2925,61.0277,61.1067,666655
6/9/2013,59.7628,60.3162,58.498,58.6561,561660
6/11/2013,61.9763,63.083,60.8696,61.4229,623013
6/12/2013,61.2648,62.0553,60.1581,60.9486,482598
6/13/2013,60.8696,61.2648,60.2371,60.8696,407330
6/16/2013,61.581,62.5296,60.8696,61.8972,629970
6/17/2013,62.9249,64.8221,62.5296,62.6878,1005043
6/18/2013,63.2411,68.7747,62.8458,67.668,2299138
