Date,Open,High,Low,Close,Volume
10/1/2012,55.63636364,55.63636364,54.54545455,55.0,12600
10/2/2012,53.63636364,59.0,52.90909091,57.27272727,49500
10/3/2012,57.27272727,57.27272727,54.54545455,55.45454545,8200
10/4/2012,53.36363636,54.54545455,50.0,50.81818182,12900
10/7/2012,53.36363636,55.81818182,51.0,55.72727273,55100
10/8/2012,52.81818182,55.18181818,52.81818182,54.54545455,2900
10/9/2012,54.54545455,54.63636364,53.63636364,54.54545455,11500
10/10/2012,54.54545455,54.54545455,52.18181818,52.45454545,3300
10/11/2012,53.63636364,53.63636364,51.18181818,52.72727273,7600
10/14/2012,51.81818182,54.54545455,51.81818182,54.36363636,16100
10/15/2012,51.0,51.09090909,50.72727273,50.90909091,3000
10/16/2012,50.63636364,54.18181818,50.63636364,51.36363636,2600
10/17/2012,51.0,51.54545455,50.90909091,51.18181818,1500
10/18/2012,53.36363636,54.54545455,53.36363636,54.0,2600
10/23/2012,50.63636364,54.45454545,50.63636364,52.63636364,1500
10/30/2012,51.36363636,51.36363636,51.36363636,51.36363636,100
10/31/2012,53.90909091,53.90909091,51.54545455,53.0,1400
11/1/2012,51.18181818,51.72727273,51.18181818,51.36363636,500
11/4/2012,53.45454545,53.54545455,53.45454545,53.45454545,1000
11/5/2012,54.54545455,54.54545455,51.09090909,53.0,600
11/6/2012,52.63636364,53.27272727,52.63636364,52.90909091,1700
11/7/2012,53.45454545,53.45454545,53.27272727,53.36363636,300
11/8/2012,53.54545455,54.54545455,50.90909091,51.81818182,7700
11/11/2012,49.36363636,49.36363636,49.36363636,49.36363636,100
11/12/2012,49.27272727,49.27272727,47.45454545,48.72727273,1500
11/13/2012,52.54545455,52.63636364,49.63636364,50.90909091,3100
11/14/2012,52.72727273,52.72727273,52.72727273,52.72727273,100
11/15/2012,51.36363636,53.18181818,51.36363636,52.45454545,1300
11/18/2012,52.36363636,52.63636364,52.36363636,52.54545455,3200
11/19/2012,51.36363636,51.36363636,50.90909091,51.0,1600
11/20/2012,52.18181818,52.18181818,52.18181818,52.18181818,100
11/21/2012,49.09090909,49.09090909,48.72727273,48.90909091,400
11/22/2012,50.18181818,50.18181818,49.0,49.36363636,1500
11/26/2012,49.09090909,49.09090909,48.54545455,48.81818182,200
11/27/2012,49.36363636,49.36363636,48.72727273,49.0,600
11/28/2012,49.09090909,49.09090909,47.90909091,48.45454545,700
11/29/2012,49.09090909,50.09090909,49.09090909,49.27272727,4400
12/4/2012,47.36363636,49.0,47.27272727,47.63636364,1100
12/5/2012,48.18181818,48.18181818,47.27272727,47.45454545,800
12/6/2012,47.27272727,47.36363636,47.27272727,47.27272727,400
12/10/2012,46.36363636,46.36363636,46.36363636,46.36363636,100
12/11/2012,46.45454545,46.63636364,46.45454545,46.54545455,200
12/12/2012,46.0,46.0,46.0,46.0,100
12/17/2012,49.0,49.0,46.63636364,47.81818182,200
12/18/2012,45.63636364,46.81818182,45.54545455,45.72727273,1000
12/19/2012,46.36363636,47.27272727,45.45454545,46.27272727,1100
12/20/2012,46.36363636,46.36363636,46.27272727,46.27272727,1300
12/23/2012,46.27272727,47.27272727,46.27272727,46.63636364,10600
12/24/2012,47.27272727,47.27272727,46.45454545,46.81818182,2600
12/26/2012,46.81818182,47.09090909,46.81818182,46.81818182,3000
12/27/2012,46.72727273,47.45454545,46.72727273,46.90909091,1100
12/30/2012,47.0,47.27272727,46.90909091,46.90909091,16900
1/1/2013,46.27272727,46.27272727,46.09090909,46.18181818,400
1/2/2013,45.45454545,45.63636364,45.45454545,45.45454545,1000
1/3/2013,45.63636364,45.72727273,45.63636364,45.63636364,200
1/6/2013,45.72727273,45.72727273,45.72727273,45.72727273,300
1/7/2013,45.72727273,45.72727273,45.45454545,45.54545455,7600
1/8/2013,47.18181818,47.18181818,44.54545455,45.36363636,7100
1/10/2013,46.36363636,46.36363636,46.36363636,46.36363636,1100
1/14/2013,46.81818182,47.09090909,46.81818182,46.90909091,1100
1/15/2013,47.09090909,47.18181818,46.36363636,47.09090909,4000
1/16/2013,47.27272727,47.27272727,47.18181818,47.18181818,1100
1/17/2013,47.27272727,47.27272727,47.27272727,47.27272727,500
1/20/2013,46.36363636,48.0,46.18181818,46.54545455,8600
1/21/2013,46.63636364,46.63636364,46.27272727,46.36363636,11300
1/22/2013,46.54545455,47.27272727,46.54545455,46.54545455,5400
1/23/2013,46.54545455,46.81818182,46.54545455,46.63636364,2400
1/24/2013,47.27272727,47.54545455,47.0,47.09090909,6500
1/27/2013,46.54545455,46.54545455,46.45454545,46.45454545,300
1/28/2013,46.54545455,48.27272727,46.54545455,47.36363636,1600
1/29/2013,47.81818182,47.81818182,47.81818182,47.81818182,100
1/31/2013,47.0,48.09090909,47.0,47.54545455,200
2/3/2013,46.63636364,46.63636364,46.45454545,46.45454545,5700
