Date,Open,High,Low,Close,Volume
10/1/2012,78.3926,79.6443,77.2068,77.8656,184665
10/2/2012,80.6983,82.8063,78.3926,79.1173,269597
10/3/2012,80.7642,83.0039,79.249,79.776,361436
10/4/2012,81.0277,81.6864,79.0514,79.776,105501
10/7/2012,79.249,81.0277,77.7997,78.195,165766
10/8/2012,77.9974,79.1831,77.0751,77.4045,100568
10/9/2012,77.7339,79.5125,77.7339,78.0632,67399
10/10/2012,78.0632,78.9196,76.4163,76.7457,136241
10/11/2012,77.4045,77.4045,75.1647,75.4941,97532
10/14/2012,76.7457,77.0092,74.1107,74.6377,61783
10/15/2012,74.9012,76.4822,74.5718,74.9671,53358
10/16/2012,75.6258,76.3505,74.7036,75.0329,66792
10/17/2012,75.0988,75.6258,74.44,74.7036,120833
10/18/2012,75.0988,75.7576,73.8472,74.5718,38633
10/21/2012,74.7694,75.4941,73.913,73.9789,33396
10/22/2012,75.2964,76.2846,73.4519,75.5599,26641
10/23/2012,74.1107,76.7457,74.1107,75.4941,27704
10/30/2012,77.668,77.668,74.5059,75.2306,40607
10/31/2012,75.0988,75.7576,74.7694,75.2964,89183
11/1/2012,75.7576,75.7576,74.1107,74.3742,79316
11/4/2012,75.0988,75.0988,72.4638,72.859,44857
11/5/2012,72.1344,73.7813,71.8709,72.7931,39013
11/6/2012,73.1225,73.386,70.6851,71.7391,55179
11/7/2012,71.6732,71.805,70.4875,70.6851,50549
11/8/2012,70.3557,71.4756,69.8287,70.0922,39848
11/11/2012,69.3017,69.3017,67.1937,67.7207,87740
11/12/2012,68.7747,69.697,67.7866,68.1818,60341
11/13/2012,68.7747,73.7154,68.5112,73.3202,68614
11/14/2012,72.4638,73.5178,69.8946,73.3202,206828
11/15/2012,72.332,74.1107,71.805,73.4519,32106
11/18/2012,75.2306,75.2306,72.2003,72.9249,62693
11/19/2012,71.6732,72.3979,69.8946,70.0263,29222
11/20/2012,69.4993,71.1462,69.17,69.4993,26034
11/21/2012,71.3439,71.4097,69.4335,69.697,23225
11/22/2012,69.8287,70.6192,69.3017,69.7628,18292
11/26/2012,69.17,69.17,67.9183,68.1818,29373
11/27/2012,68.2477,69.17,65.8762,66.8643,25351
11/28/2012,69.3676,69.4335,66.0738,66.7984,22770
11/29/2012,69.1041,70.5534,67.2595,70.4216,53206
12/2/2012,71.0804,71.6732,69.17,69.8287,80758
12/3/2012,68.7747,68.8406,68.1159,68.2477,39316
12/4/2012,67.5889,68.5112,67.1937,68.2477,27855
12/5/2012,69.17,69.17,68.1818,68.5771,17685
12/6/2012,69.17,69.17,67.523,68.6429,28235
12/9/2012,69.1041,69.1041,66.6008,68.0501,58519
12/10/2012,66.9302,68.8406,66.8643,68.1159,34838
12/11/2012,67.5889,71.0804,67.5889,70.1581,35521
12/12/2012,69.8287,70.4216,69.0382,69.7628,18899
12/13/2012,69.8946,70.3557,69.8287,69.8946,65502
12/17/2012,69.17,70.6851,69.17,70.0263,48804
12/18/2012,69.17,70.1581,69.0382,69.1041,72712
12/19/2012,69.3676,70.4875,68.6429,69.0382,46071
12/20/2012,69.6311,70.9486,68.3794,68.5771,94344
12/23/2012,68.4453,69.17,67.0619,67.9842,103300
12/24/2012,68.1818,68.8406,68.0501,68.7088,36432
12/26/2012,68.5112,69.8287,68.2477,68.9064,34535
12/27/2012,69.7628,70.1581,69.2358,69.6311,32637
12/30/2012,71.0145,71.0145,69.697,69.9605,41214
1/1/2013,71.0804,71.0804,68.9064,69.17,23074
1/2/2013,69.17,69.5652,67.8524,68.1818,32333
1/3/2013,68.3794,68.9723,68.0501,68.5112,4402
1/6/2013,68.6429,69.17,68.1818,68.3794,21935
1/7/2013,70.2898,70.2898,67.8524,68.1818,13662
1/8/2013,68.4453,69.17,67.523,67.7866,18368
1/9/2013,67.8524,68.6429,67.7207,67.9842,65350
1/10/2013,67.9183,68.1159,67.7207,67.8524,16394
1/13/2013,67.9183,67.9183,67.3254,67.3913,36128
1/14/2013,67.3913,68.1818,66.5349,67.1278,41366
1/15/2013,67.1937,67.5889,66.8643,67.0619,18596
1/16/2013,67.1937,67.6548,66.7325,66.8643,38102
1/17/2013,67.1278,67.5889,67.1278,67.4572,81517
1/20/2013,67.1937,68.2477,66.9302,67.6548,25275
1/21/2013,69.17,69.17,67.1937,67.5889,17305
1/22/2013,67.8524,68.9064,67.1937,68.4453,73016
1/23/2013,70.4875,71.805,69.17,71.0145,135330
1/24/2013,71.8709,72.4638,70.4875,71.4097,140567
1/27/2013,72.1344,72.1344,70.0263,70.4216,64287
1/28/2013,75.0329,75.0329,69.9605,72.9249,191799
1/29/2013,73.7813,75.3623,73.7813,74.7694,150282
1/30/2013,74.7036,74.9671,72.859,73.5837,108461
1/31/2013,72.2003,73.1225,71.6074,71.8709,92826
2/3/2013,71.9368,74.44,71.9368,74.1107,82352
2/4/2013,74.2424,74.3083,72.1344,72.332,62238
2/5/2013,74.3742,74.44,72.1344,73.8472,110435
2/6/2013,72.5955,75.7576,72.5955,75.3623,279616
2/7/2013,74.5059,76.087,74.1107,74.3742,54041
2/10/2013,74.8353,75.2306,73.913,74.9012,155899
2/11/2013,78.0632,78.0632,74.7694,75.1647,151421
2/12/2013,75.4282,75.4282,73.6495,74.1107,131687
2/13/2013,74.8353,74.8353,73.9789,74.1107,111649
2/14/2013,73.7813,74.44,73.7813,74.0448,99884
2/17/2013,75.0988,75.0988,73.4519,73.6495,89562
2/18/2013,73.386,73.9789,73.1225,73.4519,81137
2/19/2013,73.7813,74.6377,72.2003,72.859,76887
2/20/2013,72.4638,73.4519,71.3439,72.2003,122579
2/24/2013,70.5534,72.4638,70.5534,70.751,51840
2/25/2013,68.5771,71.2121,68.5771,69.0382,40379
