Date,Open,High,Low,Close,Volume
10/1/2012,22.14163636,22.56054545,20.76527273,22.56054545,549930
10/2/2012,23.93690909,24.53536364,21.96209091,22.32118182,647155
10/3/2012,22.32118182,22.32118182,20.82509091,21.00463636,218757
10/4/2012,20.40618182,21.18418182,20.28654545,20.82509091,164827
10/7/2012,20.885,20.885,19.14954545,19.26918182,220276
10/9/2012,20.52590909,20.76527273,19.86763636,20.22672727,194450
10/10/2012,20.40618182,20.40618182,18.97,19.20936364,134444
10/11/2012,20.16681818,20.16681818,18.37154545,18.49127273,159510
10/14/2012,18.49127273,18.55109091,17.89281818,17.95272727,156472
10/15/2012,18.49127273,18.97,17.95272727,18.55109091,92668
10/16/2012,18.97,19.20936364,18.73063636,19.08972727,95706
10/17/2012,18.73063636,18.97,18.55109091,18.73063636,72159
10/18/2012,16.87554545,18.91018182,16.87554545,18.67081818,132166
10/21/2012,18.37154545,18.55109091,18.07236364,18.31172727,45574
10/22/2012,18.85036364,18.85036364,18.25190909,18.31172727,71400
10/23/2012,18.85036364,18.91018182,18.55109091,18.73063636,110138
10/30/2012,18.55109091,18.55109091,17.71336364,17.89281818,135204
10/31/2012,17.59363636,18.01254545,17.17472727,17.29445455,81274
11/1/2012,17.41409091,17.77318182,16.87554545,17.05509091,75198
11/4/2012,16.75581818,17.11490909,16.696,16.93536364,91149
11/5/2012,16.93536364,16.93536364,16.63618182,16.81572727,82793
11/6/2012,16.75581818,17.474,16.696,16.81572727,120012
11/7/2012,16.696,16.87554545,16.57636364,16.75581818,50132
11/8/2012,16.51645455,16.75581818,16.21727273,16.33690909,59247
11/11/2012,16.15745455,16.15745455,15.37945455,15.61881818,57727
11/12/2012,16.09754545,16.09754545,15.25981818,15.31963636,56208
11/13/2012,14.96054545,16.09754545,14.96054545,15.85818182,50132
11/14/2012,16.27709091,16.27709091,15.73854545,15.79836364,29623
11/15/2012,16.09754545,16.15745455,15.73854545,15.79836364,23547
11/18/2012,15.14009091,16.15745455,15.14009091,15.559,76717
11/19/2012,15.14009091,15.559,14.96054545,15.02045455,56208
11/20/2012,14.96054545,15.08027273,14.72118182,14.84090909,34181
11/21/2012,15.37945455,15.37945455,14.66136364,14.84090909,32662
11/22/2012,15.19990909,15.31963636,14.90072727,15.08027273,24306
11/26/2012,14.72118182,14.72118182,14.422,14.48181818,39498
11/27/2012,14.48181818,14.54163636,14.18263636,14.422,18989
11/28/2012,14.36218182,14.66136364,13.82354545,13.82354545,37219
11/29/2012,14.84090909,15.19990909,14.30227273,15.08027273,110138
12/2/2012,15.61881818,15.61881818,14.78109091,14.78109091,75957
12/3/2012,14.84090909,14.96054545,14.48181818,14.60154545,50891
12/4/2012,14.78109091,14.78109091,14.24245455,14.36218182,53930
12/5/2012,14.422,14.60154545,14.24245455,14.36218182,68361
12/6/2012,14.422,14.422,13.94327273,14.06290909,60006
12/9/2012,13.88345455,14.06290909,13.82354545,13.88345455,15191
12/10/2012,13.82354545,13.82354545,12.98581818,13.10545455,97225
12/11/2012,13.10545455,13.22518182,12.56690909,13.10545455,132166
12/12/2012,13.70390909,13.76372727,13.22518182,13.34481818,20508
12/13/2012,13.40463636,14.06290909,13.40463636,13.88345455,72919
12/17/2012,13.70390909,14.84090909,13.70390909,14.60154545,113176
12/18/2012,14.18263636,14.18263636,13.76372727,13.82354545,96466
12/19/2012,13.94327273,14.36218182,13.76372727,13.82354545,119253
12/20/2012,14.36218182,14.36218182,14.00309091,14.12281818,28864
12/23/2012,14.12281818,14.12281818,13.76372727,13.82354545,69121
12/24/2012,14.84090909,15.19990909,14.72118182,15.19990909,223314
12/26/2012,16.39681818,16.696,16.39681818,16.696,271167
12/27/2012,18.25190909,18.25190909,16.93536364,17.35427273,546132
12/30/2012,16.81572727,16.93536364,16.27709091,16.39681818,241544
1/1/2013,16.27709091,16.63618182,16.15745455,16.15745455,83553
1/2/2013,16.15745455,16.45663636,15.85818182,15.91809091,70640
1/3/2013,15.97790909,15.97790909,15.559,15.67872727,108619
1/6/2013,15.97790909,16.696,15.97790909,16.33690909,142040
1/7/2013,16.39681818,16.39681818,16.03772727,16.03772727,81274
1/8/2013,16.33690909,16.33690909,15.91809091,16.09754545,61525
1/9/2013,16.45663636,16.45663636,15.91809091,15.97790909,81274
1/10/2013,16.75581818,16.75581818,15.91809091,16.09754545,94187
1/13/2013,16.15745455,16.15745455,15.73854545,15.79836364,85072
1/14/2013,15.67872727,15.73854545,15.61881818,15.61881818,41017
1/15/2013,15.73854545,15.79836364,15.67872727,15.67872727,34940
1/16/2013,15.85818182,15.85818182,15.73854545,15.79836364,44055
1/17/2013,15.85818182,15.85818182,15.67872727,15.73854545,56208
1/20/2013,15.67872727,15.67872727,15.559,15.559,45574
1/21/2013,15.559,15.559,15.49918182,15.49918182,17470
1/22/2013,15.559,15.559,14.96054545,15.08027273,110138
1/23/2013,14.96054545,15.67872727,14.96054545,15.559,88110
1/24/2013,15.79836364,15.91809091,15.73854545,15.79836364,63044
1/27/2013,16.09754545,16.57636364,15.85818182,16.09754545,150395
1/28/2013,15.97790909,16.87554545,15.73854545,16.51645455,194450
1/29/2013,17.05509091,18.13218182,17.05509091,18.13218182,312184
1/30/2013,19.08972727,19.748,18.01254545,19.56845455,780081
1/31/2013,19.44872727,21.48336364,19.02981818,21.36372727,969974
2/3/2013,21.36372727,21.36372727,19.92745455,20.58572727,344086
2/4/2013,20.46609091,21.244,20.28654545,20.52590909,273446
2/5/2013,20.82509091,20.885,20.16681818,20.64563636,255976
2/6/2013,20.94481818,21.244,20.34636364,20.58572727,210401
2/7/2013,22.50072727,22.62036364,21.48336364,21.60309091,1864749
2/10/2013,21.78263636,21.78263636,20.107,20.28654545,1033018
2/11/2013,20.70545455,20.76527273,19.80781818,19.86763636,554488
2/12/2013,19.86763636,20.34636364,19.44872727,19.50863636,542334
2/13/2013,19.98736364,19.98736364,19.20936364,19.44872727,374469
2/14/2013,19.50863636,21.12436364,19.44872727,20.58572727,599302
2/17/2013,20.76527273,20.94481818,20.107,20.22672727,311425
2/18/2013,20.28654545,20.34636364,19.68809091,19.80781818,246101
2/19/2013,19.80781818,19.92745455,19.20936364,19.20936364,329654
2/20/2013,19.86763636,19.86763636,18.73063636,18.85036364,341048
2/24/2013,19.26918182,20.04718182,19.08972727,19.20936364,337250
2/25/2013,19.56845455,19.62827273,18.25190909,18.43145455,276484
2/26/2013,18.79045455,18.79045455,17.11490909,17.23454545,477011
2/27/2013,17.35427273,17.35427273,15.91809091,16.03772727,762610
3/3/2013,17.32418182,17.32418182,15.60890909,15.78045455,381600
3/4/2013,16.03772727,16.38081818,15.78045455,16.20927273,238500
3/5/2013,16.55227273,16.55227273,15.60890909,15.78045455,138330
3/6/2013,15.86618182,15.86618182,14.83709091,15.09436364,265530
3/10/2013,14.90909091,15.36363636,14.36363636,14.45454545,225000
3/11/2013,14.63636364,14.63636364,13.81818182,14.27272727,113500
3/12/2013,14.09090909,14.45454545,14.0,14.18181818,51000
3/13/2013,14.63636364,15.0,14.54545455,14.72727273,105000
3/14/2013,14.72727273,14.81818182,14.36363636,14.36363636,68000
3/18/2013,14.36363636,14.54545455,14.27272727,14.45454545,63500
3/19/2013,14.54545455,15.18181818,14.54545455,14.81818182,112000
