Date,Open,High,Low,Close,Volume
10/1/2012,120.7971,122.8261,118.6957,120.2898,62307
10/2/2012,124.6377,124.6377,120.7971,121.2319,108261
10/3/2012,121.5217,122.3913,119.5652,119.7826,80454
10/4/2012,121.0145,122.971,118.2609,118.6957,59202
10/7/2012,122.1739,122.1739,113.1884,114.4928,78729
10/8/2012,118.0435,118.8406,112.3913,113.913,62031
10/9/2012,115.942,117.029,113.9855,114.2754,120957
10/10/2012,116.6667,117.3913,113.0435,113.3333,89493
10/11/2012,114.4928,114.4928,112.3188,112.5362,48300
10/14/2012,113.0435,113.7681,111.3043,111.6667,88251
10/15/2012,111.7391,117.3913,111.2319,113.8406,52509
10/16/2012,114.7826,115.1449,112.1739,112.3913,30567
10/17/2012,113.0435,113.8406,112.3188,112.7536,48300
10/18/2012,115.1449,115.2174,112.3913,112.7536,24150
10/21/2012,114.9275,114.9275,113.0435,113.3333,20907
10/22/2012,113.4783,114.4203,111.5942,112.6812,28635
10/23/2012,113.9855,121.6667,113.913,119.5652,248400
10/30/2012,120.7246,121.6667,117.8261,118.1159,49611
10/31/2012,119.2029,119.5652,118.1884,119.1304,39330
11/1/2012,119.7101,120.6522,118.8406,120.2898,81627
11/4/2012,123.1884,130.0725,121.1594,127.8985,438081
11/5/2012,129.7101,131.087,126.2319,127.8261,183885
11/6/2012,127.5362,127.7536,120.7971,122.3188,120474
11/7/2012,121.087,124.5652,119.5652,120.0,118818
11/8/2012,119.9275,125.5072,119.6377,122.8261,168705
11/11/2012,121.7391,124.6377,117.8985,118.5507,91839
11/12/2012,117.029,121.3043,115.942,117.029,96669
11/13/2012,117.3913,120.2898,114.4928,119.2754,61824
11/14/2012,117.029,120.942,117.029,118.5507,67206
11/15/2012,118.8406,122.8986,118.8406,121.7391,110469
11/18/2012,122.4638,122.4638,118.2609,119.2029,146901
11/19/2012,117.5362,119.4203,114.8551,115.6522,69759
11/20/2012,115.2899,117.3913,113.4058,113.9855,55545
11/21/2012,115.8696,118.2609,114.5652,115.8696,75348
11/22/2012,117.029,117.5362,115.2899,115.7971,47955
11/26/2012,114.7826,115.942,111.884,112.1739,65550
11/27/2012,111.2319,113.4058,110.2898,110.6522,42159
11/28/2012,113.4058,113.4058,108.6957,109.2029,46161
11/29/2012,112.3188,115.2174,111.5942,113.913,78315
12/2/2012,118.0435,118.0435,110.7971,112.6812,80730
12/3/2012,113.4058,113.4058,109.1304,109.8551,41400
12/4/2012,110.5797,111.3768,108.9855,110.6522,36846
12/5/2012,111.1594,111.5217,109.4203,110.0725,30429
12/6/2012,108.1884,110.942,108.1884,108.913,43194
12/9/2012,107.8985,108.6957,107.6087,107.8985,25254
12/10/2012,107.3913,108.6232,105.5797,106.0145,27048
12/11/2012,105.0725,107.1015,105.0725,106.5217,31878
12/12/2012,106.5942,109.6377,105.942,106.2319,19665
12/13/2012,107.8985,108.1884,105.7971,106.4493,32223
12/17/2012,107.1015,109.3478,107.1015,107.971,25668
12/18/2012,107.5362,107.7536,106.7391,106.8841,30291
12/19/2012,107.971,108.6957,107.6087,108.2609,35604
12/20/2012,109.4203,109.6377,107.8261,108.0435,41676
12/23/2012,109.2029,109.2029,106.3043,106.5942,29601
12/24/2012,106.8841,107.8985,106.5217,107.1015,22011
12/26/2012,108.3333,110.7971,107.8985,109.7101,62238
12/27/2012,111.5217,111.884,110.1449,111.5942,66861
12/30/2012,112.4638,112.8986,112.3188,112.6812,63204
1/1/2013,115.8696,115.8696,113.0435,113.116,50025
1/2/2013,111.087,112.7536,111.087,112.1014,51336
1/3/2013,113.0435,113.1884,111.8116,112.6812,30705
1/6/2013,112.3913,113.6232,112.1739,113.0435,31740
1/7/2013,113.5507,113.5507,112.1014,112.2464,26634
1/8/2013,113.116,113.116,112.1014,112.2464,45126
1/9/2013,112.8986,112.971,112.2464,112.7536,39813
1/10/2013,112.3188,114.9275,112.3188,114.2029,88734
1/13/2013,115.1449,115.1449,113.116,113.2609,30774
1/14/2013,115.2174,115.2174,112.6812,112.6812,38640
1/15/2013,112.7536,113.0435,111.3768,111.884,19389
1/16/2013,113.0435,113.7681,111.884,112.029,30153
1/17/2013,114.2029,114.2029,112.3913,113.1884,26151
1/20/2013,113.7681,113.7681,112.3188,112.3188,14145
1/21/2013,112.029,112.5362,112.029,112.2464,12558
1/22/2013,112.8986,113.7681,112.5362,113.1884,11592
1/23/2013,113.9855,114.1304,113.4058,113.8406,42504
1/24/2013,113.8406,117.3913,113.8406,116.9565,84801
1/27/2013,117.3913,118.913,114.4928,115.0725,45678
1/28/2013,114.9275,117.3913,114.8551,117.029,39123
1/29/2013,118.1159,119.4203,117.4638,118.1884,94323
1/30/2013,119.1304,119.1304,116.1594,116.9565,85629
1/31/2013,117.029,119.2754,117.029,118.6957,74313
2/3/2013,119.4203,121.7391,118.8406,120.6522,96255
2/4/2013,121.8116,122.1739,119.7101,120.2898,67896
2/5/2013,119.6377,122.3913,119.2029,121.4493,106122
2/6/2013,121.0145,122.3913,120.3623,120.6522,61893
2/7/2013,120.0725,121.3768,120.0725,120.3623,35259
2/10/2013,121.8116,122.2464,121.0145,121.5217,89355
2/11/2013,122.7536,122.7536,119.5652,120.3623,61617
2/12/2013,120.5073,121.5942,118.3333,118.4783,64515
2/13/2013,118.3333,120.1449,118.1884,118.5507,42918
2/14/2013,119.1304,121.7391,118.913,120.2898,35949
2/17/2013,121.3043,123.1884,120.7246,121.4493,79143
2/18/2013,121.0145,122.1739,120.0,120.5073,40710
2/19/2013,119.8551,120.0725,118.2609,118.6232,27186
2/20/2013,118.8406,120.942,115.2899,116.5942,37122
2/24/2013,116.6667,117.029,113.116,114.3478,23667
2/25/2013,114.3478,116.3768,112.6087,113.4783,15870
2/26/2013,115.2174,115.3623,113.4058,114.7102,16353
2/27/2013,113.9855,115.942,110.1449,111.087,36432
2/28/2013,113.6957,113.6957,110.1449,111.6667,10143
3/3/2013,108.6957,109.4203,103.0435,104.5652,24150
3/4/2013,104.7101,110.7246,104.7101,108.7681,10281
3/5/2013,109.4203,109.4203,105.7971,106.6667,13869
3/6/2013,107.6812,109.058,106.6667,106.7391,16215
3/7/2013,105.2899,106.8841,103.6957,104.9275,20217
3/10/2013,106.0145,106.1594,102.8986,103.6232,20907
3/11/2013,103.6232,104.3478,102.2464,103.5507,17388
3/12/2013,102.6087,105.4348,102.5362,104.7826,7866
3/13/2013,107.1015,110.8696,106.2319,107.6812,22149
3/14/2013,108.6957,108.6957,106.2319,107.2464,14283
3/18/2013,106.5217,107.971,106.5217,107.4638,9522
3/19/2013,107.3188,108.3333,107.3188,107.8985,7728
3/20/2013,107.971,108.0435,106.5942,106.5942,12075
3/24/2013,105.8696,105.8696,103.1884,103.3333,19596
3/25/2013,103.3333,104.3478,102.8986,103.1159,7245
3/27/2013,101.4493,101.4493,99.3478,99.8551,14214
3/28/2013,100.3623,103.9855,100.3623,103.4058,18009
3/31/2013,103.2609,103.2609,99.7102,100.2898,13248
4/1/2013,98.6957,98.6957,96.0145,97.3913,17457
4/2/2013,97.6087,98.4783,97.4638,97.8261,6831
4/3/2013,97.971,100.0,97.971,98.6957,7314
4/4/2013,98.5507,98.5507,96.7391,97.4638,12144
4/7/2013,98.5507,98.5507,97.1739,97.3188,20424
4/8/2013,96.9565,101.4493,96.0145,100.2898,44850
4/9/2013,102.1739,110.2898,102.1739,109.3478,83214
4/10/2013,112.3188,114.1304,107.2464,108.8406,54234
4/11/2013,105.8696,114.4203,105.0725,113.6957,76521
4/15/2013,112.3188,116.6667,112.3188,115.4348,70725
4/16/2013,114.4928,114.4928,107.6087,108.6232,53475
4/17/2013,111.3768,113.0435,107.2464,111.4493,49197
4/18/2013,111.4493,117.2464,111.4493,114.9275,133722
4/21/2013,115.8696,126.0145,115.8696,121.2319,200652
4/22/2013,121.7391,122.4638,118.6232,119.3478,77142
4/24/2013,121.7391,123.913,120.2174,121.087,43746
4/25/2013,119.7826,120.8696,116.087,117.4638,43953
4/28/2013,116.0145,118.1159,109.7826,111.4493,63549
4/29/2013,110.942,114.4928,109.3478,109.5652,90045
4/30/2013,113.0435,115.0,106.5942,107.1739,54165
5/2/2013,107.1015,109.4203,105.8696,106.5217,62514
5/5/2013,104.2029,108.6957,104.2029,105.942,39951
5/6/2013,112.3188,112.3188,105.4348,106.6667,38364
5/7/2013,108.6957,111.5942,108.5507,111.087,73899
5/8/2013,111.5942,112.8986,108.9855,109.3478,83214
5/9/2013,109.058,111.5217,107.971,110.7246,90045
5/13/2013,115.6522,121.7391,115.6522,119.3913,122533
5/14/2013,121.6522,123.3913,120.3478,122.4348,134320
5/15/2013,120.0,120.0,116.1739,117.1304,122878
5/16/2013,117.1304,118.6087,116.5217,117.1304,100453
5/19/2013,118.6957,118.9565,116.6087,117.5652,221548
5/20/2013,119.1304,123.3913,117.5652,120.087,111953
5/21/2013,120.7826,121.7391,116.6956,117.0435,67103
5/22/2013,117.3913,118.1739,114.6087,115.1304,61065
5/26/2013,117.3043,117.3913,113.4783,114.087,28980
5/27/2013,115.6522,116.5217,114.4348,114.6956,71473
5/28/2013,116.4348,118.9565,116.087,118.4348,141048
5/29/2013,121.6522,125.1304,120.3478,124.6956,297965
5/30/2013,126.087,128.3478,122.6087,123.3044,124603
6/2/2013,123.913,126.8696,123.4783,124.8696,228620
6/3/2013,127.7391,127.7391,123.7391,124.5217,190153
6/4/2013,126.087,132.6087,125.2174,129.6522,321023
6/5/2013,130.4348,132.1739,126.8696,127.5652,186013
6/6/2013,127.913,129.7391,124.2609,124.5217,180148
6/9/2013,125.2174,126.9565,119.6522,120.0,106375
6/11/2013,126.9565,128.6087,124.087,124.3478,198835
6/12/2013,127.8261,127.8261,124.8696,126.6087,203953
6/13/2013,127.8261,138.9565,127.7391,134.1739,478228
6/16/2013,136.5217,138.0,133.4783,136.6087,178653
6/17/2013,138.6956,140.0,133.7391,134.087,221605
6/18/2013,134.7826,135.0435,130.087,131.4783,260993
6/19/2013,134.3478,138.9565,131.4783,132.9565,207173
6/20/2013,136.3478,136.3478,129.3044,130.0,124775
6/23/2013,132.8696,133.0435,125.2174,125.7391,129030
6/24/2013,126.087,129.1304,124.2609,126.2609,77223
6/26/2013,130.4348,131.3044,126.1739,126.8696,115978
6/27/2013,128.087,128.1739,124.3478,124.6956,76245
6/30/2013,124.087,124.4348,122.7826,123.3913,62963
7/2/2013,134.7826,134.7826,128.6956,132.8696,144440
7/3/2013,136.5217,139.1304,133.0435,134.4348,159218
7/4/2013,134.3478,137.3913,133.1304,134.3478,166175
7/7/2013,134.7826,137.1304,134.6956,135.3044,183713
7/8/2013,136.1739,136.1739,133.0435,133.3913,116035
7/9/2013,137.2174,145.8261,133.4783,141.913,301300
7/10/2013,145.2174,155.2174,142.6087,153.7391,533083
7/14/2013,154.7826,159.1304,142.6957,147.9131,403880
7/15/2013,149.5652,153.913,145.2174,146.7826,196708
7/16/2013,152.1739,153.0435,143.4783,146.3478,212233
7/17/2013,149.5652,149.5652,140.0,142.5217,174513
7/18/2013,140.9565,143.8261,138.2609,141.0435,106950
7/21/2013,144.3478,144.3478,134.9565,136.3478,107640
7/22/2013,136.5217,136.5217,132.1739,133.7391,110918
7/23/2013,130.5217,133.6522,122.4348,125.3044,112758
7/24/2013,125.2174,137.3913,125.2174,135.1304,94530
7/25/2013,139.913,140.8696,128.0,130.2609,79235
7/28/2013,134.7826,139.1304,123.7391,124.9565,53993
7/29/2013,127.6522,129.5652,125.6522,127.1304,49623
7/30/2013,118.2609,124.3478,117.4783,121.6522,342125
7/31/2013,124.3478,128.9565,123.2174,124.7826,120003
8/1/2013,126.6087,126.6087,123.7391,125.3044,57960
8/4/2013,124.9565,125.2174,118.6957,119.3043,100395
8/5/2013,121.7391,121.913,118.0,119.8261,64630
8/12/2013,119.2174,122.8696,118.2609,120.6957,37663
8/13/2013,123.4783,126.087,122.1739,123.3913,85790
8/14/2013,123.1304,123.6522,121.8261,122.3478,41803
8/18/2013,121.8261,127.7391,121.8261,126.6956,147718
8/19/2013,127.7391,136.6087,126.087,135.6522,315618
8/20/2013,139.0435,139.0435,132.7826,134.0,161403
