Date,Open,High,Low,Close,Volume
10/4/2021,9.6,9.6,9.6,9.6,2
12/6/2021,11.5,11.5,11.5,11.5,1
12/8/2021,13.8,13.8,13.8,13.8,1
5/22/2022,15.1,15.1,15.1,15.1,1
5/24/2022,16.6,16.6,16.6,16.6,1
5/26/2022,18.2,18.2,18.2,18.2,1
5/29/2022,20.0,20.0,20.0,20.0,1
6/9/2022,24.2,24.2,24.2,24.2,1
6/16/2022,26.6,26.6,26.6,26.6,1
6/19/2022,29.2,29.2,29.2,29.2,1
6/27/2022,32.1,32.1,32.1,32.1,1
6/29/2022,35.3,35.3,35.3,35.3,1
4/27/2023,38.8,38.8,38.8,38.8,1997
4/30/2023,42.6,42.6,42.6,42.6,1
5/2/2023,46.8,46.8,46.8,46.8,1
5/3/2023,51.4,51.4,51.4,51.4,1
5/7/2023,56.5,56.5,56.5,56.5,15774
5/10/2023,75.1,75.1,75.1,75.1,2
5/21/2023,90.8,90.8,90.8,90.8,1
5/23/2023,99.8,99.8,99.8,99.8,1
5/24/2023,102.5,102.5,102.5,102.5,32062
5/29/2023,145.8,145.8,145.8,145.8,500
5/30/2023,145.8,145.8,145.8,145.8,200
6/6/2023,176.3,176.3,176.3,176.3,46
6/7/2023,193.9,193.9,193.9,193.9,501
6/8/2023,213.2,213.2,213.2,213.2,2
6/11/2023,234.5,234.5,234.5,234.5,1
6/13/2023,283.6,283.6,283.6,283.6,2
6/15/2023,311.9,311.9,311.9,311.9,2599
6/18/2023,343.0,343.0,343.0,343.0,200
6/19/2023,377.3,377.3,377.3,377.3,50
6/20/2023,415.0,415.0,415.0,415.0,1
6/21/2023,456.5,456.5,456.5,456.5,1
6/22/2023,502.1,502.1,502.1,502.1,1
6/25/2023,552.3,552.3,552.3,552.3,300
6/26/2023,607.5,607.5,607.5,607.5,1
7/2/2023,668.2,668.2,668.2,668.2,13459
7/9/2023,735.0,735.0,735.0,735.0,200
7/23/2023,808.5,808.5,808.5,808.5,1
7/26/2023,889.3,889.3,889.3,889.3,400
8/10/2023,1183.6,1183.6,1183.6,1183.6,7
8/13/2023,1301.9,1301.9,1301.9,1301.9,1
8/14/2023,1432.0,1432.0,1432.0,1432.0,200
8/17/2023,1575.2,1575.2,1575.2,1575.2,941
8/20/2023,1732.7,1732.7,1732.7,1732.7,1
8/22/2023,1905.9,1905.9,1905.9,1905.9,1
8/23/2023,2096.4,2096.4,2096.4,2096.4,1
8/24/2023,2306.0,2306.0,2306.0,2306.0,5
8/27/2023,2536.6,2536.6,2536.6,2536.6,1
8/28/2023,2790.2,2790.2,2790.2,2790.2,1
8/29/2023,3069.2,3069.2,3069.2,3069.2,98
8/30/2023,3376.1,3376.1,3376.1,3376.1,1
8/31/2023,3713.7,3713.7,3713.7,3713.7,178
9/3/2023,4085.0,4085.0,4085.0,4085.0,1
