Date,Open,High,Low,Close,Volume
10/1/2012,138.0534885,141.2158765,138.0534885,139.0648105,72500
10/2/2012,143.8324717,146.0156431,139.337707,145.1006375,218750
10/4/2012,145.2772175,149.2101366,142.8693078,146.3607769,129000
10/7/2012,147.5245999,152.3404192,144.4745809,145.2772175,71000
10/8/2012,146.0798541,147.2838089,140.9429801,144.0130649,37500
10/9/2012,145.4377448,151.3772554,145.3574812,147.96605,58500
10/10/2012,148.4877637,148.4877637,142.2271986,142.9094396,20500
10/11/2012,142.0666713,142.0666713,140.4613981,140.8225846,15500
10/14/2012,142.8693078,142.8693078,137.1705882,137.9732248,26500
10/15/2012,140.7824528,141.665353,136.6087426,138.7156636,12000
10/16/2012,139.4179706,139.4179706,137.3311155,138.0735544,13000
10/17/2012,142.0666713,142.0666713,138.2942794,138.7959273,4500
10/18/2012,138.7758614,140.722255,136.4482153,138.7156636,7000
10/21/2012,138.4548067,138.4548067,135.2442605,136.3679517,7000
10/22/2012,136.4482153,138.0534885,136.4482153,137.3311155,3000
10/23/2012,137.3311155,138.4949386,136.8495336,137.9732248,11000
10/30/2012,135.6455788,140.3811345,134.8429422,136.76927,8500
10/31/2012,137.0903246,137.4314451,137.0903246,137.3311155,12500
11/1/2012,137.9932907,138.856125,135.7258424,136.4883472,27500
11/4/2012,136.4482153,137.4715769,136.4482153,137.1906542,22000
11/5/2012,136.8495336,137.2107201,136.528479,137.1103905,14500
11/6/2012,133.7995147,134.8429422,132.4350325,133.1373395,16500
11/7/2012,133.257735,133.257735,128.582377,129.6458705,29500
11/8/2012,134.0403056,135.0837332,130.8297594,131.5320664,28000
11/11/2012,131.632396,131.632396,128.4218497,129.2445522,21500
11/12/2012,130.2679138,130.4083752,126.01394,126.6159175,36500
11/13/2012,127.3784222,127.3784222,124.4086669,125.0507762,42000
11/14/2012,126.01394,126.01394,120.6964728,121.3185162,52000
11/15/2012,120.8770661,124.14781,119.7533749,121.3385821,18000
11/18/2012,124.3484692,124.3484692,121.358648,121.9606254,13000
11/19/2012,120.3954841,120.4757478,119.031002,119.7935067,16000
11/20/2012,119.2717929,119.2717929,118.3888927,118.7099473,8000
11/21/2012,118.790211,118.790211,114.7770282,115.3188079,21500
11/22/2012,118.5895519,118.6096178,116.3823013,117.6063221,12000
11/26/2012,117.1849379,119.8336385,115.5796648,116.4023672,25000
11/27/2012,115.5796648,115.5796648,113.9743916,114.7970941,1500
11/28/2012,117.9875744,119.5928476,116.1415103,118.1481017,33000
11/29/2012,121.1981207,124.0073486,119.5928476,122.2616141,39000
12/2/2012,120.6362751,121.599439,118.1481017,119.6931771,12000
12/3/2012,118.790211,118.790211,116.5227627,116.8438173,12500
12/4/2012,122.4020755,123.6060304,118.3888927,119.7734408,23000
12/5/2012,118.4290245,118.790211,118.2684972,118.5895519,4500
12/6/2012,115.6599284,118.790211,115.6599284,116.8638832,25500
12/9/2012,114.9576214,114.9576214,114.0546553,114.2954463,16000
12/10/2012,113.191821,116.3823013,113.191821,113.8740621,9500
12/11/2012,114.4559736,115.5796648,114.1349189,114.5161713,18000
12/12/2012,117.144806,117.144806,114.2553144,114.81716,13000
12/13/2012,114.7770282,115.4994011,114.0546553,114.7770282,1500
12/17/2012,117.1849379,118.1481017,115.4191374,116.462565,3000
12/18/2012,117.164872,117.8069812,116.7836196,117.2250697,5500
12/19/2012,116.8638832,118.3086291,116.8036855,117.7869153,12500
12/20/2012,117.1849379,117.9875744,116.0010489,116.6030264,6000
12/23/2012,112.3691185,116.4424991,112.3691185,114.9977532,6500
12/24/2012,117.1046742,117.1046742,115.5796648,116.221774,3000
12/26/2012,119.4323202,123.3251076,119.4323202,123.224778,51000
12/27/2012,125.6126218,127.2981585,122.5626028,124.8902489,26000
12/30/2012,120.7165387,122.0810209,120.7165387,121.0576593,3500
1/1/2013,120.4757478,120.7968024,118.3888927,120.2148909,9000
1/2/2013,117.3454652,118.790211,117.3454652,118.328695,2000
1/3/2013,120.3152205,120.3152205,117.2652015,117.8069812,14500
1/6/2013,117.2652015,117.9675085,116.7836196,117.0645424,11500
1/7/2013,117.1849379,117.1849379,115.7803239,116.3020377,9000
1/8/2013,114.3757099,116.462565,114.3757099,115.9408512,9000
1/9/2013,116.3823013,116.3823013,115.6197966,115.9207853,6500
1/10/2013,114.1549849,116.462565,114.1549849,115.7000602,3500
1/13/2013,117.5862562,120.3152205,116.3823013,117.9875744,13000
1/14/2013,117.5862562,117.5862562,116.5026968,117.0244106,6500
1/15/2013,117.0645424,117.0645424,116.2418399,116.6431582,2000
1/16/2013,116.3823013,116.462565,116.3823013,116.3823013,4000
1/17/2013,115.6197966,116.3823013,115.3388738,115.9609171,24000
