Date,Open,High,Low,Close,Volume
6/19/2013,26.10294118,26.10294118,26.10294118,26.10294118,8500
6/20/2013,28.67647059,28.67647059,28.67647059,28.67647059,4000
6/23/2013,31.54411765,31.54411765,31.54411765,31.54411765,5000
6/24/2013,34.63235294,34.63235294,34.63235294,34.63235294,23000
6/26/2013,38.08823529,38.08823529,38.08823529,38.08823529,12500
6/27/2013,41.83823529,41.83823529,41.83823529,41.83823529,7500
6/30/2013,45.95588235,45.95588235,41.17647059,45.95588235,228000
7/2/2013,50.51470588,50.51470588,48.01470588,50.51470588,83500
7/3/2013,55.51470588,55.51470588,55.51470588,55.51470588,15000
7/4/2013,61.02941176,61.02941176,61.02941176,61.02941176,10000
7/7/2013,67.13235294,67.13235294,67.13235294,67.13235294,58000
7/8/2013,73.82352941,73.82352941,73.82352941,73.82352941,124000
7/9/2013,81.17647059,81.17647059,81.17647059,81.17647059,63500
7/10/2013,89.26470588,89.26470588,89.26470588,89.26470588,75000
7/11/2013,98.16176471,98.16176471,98.16176471,98.16176471,33000
7/14/2013,107.9411765,107.9411765,88.38235294,90.07352941,477000
7/15/2013,83.82352941,89.70588235,81.10294118,81.10294118,73000
7/16/2013,73.52941176,73.52941176,73.01470588,73.01470588,38000
7/17/2013,65.73529412,65.73529412,65.73529412,65.73529412,4000
7/18/2013,59.19117647,59.19117647,59.19117647,59.19117647,1500
7/21/2013,53.30882353,65.07352941,53.30882353,65.07352941,370000
7/22/2013,71.54411765,71.54411765,68.38235294,71.47058824,138500
7/23/2013,78.60294118,78.60294118,69.85294118,71.02941176,176000
7/24/2013,66.10294118,70.29411765,63.97058824,65.66176471,244000
7/25/2013,61.32352941,62.5,59.11764706,59.33823529,112500
7/28/2013,54.41176471,60.29411765,53.52941176,54.85294118,102000
7/29/2013,55.14705882,60.29411765,55.14705882,60.22058824,50500
7/30/2013,66.17647059,66.17647059,62.5,66.17647059,204500
7/31/2013,67.64705882,68.38235294,63.97058824,65.29411765,168000
8/1/2013,64.41176471,64.85294118,62.5,62.94117647,76000
8/4/2013,60.29411765,62.13235294,57.27941176,59.55882353,54000
8/5/2013,61.02941176,62.86764706,59.70588235,61.25,39500
8/12/2013,61.98529412,65.58823529,61.76470588,63.75,72000
8/13/2013,64.70588235,67.64705882,64.70588235,65.88235294,98000
8/14/2013,66.10294118,66.91176471,64.41176471,64.92647059,104000
8/18/2013,66.83823529,66.91176471,64.04411765,64.70588235,124500
8/19/2013,63.38235294,65.36764706,62.94117647,63.45588235,70500
8/20/2013,63.97058824,69.77941176,62.86764706,69.55882353,255000
8/21/2013,71.98529412,76.47058824,71.98529412,76.39705882,286500
8/22/2013,77.20588235,83.97058824,77.20588235,83.97058824,167000
8/25/2013,90.73529412,92.35294118,87.72058824,92.05882353,290000
8/26/2013,95.36764706,101.25,86.83823529,101.0294118,337500
8/27/2013,102.9411765,108.4558824,94.19117647,96.39705882,233500
8/29/2013,88.97058824,101.4705882,88.97058824,98.52941176,175500
9/1/2013,101.3970588,108.3823529,101.3970588,108.3823529,272000
9/2/2013,115.6617647,119.1176471,110.2941176,117.7941176,272000
9/3/2013,121.3235294,129.5588235,121.3235294,129.1176471,246000
9/4/2013,134.5588235,138.8970588,128.75,132.0588235,278500
9/5/2013,131.6176471,132.3529412,123.5294118,124.7794118,256500
9/8/2013,119.1911765,137.2058824,119.1911765,137.2058824,308000
9/9/2013,142.6470588,150.0735294,141.9117647,150.0735294,332500
9/10/2013,154.0441176,163.1617647,152.9411765,163.1617647,256000
9/11/2013,172.0588235,177.4264706,150.7352941,163.3088235,385000
9/12/2013,152.9411765,177.5735294,150.9558824,175.2941176,402500
9/15/2013,177.2058824,190.5882353,177.2058824,190.5147059,145000
9/16/2013,206.25,207.1323529,195.5882353,207.1323529,383000
9/17/2013,205.8823529,225.2205882,205.8823529,225.1470588,349500
9/18/2013,220.5882353,242.6470588,205.8823529,207.5,301000
9/19/2013,207.5,209.4852941,189.4117647,200.2941176,437000
9/22/2013,212.5,217.7941176,202.2058824,217.7941176,179500
9/23/2013,236.7647059,236.8382353,224.2647059,236.8382353,260500
9/24/2013,242.6470588,242.6470588,216.1764706,216.1764706,255500
9/25/2013,197.7941176,198.5294118,197.2794118,197.2794118,99500
9/26/2013,180.0735294,214.4852941,180.0735294,214.4852941,484500
9/29/2013,224.2647059,225.7352941,195.7352941,196.3235294,283500
9/30/2013,188.9705882,205.8823529,186.8382353,190.6617647,164000
10/1/2013,191.1764706,194.1176471,174.2647059,176.9852941,261000
10/2/2013,170.5882353,180.1470588,163.2352941,173.1617647,244000
10/3/2013,180.8823529,188.3088235,178.6764706,188.2352941,134000
10/6/2013,197.0588235,197.0588235,179.0441176,180.8823529,145000
10/7/2013,180.1470588,186.6176471,173.5294118,184.5588235,132500
10/8/2013,186.0294118,193.2352941,170.8088235,175.0735294,192000
10/9/2013,180.1470588,180.1470588,161.25,164.3382353,263500
10/20/2013,145.2205882,145.2205882,138.5294118,138.5294118,146000
10/21/2013,129.4117647,149.2647059,125.6617647,148.3088235,283000
10/22/2013,147.0588235,161.25,147.0588235,161.0294118,219000
10/23/2013,161.7647059,173.4558824,155.1470588,157.5735294,175000
10/24/2013,150.7352941,152.2058824,144.1911765,148.75,233500
10/27/2013,150.7352941,160.8088235,149.2647059,156.3970588,118500
10/28/2013,158.4558824,163.2352941,145.6617647,147.2794118,210500
10/29/2013,143.3823529,145.5882353,134.5588235,135.0,195500
10/30/2013,134.5588235,139.6323529,126.5441176,131.6911765,136500
10/31/2013,136.7647059,137.5,129.9264706,132.1323529,88000
11/3/2013,136.3970588,144.8529412,133.1617647,143.8970588,142000
11/4/2013,149.2647059,154.1911765,141.25,142.4264706,157000
11/5/2013,143.3088235,146.7647059,136.8382353,139.5588235,104000
11/6/2013,141.1764706,141.1764706,135.2941176,136.25,114000
11/7/2013,136.3970588,138.8970588,131.6176471,132.1323529,113500
11/10/2013,130.8823529,132.3529412,122.7941176,124.1176471,153500
11/11/2013,125.1470588,134.4117647,125.0,132.6470588,117000
11/12/2013,135.9558824,138.2352941,129.8529412,132.2794118,98500
11/13/2013,131.5441176,144.9264706,129.8529412,144.7058824,339000
11/14/2013,149.2647059,152.1323529,137.5,139.7794118,181000
11/17/2013,144.0441176,149.8529412,142.0588235,147.8676471,157500
11/18/2013,150.8823529,160.2941176,149.3382353,153.6764706,275500
