Date,Open,High,Low,Close,Volume
4/12/2022,11.0,11.0,11.0,11.0,100
4/13/2022,12.1,12.1,12.1,12.1,143
4/17/2022,13.3,13.3,13.3,13.3,1
4/18/2022,14.6,14.6,14.6,14.6,5
4/19/2022,16.0,16.0,16.0,16.0,1
4/20/2022,17.6,17.6,17.6,17.6,1
4/21/2022,19.3,19.3,19.3,19.3,1
4/24/2022,21.2,21.2,21.2,21.2,1475238
4/25/2022,23.1,23.1,20.5,20.9,2067566
4/26/2022,21.0,21.0,19.1,19.3,376911
4/27/2022,19.0,19.7,18.9,19.3,599494
4/28/2022,19.1,20.3,18.7,20.1,1024187
5/5/2022,20.3,20.5,19.9,20.3,350321
5/8/2022,20.4,20.9,19.1,19.5,500355
5/9/2022,19.9,20.5,19.0,20.2,595393
5/10/2022,19.8,20.5,19.4,19.6,280320
5/11/2022,19.9,19.9,18.7,18.9,147221
5/12/2022,18.5,19.2,18.1,18.5,303804
5/16/2022,18.2,18.5,17.1,17.3,264770
5/17/2022,17.4,17.6,16.0,16.4,422129
5/18/2022,17.2,17.2,15.4,15.7,10319
5/19/2022,16.0,16.0,14.5,15.1,430855
5/22/2022,16.1,16.1,14.7,14.9,95219
5/23/2022,15.0,16.1,14.9,15.7,329024
5/24/2022,15.6,15.6,15.0,15.5,29960
5/26/2022,15.4,16.2,15.4,16.1,148506
5/29/2022,16.5,17.7,16.3,17.7,507256
5/30/2022,18.9,18.9,17.3,17.5,94556
5/31/2022,17.9,17.9,16.6,16.9,40035
6/9/2022,20.7,22.1,20.7,22.1,1385647
6/12/2022,20.1,24.3,20.1,24.3,1129236
6/13/2022,24.2,24.9,22.2,22.5,495720
6/14/2022,22.5,23.7,21.3,22.7,352611
6/15/2022,22.2,24.6,22.2,24.5,901541
6/16/2022,24.9,26.3,23.4,24.9,831743
6/19/2022,23.7,26.7,23.7,26.4,936380
6/20/2022,26.9,27.4,26.0,26.7,938010
6/21/2022,29.3,29.3,25.6,27.5,783512
6/22/2022,30.2,30.2,26.4,26.8,391472
6/23/2022,29.4,29.4,26.3,28.5,891660
6/26/2022,30.0,30.9,28.2,29.9,1358212
6/27/2022,30.1,30.3,28.5,28.8,663658
6/28/2022,29.4,30.6,27.5,29.8,804593
