Date,Open,High,Low,Close,Volume
11/3/2021,10.1,10.2,8.3,10.0,525773
11/7/2021,10.1,10.1,10.1,10.1,13474
11/11/2021,10.0,10.0,10.0,10.0,41097
11/14/2021,10.0,10.0,8.1,8.9,33139
11/16/2021,9.5,9.5,9.5,9.5,50000
11/22/2021,10.1,10.1,10.0,10.0,2644
11/24/2021,10.0,10.0,9.0,9.5,37806
12/1/2021,8.9,8.9,8.6,8.6,86526
12/2/2021,9.5,9.5,9.2,9.3,20000
12/6/2021,0.0,9.3,9.3,9.3,100
12/7/2021,9.4,9.4,9.4,9.4,23886
12/8/2021,9.3,9.3,9.3,9.3,27567
12/9/2021,9.2,9.3,9.2,9.3,128008
12/14/2021,8.6,8.6,8.1,8.2,31463
12/15/2021,9.7,9.7,9.7,9.7,136
12/19/2021,9.2,9.2,8.7,9.1,5787
12/20/2021,8.7,9.0,8.2,9.0,204060
12/21/2021,8.8,8.8,8.5,8.6,30000
12/22/2021,8.3,9.9,8.3,8.3,3905
12/23/2021,8.7,8.7,8.7,8.7,7001
12/26/2021,9.6,9.6,9.6,9.6,53933
12/27/2021,9.0,9.5,9.0,9.4,6006
12/28/2021,9.4,9.9,8.9,9.2,237487
12/30/2021,9.8,10.1,9.6,10.0,261310
1/2/2022,10.2,10.2,8.8,9.4,5
1/3/2022,9.5,9.5,8.7,9.5,336
1/4/2022,9.2,9.2,9.2,9.2,1
1/5/2022,8.9,9.8,8.9,9.8,10062
1/6/2022,9.8,9.8,9.3,9.3,11664
1/10/2022,9.2,9.2,8.7,8.8,6000
1/11/2022,9.3,9.3,9.3,9.3,39329
1/13/2022,8.7,8.7,8.7,8.7,1
1/17/2022,8.4,8.4,8.4,8.4,3
1/20/2022,9.5,9.8,8.6,8.6,17700
1/23/2022,8.5,8.5,8.5,8.5,10
1/24/2022,8.6,8.6,8.6,8.6,23
1/27/2022,9.9,9.9,8.6,9.0,3
1/30/2022,9.6,9.6,9.4,9.5,2
1/31/2022,9.1,9.1,8.9,9.0,52000
2/1/2022,8.9,8.9,8.9,8.9,7866
2/2/2022,9.0,9.0,9.0,9.0,20750
2/7/2022,10.1,10.1,10.1,10.1,1
2/8/2022,9.1,9.9,8.6,8.9,103264
2/10/2022,9.1,9.1,9.0,9.1,7866
2/13/2022,8.9,8.9,8.9,8.9,787
2/14/2022,9.1,9.1,8.8,9.0,20226
2/15/2022,9.1,9.1,9.0,9.0,25000
2/16/2022,9.0,9.0,9.0,9.0,13000
2/22/2022,10.3,10.3,10.3,10.3,100
2/23/2022,10.3,10.3,10.3,10.3,100
2/27/2022,8.4,8.4,8.4,8.4,3933
2/28/2022,9.5,9.5,9.5,9.5,26
3/1/2022,9.8,9.8,8.5,8.5,10280
3/6/2022,8.5,9.8,8.5,9.1,10600
3/7/2022,9.3,9.3,9.3,9.3,5
3/8/2022,9.8,9.8,9.8,9.8,10
3/10/2022,9.6,9.7,9.2,9.5,100000
3/14/2022,9.0,10.0,9.0,9.0,23718
3/15/2022,9.8,9.8,9.8,9.8,5
3/16/2022,9.9,9.9,9.9,9.9,1500
3/20/2022,9.6,10.0,9.5,9.5,68100
3/21/2022,9.8,10.0,9.6,9.8,107027
3/22/2022,10.3,10.3,9.7,9.8,66486
3/23/2022,10.2,11.5,10.0,10.3,438799
3/24/2022,10.3,10.3,9.7,9.8,52996
3/27/2022,10.3,10.5,10.1,10.4,221233
3/28/2022,10.1,10.3,10.1,10.2,36513
3/29/2022,10.3,12.2,10.2,12.1,1499259
3/30/2022,12.2,14.2,11.6,12.5,685276
3/31/2022,13.2,15.0,13.2,15.0,2301049
4/3/2022,16.3,17.7,13.6,14.1,605084
4/4/2022,15.6,16.9,14.8,16.9,2591189
4/5/2022,18.4,20.2,18.4,20.2,3678507
4/6/2022,20.7,24.2,20.5,21.1,4263973
4/7/2022,19.4,21.8,18.5,20.2,2561700
4/10/2022,20.2,21.2,19.1,19.4,1552658
4/11/2022,18.9,19.4,17.6,18.2,1796046
4/12/2022,18.2,20.0,18.0,20.0,1407651
4/13/2022,20.2,21.5,19.8,21.2,2568632
4/17/2022,21.4,22.4,21.4,21.6,1684093
4/18/2022,21.5,21.5,19.5,19.6,1454622
4/19/2022,19.4,21.1,19.4,20.9,950777
4/20/2022,21.0,21.2,20.1,20.8,972415
4/21/2022,21.1,21.6,20.1,20.4,1098294
4/24/2022,20.4,20.7,19.3,19.4,1215258
4/25/2022,19.2,19.8,19.0,19.4,533887
4/26/2022,20.0,20.0,18.2,18.4,550025
4/27/2022,18.9,18.9,17.5,17.6,304369
4/28/2022,18.1,18.8,17.5,18.1,514472
5/5/2022,18.4,18.7,17.9,18.1,214307
5/8/2022,18.9,18.9,17.2,17.3,261792
5/9/2022,17.2,18.5,17.2,17.7,448201
5/10/2022,18.3,18.3,17.6,17.9,332247
5/11/2022,18.0,18.1,17.3,17.4,303470
5/12/2022,17.1,18.4,17.0,18.1,735732
5/16/2022,18.8,19.0,17.6,18.1,578498
5/17/2022,18.4,18.4,17.3,17.9,290387
5/18/2022,18.2,18.2,17.2,17.4,198277
5/19/2022,17.6,18.6,16.2,18.2,1071974
5/22/2022,18.2,19.6,18.2,18.5,570619
5/23/2022,18.5,19.8,18.4,19.6,840853
5/24/2022,19.0,19.9,18.4,18.8,711399
5/26/2022,19.0,19.9,18.6,19.5,425378
5/29/2022,19.0,20.6,19.0,20.3,515366
5/30/2022,20.5,20.5,19.7,20.0,313674
5/31/2022,19.6,19.8,19.1,19.6,373285
6/12/2022,21.0,22.1,20.9,21.7,4249467
6/13/2022,22.0,22.0,20.0,20.5,879524
6/14/2022,20.9,21.1,20.0,20.8,1319354
6/15/2022,21.9,22.3,21.0,21.8,1775831
6/16/2022,22.0,22.9,21.7,22.5,1421628
6/19/2022,23.0,24.6,22.7,24.1,2939334
6/20/2022,24.6,24.6,23.0,23.3,1181861
6/21/2022,25.6,25.6,23.0,24.2,2119490
6/22/2022,26.6,26.6,23.3,23.4,677782
6/23/2022,25.7,25.7,22.9,24.0,1796532
6/26/2022,25.7,25.7,24.3,25.4,1760167
6/27/2022,25.0,25.5,24.4,24.5,1956986
6/28/2022,25.0,26.0,24.0,25.8,2266978
6/29/2022,28.3,28.3,25.5,27.4,1885419
6/30/2022,30.1,30.1,26.8,27.5,2173063
7/3/2022,29.0,29.0,26.7,27.4,1093514
7/4/2022,27.0,28.9,27.0,28.8,2188907
7/5/2022,28.5,29.8,28.3,28.8,1761667
7/6/2022,28.8,30.7,28.8,30.5,1857649
7/7/2022,30.1,33.1,30.1,32.3,2782961
7/12/2022,32.9,34.7,32.0,33.7,3695373
7/13/2022,34.8,34.8,31.7,32.5,2338191
7/14/2022,32.2,33.4,31.0,33.0,1960908
7/17/2022,33.4,33.4,29.7,30.0,1289395
7/18/2022,30.5,30.5,27.0,27.0,1399741
7/19/2022,25.2,29.2,24.7,28.2,1351608
7/20/2022,29.4,29.7,27.6,29.4,1081679
7/21/2022,29.1,32.3,29.1,32.1,2098548
7/24/2022,32.6,32.7,30.0,30.4,1335998
7/25/2022,29.2,30.8,27.9,30.6,933974
7/26/2022,31.0,31.6,28.8,29.1,1248707
7/27/2022,32.0,32.0,28.5,30.1,1170684
7/28/2022,33.1,33.1,28.3,28.9,1369851
7/31/2022,29.9,31.7,29.0,31.7,1965226
8/1/2022,32.0,33.5,31.7,32.5,2236403
8/2/2022,32.9,33.7,32.2,32.5,3650554
8/3/2022,32.5,34.4,32.5,34.2,3357456
8/4/2022,34.1,37.6,34.1,37.6,3892629
8/7/2022,36.5,38.8,36.5,37.8,5078945
8/8/2022,38.0,41.5,37.7,41.5,3707789
8/10/2022,42.3,45.2,42.3,44.2,3987852
8/11/2022,44.4,46.0,43.5,44.3,4143330
8/14/2022,43.1,44.8,42.6,42.9,2339771
8/16/2022,43.2,43.9,41.6,43.3,1625469
8/17/2022,44.3,46.4,43.9,46.0,1833593
8/21/2022,45.6,47.1,44.0,44.3,1592186
8/22/2022,44.0,44.7,43.1,43.7,769404
8/23/2022,43.7,44.0,41.2,42.0,1205264
8/24/2022,41.2,44.3,41.2,43.4,1150887
8/25/2022,43.8,46.7,43.5,46.0,1972405
8/28/2022,46.1,47.0,44.0,44.4,1599882
8/29/2022,44.2,45.8,43.3,44.1,1282539
8/30/2022,44.1,44.6,43.7,43.9,1395439
8/31/2022,43.5,45.0,41.3,42.6,1098195
9/1/2022,42.5,45.0,41.9,44.6,1064794
9/4/2022,44.3,44.4,40.5,41.7,841861
9/5/2022,43.7,43.7,40.1,40.4,453558
9/6/2022,41.0,41.1,36.8,38.2,239717
9/7/2022,38.2,38.2,34.4,36.1,600245
9/8/2022,37.8,39.7,35.2,39.4,374983
9/11/2022,39.0,41.6,38.2,39.8,624738
9/12/2022,42.0,42.0,38.0,40.0,140559
9/13/2022,41.4,41.4,39.7,40.4,356862
9/14/2022,44.0,44.0,38.0,39.3,517583
9/15/2022,41.1,41.1,38.8,40.1,424479
9/18/2022,39.9,40.8,38.8,39.0,362148
9/19/2022,39.9,39.9,36.3,36.9,329508
9/20/2022,37.9,37.9,34.5,35.1,247331
9/21/2022,36.2,36.2,33.3,34.9,204537
9/22/2022,31.5,36.9,31.5,35.8,238045
9/25/2022,34.5,36.8,34.5,35.2,164886
9/26/2022,35.0,35.8,34.6,35.2,33749
9/27/2022,35.0,38.6,34.8,37.8,501621
9/28/2022,39.4,39.4,36.5,37.9,147618
9/29/2022,35.0,39.1,35.0,37.8,247543
10/2/2022,37.0,38.0,36.7,37.5,296803
10/3/2022,37.8,37.8,35.1,35.3,65801
10/4/2022,36.8,36.8,32.5,34.4,387152
10/6/2022,32.3,35.3,32.3,34.3,143916
10/10/2022,32.2,34.2,31.0,31.1,364526
10/11/2022,28.3,33.0,28.3,32.0,113696
10/12/2022,32.7,34.7,32.7,33.9,327192
10/13/2022,35.9,36.6,33.6,33.9,315193
10/16/2022,32.0,34.5,32.0,34.3,201301
10/17/2022,35.1,35.1,32.3,32.7,84515
10/18/2022,33.2,33.2,30.5,31.9,52103
10/19/2022,32.3,32.3,28.8,31.2,377884
10/20/2022,32.0,34.3,30.3,34.1,637913
10/23/2022,35.8,35.8,30.7,33.8,374870
10/24/2022,30.5,32.8,30.5,31.1,22254
10/25/2022,32.9,32.9,30.6,31.0,46750
10/26/2022,33.3,33.3,29.0,31.0,131620
10/27/2022,27.9,34.0,27.9,31.0,192699
10/30/2022,31.9,31.9,30.0,31.2,131455
10/31/2022,32.3,32.3,28.2,28.7,208213
11/1/2022,26.1,29.0,25.9,26.4,277061
11/2/2022,27.8,29.0,26.9,29.0,243897
11/3/2022,29.7,31.5,28.0,30.3,213059
11/6/2022,28.3,30.0,27.4,29.1,681323
11/7/2022,28.6,30.1,27.1,28.3,197514
11/8/2022,26.6,28.3,26.6,27.4,223800
11/9/2022,28.3,29.6,27.5,29.0,529317
11/10/2022,29.6,30.3,29.0,29.5,644974
11/13/2022,29.6,30.5,29.0,29.2,479500
11/14/2022,30.2,30.2,27.0,27.2,415307
11/15/2022,27.0,28.0,25.7,26.8,77448
11/16/2022,27.3,27.9,26.5,27.0,390022
11/17/2022,28.6,29.7,28.0,29.7,1200737
11/20/2022,29.7,31.0,26.8,27.4,659989
11/21/2022,28.9,28.9,25.0,25.8,145663
11/22/2022,24.0,27.6,24.0,26.6,103210
11/23/2022,27.9,27.9,25.0,26.3,248312
11/24/2022,28.9,28.9,25.7,26.2,326409
11/27/2022,27.1,27.4,25.6,26.5,271411
11/28/2022,27.7,28.2,26.1,26.4,90082
11/29/2022,27.5,27.5,25.2,25.5,286503
11/30/2022,25.3,26.9,25.3,25.9,288354
12/1/2022,27.1,27.1,25.3,26.0,235971
12/4/2022,26.4,26.4,25.0,25.5,93231
12/5/2022,25.9,25.9,23.7,24.7,109558
12/6/2022,25.0,25.0,23.8,24.6,141084
12/7/2022,23.1,25.4,23.1,24.6,9616
12/8/2022,24.3,24.5,23.0,23.6,49300
12/11/2022,22.0,25.1,22.0,25.0,128061
12/12/2022,24.9,25.0,23.8,24.7,136232
12/13/2022,25.3,25.5,24.2,25.0,108145
12/14/2022,25.0,25.2,24.1,24.5,32152
12/15/2022,24.5,24.5,23.6,24.3,80927
12/18/2022,21.9,24.7,21.9,23.4,58185
12/19/2022,25.0,25.0,22.9,23.9,174464
12/20/2022,23.0,23.6,22.0,23.5,171024
12/21/2022,22.5,23.2,22.0,22.7,88154
12/22/2022,22.1,22.4,21.0,21.6,143950
12/26/2022,21.7,22.0,21.6,21.6,12505
12/27/2022,20.2,21.7,20.0,21.4,73112
12/28/2022,19.9,23.0,19.9,22.4,165608
12/29/2022,21.8,23.7,21.8,23.3,157589
1/1/2023,23.4,23.9,22.1,22.3,163434
1/2/2023,21.8,22.9,21.5,21.9,95606
1/3/2023,20.7,22.9,20.6,22.1,107102
