Date,Open,High,Low,Close,Volume
10/1/2012,164.1111111,164.1111111,158.5555556,161.3333333,400
10/2/2012,156.6666667,162.7777778,156.6666667,159.3888889,1600
10/3/2012,156.1111111,156.1111111,155.5555556,155.7222222,600
10/4/2012,151.1111111,151.1111111,151.1111111,151.1111111,800
10/7/2012,161.1111111,161.1111111,161.1111111,161.1111111,200
10/8/2012,148.3333333,148.3333333,148.3333333,148.3333333,200
10/9/2012,161.1111111,161.1111111,161.1111111,161.1111111,200
10/10/2012,163.8888889,163.8888889,153.4444444,159.7777778,1600
10/11/2012,148.8888889,149.5555556,148.8888889,149.3888889,1200
10/14/2012,147.7777778,148.3888889,147.7777778,148.0555556,800
10/15/2012,160.5555556,160.5555556,148.3888889,152.4444444,600
10/16/2012,160.0,160.0,160.0,160.0,200
10/17/2012,158.3333333,160.5555556,155.6111111,157.4444444,1200
10/21/2012,161.0555556,161.0555556,161.0555556,161.0555556,200
10/22/2012,155.5555556,158.3333333,153.8888889,155.3888889,800
10/23/2012,116.6666667,163.1666667,116.6666667,140.5,600
10/31/2012,139.4444444,139.4444444,133.6111111,137.2777778,600
11/1/2012,138.8888889,138.8888889,134.5,136.3333333,1200
11/4/2012,135.8333333,135.8333333,133.8888889,134.9444444,1000
11/5/2012,140.0,140.0,136.6666667,138.5555556,800
11/6/2012,139.8333333,139.8333333,139.8333333,139.8333333,400
11/7/2012,143.3333333,143.3333333,143.3333333,143.3333333,200
11/8/2012,147.2222222,147.2222222,138.8888889,143.0555556,1200
11/11/2012,134.5,140.5555556,134.5,136.5555556,600
11/13/2012,136.7222222,136.7222222,136.7222222,136.7222222,200
11/14/2012,133.6111111,133.6111111,133.4444444,133.5,400
11/19/2012,133.3888889,133.3888889,127.8333333,129.6666667,600
11/20/2012,122.3333333,122.3333333,122.2777778,122.2777778,400
11/21/2012,116.7222222,116.7222222,114.5,115.9444444,600
11/22/2012,122.2222222,122.2222222,122.2222222,122.2222222,400
11/26/2012,113.3333333,113.3333333,113.3333333,113.3333333,200
11/28/2012,111.6666667,112.2222222,111.6666667,111.9444444,400
11/29/2012,118.1666667,119.4444444,118.1666667,118.6111111,600
12/2/2012,112.3888889,112.3888889,112.3888889,112.3888889,200
12/3/2012,111.6666667,111.6666667,111.6666667,111.6666667,600
12/4/2012,118.8888889,118.8888889,118.8888889,118.8888889,200
12/5/2012,114.2222222,114.2222222,114.1666667,114.1666667,400
12/6/2012,108.3333333,108.3333333,108.3333333,108.3333333,200
12/9/2012,116.6111111,116.6111111,116.6111111,116.6111111,200
12/10/2012,116.6666667,116.6666667,116.6666667,116.6666667,800
12/19/2012,111.6666667,111.6666667,111.6666667,111.6666667,200
12/27/2012,111.6666667,111.6666667,111.6666667,111.6666667,600
12/30/2012,113.8333333,113.8333333,113.8333333,113.8333333,400
1/1/2013,113.8333333,114.4444444,113.8333333,114.1111111,400
1/8/2013,117.7777778,117.7777778,117.7777778,117.7777778,200
1/14/2013,111.1111111,111.1111111,111.1111111,111.1111111,200
1/15/2013,111.1111111,111.1111111,111.1111111,111.1111111,600
1/21/2013,110.5555556,110.5555556,110.5555556,110.5555556,4800
1/22/2013,111.1111111,111.1111111,110.5555556,110.6111111,1200
1/27/2013,111.1111111,111.1111111,111.1111111,111.1111111,200
1/29/2013,117.2222222,117.2222222,117.2222222,117.2222222,200
1/30/2013,113.8888889,113.8888889,113.8888889,113.8888889,200
1/31/2013,116.6666667,116.6666667,116.1111111,116.5,800
2/6/2013,116.6666667,116.6666667,116.6666667,116.6666667,200
2/7/2013,111.7222222,111.7222222,111.6666667,111.6666667,400
2/10/2013,115.5,115.5,115.5,115.5,200
2/11/2013,111.1111111,111.1111111,111.1111111,111.1111111,200
2/12/2013,111.6666667,111.6666667,110.5555556,111.3888889,800
2/13/2013,111.1666667,111.1666667,111.1111111,111.1111111,800
2/14/2013,116.1111111,116.1111111,111.2222222,114.8333333,800
2/17/2013,115.0,115.0,115.0,115.0,200
2/27/2013,111.1111111,111.1111111,111.1111111,111.1111111,400
3/7/2013,116.6111111,116.6666667,116.6111111,116.6111111,600
3/13/2013,111.1111111,111.1111111,111.1111111,111.1111111,1000
3/27/2013,105.5555556,105.5555556,105.5555556,105.5555556,200
4/1/2013,97.22222222,97.22222222,97.22222222,97.22222222,200
4/3/2013,96.66666667,105.5555556,96.66666667,101.1111111,400
4/4/2013,95.55555556,95.55555556,94.61111111,94.94444444,600
4/7/2013,94.44444444,94.44444444,94.44444444,94.44444444,400
