Date,Open,High,Low,Close,Volume
2/15/2022,11.0,11.0,11.0,11.0,12
3/13/2022,10.0,10.0,10.0,10.0,3729
3/15/2022,11.0,11.0,11.0,11.0,1
3/16/2022,10.0,10.0,10.0,10.0,507
3/24/2022,10.1,10.5,10.0,10.4,39909
3/28/2022,10.1,10.1,10.0,10.1,2391
3/29/2022,10.8,12.1,10.8,12.1,746462
3/30/2022,13.3,13.3,12.3,12.7,87150
3/31/2022,13.3,15.2,13.3,15.2,759310
4/3/2022,15.6,17.3,13.6,13.7,684888
4/4/2022,15.2,16.4,14.9,16.4,1256110
4/5/2022,17.1,19.6,17.1,19.6,1016283
4/6/2022,20.2,23.0,19.3,20.3,1536500
4/7/2022,19.6,20.4,18.5,19.4,1114312
4/10/2022,20.7,20.7,17.5,17.7,597214
4/11/2022,17.6,17.9,16.2,17.2,189278
4/12/2022,17.8,18.9,17.0,18.9,755487
4/13/2022,19.9,20.7,19.3,20.7,1181889
4/17/2022,21.2,22.7,21.2,22.7,934005
4/18/2022,23.0,24.0,21.1,21.5,567727
4/19/2022,21.3,23.6,21.3,23.6,734685
4/20/2022,25.5,25.5,22.5,23.1,299473
4/21/2022,23.9,24.1,22.8,23.1,308849
4/24/2022,23.4,23.6,22.6,23.4,406052
4/25/2022,23.2,24.0,22.8,23.7,551186
4/26/2022,25.7,25.7,23.0,23.8,156412
4/27/2022,22.8,23.3,22.7,22.8,101150
4/28/2022,24.2,24.2,22.4,22.9,81843
5/5/2022,24.0,24.0,22.5,22.6,3311
5/8/2022,23.9,24.7,22.7,23.4,123417
5/9/2022,23.8,24.5,22.5,24.0,138748
5/10/2022,24.2,24.2,22.2,22.8,41814
5/11/2022,22.0,23.4,21.0,23.1,62062
5/12/2022,23.9,23.9,21.7,21.9,4433
5/16/2022,22.0,22.0,20.1,21.3,24614
5/17/2022,19.6,22.5,19.2,20.1,18941
5/18/2022,21.7,21.7,19.5,19.6,6437
5/19/2022,20.0,21.3,18.8,19.6,106869
5/22/2022,21.0,21.0,19.2,19.2,2678
5/23/2022,20.0,20.0,19.8,20.0,73201
