Date,Open,High,Low,Close,Volume
10/1/2012,52.8815,56.7229,48.9404,53.5301,290249
10/2/2012,56.3737,57.3216,53.4802,54.9768,243745
10/3/2012,57.7706,60.1153,56.3737,57.8704,614974
10/4/2012,59.7661,62.3104,58.9679,61.7617,590921
10/7/2012,64.7549,67.8979,62.3104,65.7527,465841
10/8/2012,65.8525,66.1019,61.4124,63.2583,232921
10/9/2012,67.3491,67.3491,62.8592,63.6574,236529
10/10/2012,63.9567,64.8547,59.9657,61.3625,214479
10/11/2012,61.8614,61.8614,57.5211,58.8681,169980
10/14/2012,61.3625,61.8614,57.0223,57.571,159156
10/15/2012,59.816,59.816,55.9746,56.9724,74567
10/16/2012,58.7185,60.8637,57.0722,57.571,72963
10/17/2012,59.367,60.3648,57.2218,57.6708,70157
10/18/2012,58.8681,58.8681,56.9724,57.4713,59333
10/21/2012,58.8681,59.1176,55.9746,56.673,73765
10/22/2012,58.2695,62.3104,57.3715,62.3104,216484
10/23/2012,64.3558,66.8004,63.1086,63.4578,157151
10/30/2012,64.3558,64.3558,61.4623,61.8614,50112
10/31/2012,63.3082,66.8503,61.3625,64.5554,197642
11/1/2012,66.5509,70.3424,66.2017,69.2449,592524
11/4/2012,71.8391,73.7847,69.3447,70.093,445395
11/5/2012,71.44,71.44,67.399,68.9456,268199
11/6/2012,69.7937,69.8435,62.3603,63.5576,271808
11/7/2012,64.8048,65.2039,60.3648,61.163,152340
11/8/2012,61.8614,66.8503,60.8637,62.1608,345973
11/11/2012,64.8547,66.1019,59.8659,61.163,301073
11/12/2012,62.6097,62.6097,56.9724,57.7706,134300
11/13/2012,56.9724,59.7661,56.0245,57.6708,171183
11/14/2012,59.7162,60.6142,53.9292,55.7751,208065
11/15/2012,57.0722,57.0722,54.3782,55.6753,210470
11/18/2012,55.9746,61.163,55.9746,58.6187,289447
11/19/2012,57.4713,58.469,54.8771,55.9247,128688
11/20/2012,53.9791,57.0722,52.5822,53.4802,104233
11/21/2012,56.8726,56.8726,53.4303,55.9247,169579
11/22/2012,55.7751,58.469,54.8771,57.571,302677
11/27/2012,54.5977,56.0345,53.6398,54.2385,86861
11/28/2012,56.2739,56.6331,52.682,54.5977,87863
11/29/2012,57.3515,58.8482,55.8549,57.3515,154345
12/2/2012,59.2074,59.2074,53.4602,54.7174,117262
12/3/2012,53.4004,55.9147,53.4004,54.2385,72495
12/4/2012,54.9569,55.1365,53.6398,54.2385,162029
12/5/2012,55.6154,55.6154,53.4004,54.7174,107574
12/6/2012,53.8793,55.6154,53.3405,53.8194,100224
12/9/2012,53.999,53.999,51.1853,51.9636,46771
12/10/2012,53.2208,53.2208,49.4492,49.988,55457
12/11/2012,50.1676,50.6465,49.09,49.4492,69823
12/12/2012,50.7663,50.7663,47.9526,48.192,42428
12/13/2012,49.09,49.5091,47.2941,47.4737,59132
12/17/2012,47.6533,48.9703,46.7553,46.9947,52451
12/18/2012,47.5934,47.6533,46.3961,46.6355,33742
12/19/2012,47.7131,47.773,46.3961,46.6355,55791
12/20/2012,46.875,46.875,45.4981,45.7375,29399
12/23/2012,45.5579,45.8573,44.8396,44.9593,36749
12/24/2012,44.0613,45.4382,44.0613,44.7797,30067
12/26/2012,44.8994,45.1987,44.0613,44.5402,15368
12/27/2012,44.8994,45.3185,43.8218,43.8817,28397
12/30/2012,43.9416,44.4804,43.5824,43.9416,43430
1/1/2013,44.3008,44.8994,43.762,44.181,29399
1/2/2013,44.4205,44.4205,44.0014,44.181,25724
1/3/2013,43.8817,45.9171,43.8817,44.4205,55791
1/6/2013,44.3606,45.1987,44.2409,44.7198,40424
1/7/2013,44.4205,44.4205,43.8218,43.8817,19043
1/8/2013,44.3008,44.3008,43.283,43.4626,28063
1/9/2013,44.181,44.181,43.1034,43.3429,18374
1/10/2013,43.7021,44.8994,43.5225,44.3606,29399
1/13/2013,45.1389,46.6355,44.3008,44.7797,73832
1/14/2013,45.1987,45.1987,43.8218,44.181,15368
1/15/2013,43.8817,44.8994,43.8817,44.6001,14031
1/16/2013,44.8994,45.7974,44.7797,45.1987,50780
1/17/2013,45.9171,47.8927,45.6777,47.2941,118598
1/20/2013,47.773,49.0302,46.2165,46.875,77172
1/21/2013,46.2763,46.9349,45.6178,45.977,250894
1/22/2013,45.5579,47.2342,45.3784,45.7375,211473
1/23/2013,46.6954,46.6954,45.3185,45.5579,136973
1/24/2013,46.0967,47.2941,45.6178,45.7375,242542
1/27/2013,46.6954,47.1145,45.7375,45.7974,186417
1/28/2013,46.4559,49.5091,45.7974,48.0723,143988
1/29/2013,48.7907,50.2275,46.6954,48.2519,276618
1/30/2013,48.4914,49.0302,46.4559,47.2342,200782
1/31/2013,48.192,48.3716,44.7797,45.2586,382522
2/3/2013,45.7375,46.3961,45.1389,45.4382,133966
2/4/2013,45.6178,45.6178,44.3606,44.6001,129623
2/5/2013,44.66,45.0192,44.2409,44.4205,98554
2/6/2013,44.4205,44.8396,44.181,44.2409,115926
2/7/2013,44.4804,44.6001,44.0014,44.0613,111583
2/10/2013,44.3008,45.079,44.0014,44.3606,182074
2/11/2013,44.6001,45.1389,44.0613,44.2409,147997
2/12/2013,44.7198,45.1987,44.0613,44.1212,177396
2/13/2013,44.2409,44.8994,44.0014,44.66,104901
2/14/2013,44.8994,46.9947,44.66,46.3961,372499
2/17/2013,47.2342,47.2342,45.4981,45.7974,201784
2/18/2013,45.6777,46.3961,45.3185,45.6777,264257
2/19/2013,45.6178,46.0369,44.3008,44.4205,125614
2/20/2013,44.8994,45.3784,43.7021,44.0014,169379
2/24/2013,43.4626,43.5824,42.0259,42.2055,109244
2/25/2013,42.5048,43.1034,40.17,40.7687,77841
2/26/2013,41.9061,42.9837,41.068,42.2055,81516
2/27/2013,41.8463,42.4449,40.17,40.3496,79511
2/28/2013,40.1101,41.1279,40.1101,40.7088,24054
3/3/2013,37.8352,38.1944,36.8774,36.9971,64477
3/4/2013,38.4339,38.4339,37.5359,37.8951,34744
3/5/2013,38.0747,38.2543,36.5781,37.2965,47773
3/6/2013,37.5359,37.5359,36.4583,36.6379,46437
3/7/2013,36.0393,36.5781,35.0216,35.5005,59466
3/10/2013,34.9018,35.6801,34.1236,34.3032,59800
3/11/2013,33.7045,35.3209,31.9085,34.5426,62473
3/12/2013,34.2433,34.7821,34.1236,34.1834,33074
3/13/2013,35.7998,35.9195,34.9018,35.261,37083
3/14/2013,34.7222,35.5603,34.1236,34.9018,56460
3/18/2013,34.3032,35.0216,34.3032,34.842,16704
3/19/2013,35.3209,35.6202,35.0814,35.261,48442
3/20/2013,35.261,35.261,34.1236,34.1236,34076
3/24/2013,33.3453,34.1236,32.6269,32.8664,50446
3/25/2013,32.3276,32.9262,32.2677,32.5072,21047
3/27/2013,31.7289,32.8065,31.3697,32.148,20713
3/28/2013,32.2677,32.8065,32.0283,32.567,17706
3/31/2013,32.567,33.1058,32.3276,32.3874,60803
4/1/2013,31.7289,31.9684,30.5915,30.8309,36081
4/2/2013,30.352,31.7289,30.2921,31.4296,29399
4/3/2013,32.0283,32.2079,30.5316,30.8309,48776
4/4/2013,30.2921,31.25,30.2921,30.4717,20379
4/7/2013,29.2744,31.1901,29.2744,31.0105,34076
4/8/2013,30.8309,34.0637,30.4717,33.2854,108910
4/9/2013,34.1236,36.4583,34.1236,36.159,230515
4/10/2013,37.057,38.1346,35.6202,36.2787,126950
4/11/2013,34.2433,38.853,34.2433,38.1944,234524
4/15/2013,38.5536,40.4095,38.4938,39.8707,154345
4/16/2013,40.7088,41.3075,37.7155,37.7155,173388
4/17/2013,37.8352,40.7088,37.5359,40.17,300672
4/18/2013,41.0081,44.181,41.0081,44.1212,687537
4/21/2013,44.3008,46.3362,43.1034,44.3008,376842
4/22/2013,43.1034,43.6422,41.0081,41.3673,316040
4/24/2013,44.3008,45.1389,42.9238,43.4626,197775
4/25/2013,43.1034,43.7021,42.4449,42.6844,110246
4/28/2013,41.9061,42.0857,39.5115,40.1101,136973
4/29/2013,41.4272,42.5048,40.3496,41.966,221495
4/30/2013,41.4871,43.2232,37.8951,38.6135,265260
5/2/2013,38.5536,41.2476,37.955,39.9306,158354
5/5/2013,40.5292,41.068,38.4938,38.853,143654
5/6/2013,38.6734,41.9061,38.6734,41.4871,258912
5/7/2013,42.7443,45.6178,42.6844,45.6178,706579
5/8/2013,47.7131,49.3894,45.8573,47.5934,666156
5/9/2013,48.8506,48.8506,45.977,47.5335,317376
5/12/2013,48.7907,49.0302,45.4981,45.7375,528181
5/13/2013,47.1145,47.1145,44.2409,44.7797,314035
5/14/2013,45.4981,46.0967,44.6001,44.9593,341430
5/15/2013,45.6178,47.5934,44.8994,46.2165,549896
5/16/2013,47.1743,47.7131,46.4559,47.4138,342098
5/19/2013,47.5335,47.5934,46.1566,46.3961,425618
5/20/2013,46.6954,46.6954,45.3185,45.4981,412923
5/21/2013,45.6777,46.0369,44.3008,44.7797,222831
5/22/2013,45.6178,45.7974,43.4626,43.7021,124946
5/26/2013,44.0014,44.4205,42.5048,42.8041,144991
5/27/2013,43.9416,44.6001,43.4028,43.4626,118598
5/28/2013,44.7797,46.2763,43.2232,45.6178,344102
5/29/2013,46.3961,47.2941,46.3961,46.6355,384192
5/30/2013,47.5335,47.5335,45.7375,46.0369,365149
6/2/2013,46.9947,49.569,46.9947,49.1499,560586
6/3/2013,50.8261,52.0833,48.5512,51.1255,511477
6/4/2013,51.1853,51.9636,49.1499,49.5091,381185
6/5/2013,49.6887,50.2874,48.1322,48.3716,429627
6/6/2013,49.09,49.6887,46.8151,47.3539,399226
6/9/2013,45.8573,47.8927,45.6777,45.8573,247219
6/11/2013,48.6111,51.9636,48.6111,51.1255,723283
6/12/2013,51.9636,53.7596,50.3472,51.6643,715933
6/13/2013,51.1255,52.0833,50.2874,51.0057,415596
6/16/2013,51.2452,51.9037,50.5867,50.7663,527178
6/17/2013,52.0235,52.0833,49.1499,49.8683,336419
6/18/2013,50.2874,50.7663,49.09,49.8683,280961
6/19/2013,50.886,51.4248,48.1322,48.7907,274614
6/20/2013,48.9104,49.6288,47.2941,47.5934,138977
6/23/2013,48.2519,48.4315,46.0967,46.2165,188087
6/24/2013,45.977,47.2941,45.7375,46.5158,115926
6/26/2013,48.3716,49.3894,47.0546,47.3539,128287
6/27/2013,47.2941,47.773,46.0967,46.2165,73164
6/30/2013,42.0259,46.0369,42.0259,44.66,134634
7/2/2013,47.1743,48.7907,46.6954,48.3118,156349
7/3/2013,49.6887,49.6887,46.9947,48.192,186751
7/4/2013,48.4914,50.0479,48.2519,49.6887,322387
7/7/2013,49.3894,51.2452,49.3894,50.8261,337087
7/8/2013,51.4248,51.4847,50.5867,50.7064,239535
7/9/2013,51.4248,52.9813,50.5867,51.6643,345439
7/10/2013,52.0235,52.0833,49.3894,49.6288,239869
7/11/2013,49.7486,50.5268,47.4138,47.9526,90870
7/14/2013,50.8261,50.8261,46.8151,47.4138,106906
7/15/2013,48.1322,49.569,47.3539,48.671,274280
7/16/2013,48.3118,52.682,48.3118,50.467,272609
7/17/2013,50.886,51.3649,49.3894,50.7663,311363
7/18/2013,51.4248,52.682,50.4071,51.3649,381185
7/21/2013,52.0833,52.5024,50.2874,50.6465,217486
7/22/2013,50.2874,51.1255,48.0723,49.6887,196105
7/23/2013,49.6887,50.2275,46.3961,46.5158,112251
7/24/2013,46.6954,50.886,46.6954,50.3472,78843
7/25/2013,49.3894,49.3894,47.8927,48.192,55457
7/28/2013,49.5091,49.5091,46.3362,47.9526,44099
7/29/2013,48.4914,49.9282,48.4914,49.5091,59466
7/30/2013,49.6288,50.2874,48.3716,49.3894,115258
7/31/2013,50.1078,50.5867,49.3894,49.569,141650
8/1/2013,49.4492,50.2874,49.3295,49.6288,137975
8/4/2013,49.988,49.988,48.4914,49.0302,23386
8/5/2013,49.3894,49.5091,49.09,49.1499,27395
8/12/2013,50.1078,50.5268,49.6887,50.0479,85859
8/13/2013,50.6465,51.0057,50.1078,50.8261,129623
8/14/2013,49.8084,55.8549,49.8084,55.7352,573615
8/18/2013,56.8726,61.3027,56.8726,61.3027,858920
8/19/2013,64.0565,65.1341,61.6619,64.4756,470719
8/20/2013,64.8946,69.4444,61.8415,65.1341,699229
8/21/2013,66.1518,71.5996,66.1518,71.4799,817494
8/22/2013,74.7126,75.4909,70.6418,71.8391,517156
8/25/2013,74.2337,77.7059,70.3424,71.2404,732972
8/26/2013,72.4377,78.3645,69.8036,76.2093,917718
8/27/2013,79.6216,82.0163,76.0297,77.7059,560920
8/29/2013,73.0364,77.227,70.0431,71.5996,664485
9/1/2013,74.2337,74.8324,68.5464,69.0852,436309
9/2/2013,70.0431,73.6351,67.1695,71.9588,314703
9/3/2013,71.9588,73.8147,69.7438,70.2826,441654
9/4/2013,71.7792,73.9344,69.5043,69.9832,564261
9/5/2013,72.3779,72.3779,67.0498,67.8879,391208
9/8/2013,67.9478,71.1207,67.409,68.5464,412589
9/9/2013,70.2227,75.3712,70.2227,75.3712,1089769
9/10/2013,79.6216,79.6216,71.3003,72.6772,679185
9/11/2013,73.8745,75.5508,70.8214,72.7969,633082
9/12/2013,72.4976,73.6351,70.2227,71.1207,582970
9/15/2013,71.2404,74.7725,70.7016,71.1207,495775
9/16/2013,70.3424,70.8812,67.5886,68.8458,590653
9/17/2013,70.6418,71.7193,67.409,67.7682,406241
9/18/2013,67.7083,71.7193,67.3491,68.0077,356797
9/19/2013,68.2471,69.8036,67.6485,68.1274,281964
