Date,Open,High,Low,Close,Volume
8/2/2023,39.5,39.9,37.6,38.3,288125
8/3/2023,38.9,38.9,36.5,36.7,320258
8/6/2023,38.5,38.5,36.4,36.5,55248
8/7/2023,38.8,38.8,38.8,38.8,5
8/8/2023,37.0,37.8,36.6,37.6,272019
8/9/2023,37.9,37.9,36.1,36.3,141490
8/10/2023,37.4,37.4,35.7,36.6,290301
8/13/2023,37.7,37.7,35.1,35.7,185739
8/14/2023,35.5,35.5,33.0,33.1,267858
8/16/2023,36.1,36.1,31.5,31.7,134329
8/17/2023,33.2,33.2,32.3,32.7,134803
8/20/2023,33.7,33.7,31.6,32.8,104639
8/21/2023,34.5,34.7,33.3,34.3,408363
8/22/2023,34.8,34.8,33.5,33.7,180061
8/23/2023,34.2,34.2,32.7,33.0,88882
8/24/2023,33.5,33.5,32.4,32.9,126091
8/27/2023,33.5,33.6,32.8,32.9,129358
8/28/2023,33.9,34.4,32.4,32.7,209223
8/29/2023,35.0,35.0,32.2,32.4,93227
8/30/2023,33.8,35.6,32.3,35.1,731497
8/31/2023,35.7,35.8,33.6,33.7,206793
9/3/2023,35.6,35.6,32.8,32.9,242906
9/4/2023,33.9,33.9,32.1,32.3,156236
9/5/2023,32.9,32.9,30.0,31.5,630949
9/7/2023,31.7,31.7,30.1,30.6,161404
9/10/2023,31.9,31.9,29.7,29.7,77159
9/11/2023,29.6,30.2,29.0,29.2,136787
9/12/2023,29.1,30.1,28.8,29.0,142760
9/13/2023,29.3,31.9,29.3,29.8,355955
9/14/2023,29.7,32.0,29.4,31.3,308056
9/17/2023,30.6,31.8,29.7,30.3,191686
9/18/2023,30.3,30.5,29.7,30.0,54159
9/19/2023,29.8,29.8,29.7,29.7,2000
9/20/2023,29.6,32.6,29.6,32.6,738478
9/21/2023,34.8,34.8,32.6,33.2,404368
9/24/2023,33.2,33.3,32.6,33.3,76115
9/25/2023,34.0,35.5,32.6,35.2,261393
9/26/2023,35.3,36.5,35.0,36.2,282622
9/27/2023,36.5,37.2,35.2,35.9,372170
10/1/2023,36.7,37.7,35.4,37.2,225294
10/2/2023,36.6,37.9,36.0,36.3,174379
10/3/2023,36.9,37.9,36.4,37.5,457364
10/4/2023,38.6,38.6,36.0,36.3,167201
10/5/2023,38.1,38.1,35.9,37.1,367783
10/8/2023,36.7,37.0,36.2,36.6,273472
10/9/2023,36.4,36.4,35.8,35.9,142604
10/10/2023,39.0,39.0,36.1,36.7,207992
10/11/2023,36.4,38.0,36.4,37.7,269537
10/12/2023,37.9,38.7,37.5,37.9,486381
10/15/2023,36.7,38.2,36.7,37.4,64498
10/16/2023,37.2,37.4,37.2,37.4,6000
10/17/2023,36.9,38.0,36.9,37.1,10716
10/18/2023,38.7,40.5,37.6,39.6,437790
10/19/2023,38.9,41.5,38.8,39.8,485194
10/22/2023,41.1,41.1,38.7,39.2,148399
10/23/2023,38.8,39.6,38.7,39.0,109272
