Date,Open,High,Low,Close,Volume
6/13/2021,45.45454545,45.45454545,45.45454545,45.45454545,2
6/14/2021,50.0,50.0,50.0,50.0,1
6/15/2021,54.95867769,54.95867769,54.95867769,54.95867769,2
6/16/2021,60.41322314,60.41322314,60.41322314,60.41322314,13
6/17/2021,66.44628099,66.44628099,66.44628099,66.44628099,10
6/20/2021,73.05785124,73.05785124,73.05785124,73.05785124,24038
6/21/2021,80.33057851,80.33057851,80.33057851,80.33057851,50
6/22/2021,88.34710744,88.34710744,88.34710744,88.34710744,75
6/23/2021,97.10743802,97.10743802,97.10743802,97.10743802,1026
6/24/2021,106.7768595,106.7768595,106.7768595,106.7768595,2809
6/27/2021,117.4380165,117.4380165,117.4380165,117.4380165,25195
6/28/2021,129.1735537,129.1735537,129.1735537,129.1735537,228617
6/29/2021,142.0661157,142.0661157,142.0661157,142.0661157,118955
6/30/2021,156.1983471,156.1983471,128.9256198,132.4793388,100532
7/5/2021,130.3305785,130.5785124,123.8016529,124.3801653,43702
7/6/2021,118.2644628,132.231405,118.2644628,125.6198347,36670
7/7/2021,125.7024793,129.7520661,124.0495868,126.9421488,31035
7/8/2021,130.5785124,139.5867769,130.4958678,139.4214876,80158
7/12/2021,147.9338843,147.9338843,140.4958678,146.0330579,57118
7/13/2021,151.1570248,151.1570248,142.1487603,145.1239669,23785
7/14/2021,141.8181818,144.7107438,136.8595041,137.9338843,39353
7/15/2021,137.4380165,138.8429752,133.0578512,135.3719008,40032
7/18/2021,132.3140496,140.4958678,132.3140496,135.6198347,20998
7/19/2021,135.9504132,145.4545455,135.9504132,139.7520661,35101
7/25/2021,142.9752066,142.9752066,137.3553719,139.9173554,20405
7/26/2021,140.0826446,140.4958678,137.2727273,138.4297521,23714
7/27/2021,136.5289256,139.0082645,133.8842975,135.8677686,19414
7/28/2021,138.8429752,138.8429752,132.6446281,132.9752066,21147
7/29/2021,130.661157,136.3636364,128.0991736,129.4214876,29066
8/2/2021,128.9256198,135.3719008,128.9256198,133.9669421,39686
8/3/2021,136.7768595,147.107438,135.4545455,138.0165289,46109
8/5/2021,146.1983471,146.1983471,139.6694215,142.0661157,81795
8/9/2021,144.6280992,150.4132231,144.6280992,145.3719008,110739
8/10/2021,150.8264463,151.2396694,138.8429752,139.5867769,58756
8/11/2021,136.5289256,144.6280992,136.1983471,144.0495868,68375
8/12/2021,147.9338843,147.9338843,137.8512397,138.0991736,38839
8/16/2021,138.8429752,143.6363636,135.6198347,136.2809917,53544
8/17/2021,141.7355372,141.7355372,134.7933884,135.1239669,43318
8/18/2021,136.3636364,140.4132231,135.9504132,136.7768595,16207
8/19/2021,140.3305785,140.3305785,137.1900826,138.2644628,26698
8/22/2021,142.8099174,142.892562,139.0909091,139.2561983,35149
8/23/2021,139.5867769,142.4793388,138.0991736,138.9256198,51949
8/24/2021,138.2644628,142.6446281,138.2644628,139.9173554,44229
8/25/2021,143.9669421,153.4710744,141.0743802,150.2479339,106540
8/26/2021,155.3719008,160.1652893,150.4132231,153.7190083,99399
8/29/2021,154.5454545,156.8595041,146.1157025,147.768595,55172
8/31/2021,152.892562,156.1157025,150.0,150.8264463,51399
9/1/2021,151.322314,154.5454545,147.9338843,149.6694215,41562
9/2/2021,156.9421488,163.3884298,154.214876,155.3719008,61114
9/5/2021,161.0743802,170.9090909,157.8512397,170.9090909,122076
9/6/2021,179.338843,185.785124,175.5371901,178.0991736,122092
9/7/2021,179.338843,193.6363636,179.338843,193.3884298,119522
9/8/2021,201.6528926,206.446281,188.5123967,190.0,103976
9/9/2021,190.0,190.0,181.8181818,185.9504132,121205
9/12/2021,194.214876,196.6942149,171.9834711,181.6528926,65361
9/13/2021,188.0165289,188.0165289,175.2066116,185.0413223,36089
9/14/2021,181.8181818,181.8181818,169.4214876,171.9834711,76683
9/15/2021,181.6528926,187.0247934,166.1157025,186.446281,44570
9/16/2021,193.3884298,196.3636364,187.107438,189.6694215,70614
9/19/2021,184.2975207,184.2975207,173.1404959,173.1404959,20802
9/20/2021,158.0165289,165.2066116,158.0165289,158.0165289,135236
9/21/2021,151.2396694,165.2892562,150.4958678,153.6363636,86969
9/22/2021,153.6363636,153.6363636,142.231405,144.7933884,54151
9/23/2021,151.9008264,159.2561983,151.6528926,154.7933884,46413
9/26/2021,155.6198347,157.0247934,149.6694215,151.4049587,18058
9/27/2021,143.2231405,152.3966942,143.2231405,145.2066116,19616
