Date,Open,High,Low,Close,Volume
10/17/2021,12.0,12.0,11.6,12.0,426556
10/18/2021,11.3,11.5,11.0,11.5,147442
10/19/2021,11.6,11.7,10.5,10.7,273033
10/21/2021,10.4,11.4,10.4,11.0,49984
10/24/2021,11.3,11.5,10.9,11.0,126212
10/26/2021,11.5,11.8,11.5,11.6,77818
10/27/2021,11.1,11.6,10.9,11.4,59938
11/1/2021,10.6,10.6,10.6,10.6,5000
11/2/2021,10.5,10.7,10.5,10.6,15760
11/4/2021,10.5,10.5,10.5,10.5,800
11/7/2021,10.4,10.4,10.4,10.4,20000
11/10/2021,10.3,10.3,10.3,10.3,1000
11/11/2021,10.1,10.8,10.1,10.3,123589
11/14/2021,10.3,10.3,10.3,10.3,25
11/15/2021,9.6,9.6,9.6,9.6,26959
11/16/2021,10.1,10.5,10.1,10.1,4857
11/17/2021,10.4,11.4,10.4,10.7,74048
11/21/2021,10.6,10.6,10.1,10.4,5450
11/22/2021,10.2,10.2,10.2,10.2,10000
11/23/2021,10.3,10.4,10.0,10.2,30000
11/24/2021,10.1,10.3,10.1,10.1,110249
11/29/2021,10.6,10.6,10.1,10.6,470000
12/1/2021,10.3,10.5,10.2,10.3,68626
12/2/2021,10.2,10.2,10.0,10.1,31862
12/5/2021,10.0,10.4,10.0,10.2,45434
12/6/2021,10.1,10.9,10.0,10.6,216159
12/7/2021,11.0,11.0,10.9,11.0,36959
12/8/2021,12.1,12.8,10.7,11.1,83885
12/9/2021,11.0,11.1,11.0,11.0,24902
12/13/2021,10.6,11.0,10.0,10.6,180901
12/14/2021,10.3,10.5,10.3,10.4,57351
12/15/2021,11.0,11.0,11.0,11.0,19417
12/19/2021,11.0,11.3,10.5,11.0,10027
12/20/2021,10.5,10.9,10.2,10.3,85492
12/21/2021,10.6,10.6,10.4,10.5,17002
12/22/2021,10.5,10.5,10.1,10.3,51919
12/23/2021,10.8,10.8,10.1,10.1,12255
12/26/2021,10.2,10.2,10.2,10.2,9000
12/27/2021,10.2,10.3,10.2,10.2,28700
12/28/2021,10.2,10.3,10.2,10.3,53524
12/29/2021,10.2,10.2,10.2,10.2,15000
12/30/2021,10.7,10.7,10.2,10.7,42
1/2/2022,11.0,11.0,10.2,11.0,31
1/4/2022,10.1,10.1,10.1,10.1,1873
1/5/2022,10.2,10.3,10.0,10.0,221667
1/6/2022,10.8,10.8,10.8,10.8,500
1/9/2022,10.2,10.2,9.4,10.0,26961
1/10/2022,11.0,11.0,11.0,11.0,68
1/11/2022,10.0,10.2,10.0,10.2,47000
1/12/2022,10.0,10.0,10.0,10.0,4335
1/17/2022,10.2,10.2,10.2,10.2,138865
1/18/2022,9.4,9.4,9.3,9.4,5882
1/19/2022,9.7,9.7,9.7,9.7,13000
1/20/2022,9.5,9.5,9.5,9.5,5000
1/24/2022,10.0,10.0,10.0,10.0,500
1/25/2022,10.0,10.0,10.0,10.0,35000
1/27/2022,10.0,10.0,9.8,9.9,21000
1/30/2022,10.0,10.0,10.0,10.0,1754
1/31/2022,9.5,10.0,9.5,9.5,11200
2/2/2022,9.5,9.5,9.5,9.5,12225
