Date,Open,High,Low,Close,Volume
10/1/2012,136.3636,136.5385,132.5758,134.4988,682110
10/2/2012,136.3636,138.6364,136.3636,137.704,587902
10/3/2012,139.8019,144.8718,138.8112,140.9674,2030886
10/4/2012,142.7739,147.1445,141.0839,142.0746,1650620
10/7/2012,142.4825,145.6294,140.4429,141.0839,1136507
10/8/2012,141.958,143.648,138.1119,139.4522,834319
10/9/2012,141.5501,142.5408,139.3939,139.9767,1117974
10/10/2012,141.6084,144.4056,141.0256,141.4336,1650964
10/11/2012,143.8811,144.697,142.4825,143.0653,1683568
10/14/2012,144.5222,149.4755,143.4732,147.3194,2220161
10/15/2012,148.6014,150.5827,146.5618,147.7856,2053709
10/16/2012,148.31,148.6014,144.2308,144.9883,1336421
10/17/2012,144.5222,145.1049,141.958,142.4825,723809
10/18/2012,142.7739,145.979,142.2494,145.5711,803260
10/21/2012,147.3194,148.5431,145.0466,146.5618,969712
10/22/2012,147.4359,147.4359,143.5897,144.289,610896
10/23/2012,144.2308,147.028,143.0653,144.1725,573830
10/30/2012,143.9394,145.8625,143.7646,144.3473,426769
10/31/2012,143.9394,144.8135,143.1236,143.4149,349549
11/1/2012,143.9394,144.289,141.2005,141.5501,325010
11/4/2012,141.958,142.1911,138.6946,139.7436,271471
11/5/2012,139.8602,140.676,138.2284,140.0932,396568
11/6/2012,140.0932,143.2984,140.0932,141.7832,589961
11/7/2012,142.1329,142.5991,139.2774,140.035,346804
11/8/2012,140.4429,140.5012,138.6946,139.1608,280051
11/11/2012,138.1119,138.986,131.993,136.2471,894894
11/12/2012,136.9464,137.5291,132.6923,135.8974,406692
11/13/2012,134.0909,138.6946,134.0909,137.8788,244187
11/14/2012,138.5198,139.2774,136.5385,137.8788,914285
11/15/2012,138.4033,139.5688,137.2378,138.1702,311282
11/18/2012,138.6946,139.8019,135.1981,137.0629,433462
11/19/2012,135.3147,136.9464,134.6737,135.4895,326898
11/20/2012,134.324,137.2961,134.0326,135.5478,387301
11/21/2012,137.4709,137.4709,134.324,135.1398,280223
11/22/2012,134.0326,135.0233,130.5944,131.2354,600085
11/26/2012,136.8881,139.8602,127.2145,128.6713,667524
11/27/2012,128.2051,131.5268,127.0979,130.1282,393307
11/28/2012,131.1189,131.7016,127.7972,128.9044,349892
11/29/2012,131.1189,136.3053,130.0699,134.965,367052
12/2/2012,135.1981,136.3636,130.8275,131.4103,284856
12/3/2012,131.352,131.5268,128.9044,129.3706,127670
12/4/2012,130.2448,131.5268,128.4382,130.8275,91463
12/5/2012,132.2261,132.2261,128.7879,129.021,156328
12/6/2012,127.2145,129.4872,127.0396,128.2634,195452
12/9/2012,126.4569,127.5058,125.9324,126.0489,140369
12/10/2012,126.1655,126.1655,123.5431,124.2424,191506
12/11/2012,124.4173,125.2914,123.718,124.4755,102788
12/12/2012,125.8741,125.8741,123.6014,123.6597,125783
12/13/2012,124.8252,124.8252,122.8438,122.9604,122179
12/17/2012,122.669,124.4173,122.6107,123.718,239382
12/18/2012,124.1259,124.1259,122.9604,123.2517,256714
12/19/2012,124.1259,124.5338,123.2517,123.7762,311626
12/20/2012,124.5921,124.5921,122.5525,122.8438,267010
