Date,Open,High,Low,Close,Volume
2/1/2022,14.5,14.5,14.4,14.4,2000
2/2/2022,14.4,14.4,14.0,14.3,1310
2/3/2022,12.0,12.0,11.6,11.9,43394
2/7/2022,11.8,14.2,11.8,12.4,59
2/8/2022,14.2,14.2,14.2,14.2,500
2/9/2022,14.2,14.2,14.2,14.2,5
2/10/2022,11.4,11.4,11.4,11.4,50000
2/13/2022,11.0,13.0,11.0,13.0,622
2/14/2022,10.5,12.5,10.5,10.7,11000
2/15/2022,10.7,10.7,10.0,10.5,34737
2/16/2022,12.4,12.4,10.3,10.8,57797
2/17/2022,12.6,12.6,10.2,11.2,334
2/20/2022,13.0,13.0,13.0,13.0,500
2/22/2022,13.4,13.4,12.0,12.0,15055
2/23/2022,0.0,12.0,12.0,12.0,479
2/24/2022,12.3,12.3,12.3,12.3,2000
2/27/2022,10.5,10.5,10.5,10.5,100000
2/28/2022,11.0,11.0,11.0,11.0,500
3/1/2022,11.0,11.0,11.0,11.0,500
3/2/2022,11.0,11.0,11.0,11.0,1000
3/3/2022,11.0,11.0,11.0,11.0,500
3/6/2022,0.0,11.0,11.0,11.0,100
3/7/2022,11.0,11.0,11.0,11.0,182400
3/8/2022,11.0,11.0,11.0,11.0,91000
3/9/2022,13.2,13.2,13.2,13.2,5
3/13/2022,12.9,13.3,12.9,13.0,44641
3/14/2022,13.2,13.4,12.0,13.0,126422
3/15/2022,13.5,13.5,13.5,13.5,30000
3/16/2022,14.0,15.0,14.0,14.7,6936
3/20/2022,15.5,15.5,13.5,14.6,46142
3/21/2022,14.9,15.9,14.8,15.6,41136
3/22/2022,15.7,17.9,15.4,17.6,234101
3/23/2022,19.0,21.0,18.4,19.4,483513
3/24/2022,19.0,19.4,17.6,18.9,57698
3/27/2022,19.2,20.4,18.6,18.8,240815
3/28/2022,18.6,18.7,17.5,18.5,94536
3/29/2022,22.2,22.2,20.5,22.1,383706
3/30/2022,22.7,26.5,22.7,26.3,1102751
3/31/2022,25.2,31.5,25.2,31.5,1301044
4/3/2022,36.0,36.0,29.1,30.2,393873
4/4/2022,34.4,36.2,30.7,36.2,822609
4/5/2022,40.1,43.4,38.2,43.4,1199677
4/6/2022,45.9,51.7,43.0,44.6,1279777
4/7/2022,43.6,46.9,38.0,42.9,726733
4/10/2022,45.8,45.8,39.5,40.0,324947
4/11/2022,39.5,40.5,36.0,36.6,1442848
4/12/2022,37.4,40.2,36.7,40.2,816299
4/13/2022,40.8,41.9,39.2,40.8,869094
4/17/2022,41.0,42.5,40.8,41.6,750226
4/18/2022,42.0,42.0,37.6,38.1,477416
4/19/2022,37.2,40.6,37.2,39.4,252471
4/20/2022,39.3,40.8,38.1,38.7,369796
4/21/2022,39.6,39.6,37.0,37.4,342660
4/24/2022,38.9,38.9,35.5,35.7,307816
4/25/2022,35.3,37.2,35.0,36.2,99703
4/26/2022,35.3,37.6,34.4,34.7,111045
4/27/2022,36.1,36.2,34.5,35.0,45075
4/28/2022,37.1,37.1,34.1,34.8,163897
5/5/2022,36.0,37.4,35.2,36.9,290271
5/8/2022,36.8,36.8,35.6,36.0,56774
5/9/2022,36.5,39.4,36.3,38.6,697226
5/10/2022,39.8,39.8,36.9,37.1,247926
5/11/2022,38.4,38.4,35.4,35.7,123360
5/12/2022,37.7,37.7,34.7,35.6,125212
5/16/2022,36.7,36.7,34.0,34.2,307620
5/17/2022,34.2,34.4,32.5,33.8,51549
5/18/2022,36.3,36.3,32.8,32.8,148928
5/19/2022,31.6,33.1,31.2,31.7,124887
5/22/2022,34.0,34.0,29.2,29.6,222979
5/23/2022,32.3,32.4,30.9,31.3,128138
5/24/2022,31.0,32.6,29.1,29.8,100937
5/26/2022,30.8,32.0,30.8,30.9,91893
5/29/2022,31.3,33.5,31.3,33.2,57131
5/30/2022,34.7,34.7,32.5,32.8,31701
5/31/2022,33.7,33.7,32.0,32.3,39393
6/9/2022,43.0,45.9,43.0,45.6,1262383
6/12/2022,48.0,48.0,43.5,44.3,389583
6/13/2022,40.2,47.0,40.2,41.5,226101
6/14/2022,40.1,43.8,40.0,42.2,127549
6/15/2022,41.7,43.3,40.7,41.2,213869
6/16/2022,43.1,43.6,41.9,43.1,345950
6/19/2022,43.1,45.5,43.1,44.5,207736
6/20/2022,45.6,46.5,43.6,44.6,351333
6/21/2022,49.0,49.0,44.7,46.4,936069
6/22/2022,51.0,51.0,44.8,45.2,373025
6/23/2022,48.8,49.7,44.8,49.7,973288
6/26/2022,53.9,54.6,51.2,53.5,859833
6/27/2022,53.0,53.5,49.0,50.1,262201
6/28/2022,52.8,54.0,48.0,53.0,626385
6/29/2022,56.0,56.7,53.3,54.4,290323
6/30/2022,59.8,59.8,52.1,53.5,367287
7/3/2022,54.7,54.7,51.3,51.7,148357
7/4/2022,52.8,54.1,51.1,53.6,538131
7/5/2022,54.0,54.0,52.0,52.7,506850
7/6/2022,52.7,54.9,52.0,52.8,426466
7/7/2022,54.0,58.0,53.9,56.8,377742
7/12/2022,57.0,62.4,57.0,62.2,381868
7/13/2022,62.8,62.9,59.1,59.6,363313
7/14/2022,60.0,61.5,53.8,58.3,374855
7/17/2022,57.0,60.2,53.3,54.5,87412
7/18/2022,55.9,55.9,49.1,49.1,220706
7/19/2022,44.8,50.0,44.2,49.4,1744377
7/20/2022,49.5,51.8,49.0,49.6,204365
7/21/2022,50.4,53.5,47.5,52.8,980450
7/24/2022,53.8,54.6,49.1,50.2,355800
7/25/2022,47.9,50.0,46.5,49.2,206225
7/26/2022,52.9,52.9,47.0,47.3,208568
7/27/2022,52.0,52.0,46.2,46.7,109370
7/28/2022,51.3,51.3,43.3,43.7,206243
7/31/2022,44.1,48.0,44.1,48.0,228511
8/1/2022,49.8,50.8,47.7,48.8,189711
8/2/2022,49.5,49.8,47.0,47.6,187378
8/3/2022,48.8,51.0,47.8,49.6,381336
8/4/2022,51.8,53.8,50.0,53.0,553664
8/7/2022,55.0,55.0,52.0,53.1,187858
8/8/2022,53.5,58.4,53.2,56.3,437106
8/10/2022,51.2,58.1,51.2,56.6,280683
8/11/2022,57.8,59.7,57.0,58.5,412634
8/14/2022,57.2,59.1,56.7,57.5,141217
8/16/2022,57.9,59.5,54.3,58.7,171377
8/17/2022,58.7,61.4,58.6,60.6,253918
8/21/2022,62.3,66.6,62.3,63.5,664314
8/22/2022,63.5,65.2,60.2,62.4,237847
8/23/2022,60.1,65.0,60.1,61.5,451534
8/24/2022,62.4,66.2,62.4,64.2,160394
8/25/2022,62.4,70.6,62.4,70.6,659245
8/28/2022,70.0,73.0,67.0,69.5,231900
8/29/2022,75.9,75.9,67.5,69.5,199780
8/30/2022,68.5,70.0,67.0,68.0,327382
8/31/2022,68.0,68.7,63.2,63.9,60202
9/1/2022,61.5,70.0,61.5,67.0,75801
9/4/2022,70.9,70.9,65.0,66.2,104911
9/5/2022,69.0,69.4,66.2,66.7,297456
9/6/2022,67.0,67.0,63.1,64.3,57475
9/7/2022,68.9,68.9,58.3,59.0,150914
9/8/2022,64.9,64.9,58.5,59.1,51618
9/11/2022,60.0,63.6,57.0,58.8,444376
9/12/2022,61.9,62.5,58.0,62.0,206292
9/13/2022,62.3,68.1,62.2,67.7,242228
9/14/2022,74.4,74.4,68.5,73.8,358077
9/15/2022,74.0,80.7,74.0,78.9,374804
9/18/2022,80.0,80.0,74.6,76.5,145786
9/19/2022,79.9,79.9,76.0,77.4,131053
9/20/2022,79.7,79.7,71.1,74.8,196170
