Date,Open,High,Low,Close,Volume
1/24/2013,15.0,15.0,15.0,15.0,480
2/6/2013,15.75,15.75,15.75,15.75,240
2/7/2013,16.5833,16.5833,16.5833,16.5833,240
3/25/2013,15.5833,15.5833,15.5833,15.5833,240
6/19/2013,15.0,15.0,15.0,15.0,240
9/4/2013,13.5,13.5,13.5,13.5,240
9/15/2013,14.8333,14.8333,14.8333,14.8333,240
9/16/2013,16.25,16.25,16.25,16.25,240
9/22/2013,17.8333,17.8333,17.8333,17.8333,240
9/23/2013,19.5833,19.5833,19.5833,19.5833,240
9/24/2013,21.5,21.5,21.5,21.5,240
9/25/2013,23.5833,23.5833,23.5833,23.5833,5760
9/26/2013,25.9167,25.9167,25.9167,25.9167,8640
9/29/2013,28.5,28.5,28.5,28.5,1200
9/30/2013,28.5,31.3333,28.5,31.0,5760
10/1/2013,34.0833,34.0833,34.0833,34.0833,2640
10/3/2013,30.8333,32.5,30.8333,31.25,1440
10/20/2013,31.25,31.25,27.5,29.0,720
10/21/2013,26.25,26.6667,26.1667,26.3333,3360
10/23/2013,26.3333,26.3333,24.6667,25.5,480
10/24/2013,24.1667,24.1667,23.0,23.9167,1920
10/27/2013,21.9167,21.9167,21.8333,21.8333,720
10/28/2013,20.0,21.6667,20.0,21.25,960
10/29/2013,21.6667,21.6667,21.6667,21.6667,240
10/31/2013,20.0,20.0,19.5833,19.6667,960
11/4/2013,21.5833,21.5833,21.5833,21.5833,960
11/5/2013,20.0,20.0,20.0,20.0,720
11/7/2013,20.0,20.0,20.0,20.0,240
11/10/2013,21.6667,22.0,21.6667,21.8333,720
11/11/2013,23.8333,24.0,23.8333,23.9167,720
11/12/2013,25.8333,25.8333,25.8333,25.8333,480
11/14/2013,25.8333,25.8333,25.8333,25.8333,1200
11/17/2013,25.0,25.0,25.0,25.0,240
11/18/2013,24.25,24.25,22.9167,23.75,1200
11/20/2013,21.5,21.5,21.5,21.5,480
11/21/2013,22.0833,22.0833,22.0833,22.0833,720
11/26/2013,24.25,24.25,24.25,24.25,1440
11/27/2013,26.5833,26.5833,26.5833,26.5833,960
12/1/2013,24.4167,25.0833,24.4167,24.9167,5280
12/2/2013,26.6667,27.3333,26.6667,27.1667,1680
12/4/2013,25.3333,25.3333,25.3333,25.3333,1200
12/5/2013,26.6667,26.6667,26.6667,26.6667,240
12/8/2013,24.4167,29.3333,24.4167,27.6667,1200
12/9/2013,30.4167,30.4167,30.4167,30.4167,720
12/11/2013,33.3333,33.4167,33.3333,33.3333,14640
12/12/2013,35.8333,36.6667,34.1667,34.8333,11280
12/15/2013,38.25,38.25,38.25,38.25,960
12/17/2013,41.9167,42.0,41.9167,41.9167,4560
12/18/2013,46.0833,46.0833,46.0833,46.0833,3120
12/19/2013,46.0833,50.4167,46.0833,50.0,3120
12/24/2013,45.0,45.0,45.0,45.0,480
12/26/2013,49.5,49.5,46.0,48.9167,1440
1/1/2014,50.0,50.1667,50.0,50.0833,2400
1/2/2014,50.1667,53.3333,50.1667,51.8333,3600
1/7/2014,51.8333,51.8333,51.8333,51.8333,240
1/8/2014,51.8333,54.1667,51.8333,52.0,4560
1/9/2014,52.0,57.1667,52.0,54.5833,480
1/12/2014,60.0,60.0,60.0,60.0,240
1/27/2014,60.0,60.0,60.0,60.0,2400
1/30/2014,60.0,60.0,60.0,60.0,240
2/10/2014,60.0,60.0,58.3333,59.1667,480
3/6/2014,53.3333,53.3333,53.3333,53.3333,480
3/9/2014,48.0,48.0,48.0,48.0,720
3/16/2014,52.75,52.75,52.75,52.75,480
3/23/2014,56.6667,58.0,56.6667,57.3333,480
3/24/2014,62.8333,63.0,62.5,62.8333,1440
3/25/2014,68.3333,69.0833,68.3333,68.8333,960
3/27/2014,75.0,75.6667,75.0,75.5,1200
3/30/2014,83.0,83.0,83.0,83.0,480
