Date,Open,High,Low,Close,Volume
10/1/2012,40.363,43.905,40.363,41.8388,179564
10/2/2012,42.134,44.2001,42.134,43.1671,366582
10/3/2012,45.3808,45.9711,42.7981,43.2408,627458
10/4/2012,44.8642,45.0118,42.8719,43.3146,293401
10/7/2012,43.4622,44.0525,41.0272,41.3223,190406
10/8/2012,42.7981,42.7981,40.8058,41.4699,115192
10/9/2012,42.2816,43.3146,41.6913,42.7981,126034
10/10/2012,42.8719,42.8719,40.5844,40.9534,122646
10/11/2012,42.7243,42.7243,40.2155,40.4368,44044
10/14/2012,41.3223,41.8388,40.5844,40.8058,134165
10/15/2012,41.3223,43.4622,40.5844,40.8058,301532
10/16/2012,41.2485,42.4292,40.5844,40.8058,84022
10/17/2012,41.3223,42.2078,40.6582,41.6175,216154
10/18/2012,41.1747,41.6913,40.9534,41.0272,21006
10/21/2012,40.5844,40.5844,38.8135,39.4038,52175
10/22/2012,39.1086,40.5844,38.0756,38.7397,100962
10/23/2012,39.5514,39.6251,38.3707,39.0348,206668
10/30/2012,38.8872,39.7727,38.8872,39.33,46754
10/31/2012,39.1086,40.5844,39.1086,39.9941,296111
11/1/2012,39.9203,40.5844,39.1824,39.5514,119935
11/4/2012,39.4038,39.4038,38.0018,38.8135,69793
11/5/2012,37.6328,38.961,37.4852,38.0756,58951
11/6/2012,38.3707,38.3707,36.526,37.6328,88766
11/7/2012,36.0832,37.2639,36.0832,36.3784,56241
11/8/2012,35.4929,36.526,35.2715,35.4191,73181
11/11/2012,34.6074,36.157,34.4599,35.6405,109771
11/12/2012,36.157,36.157,34.3861,35.4929,65050
11/13/2012,35.5667,36.5998,35.4929,36.0094,81990
11/14/2012,36.8949,37.2639,36.0832,36.0832,54886
11/15/2012,36.8949,37.0425,36.3784,36.7473,54886
11/18/2012,36.9687,36.9687,35.6405,36.2308,58274
11/19/2012,34.8288,34.9764,34.0171,34.6074,35913
11/20/2012,34.5336,34.6812,33.5744,33.7957,41334
11/21/2012,33.5006,33.9433,33.2054,33.7957,39978
11/22/2012,34.6812,35.1978,33.8695,34.2385,10842
11/26/2012,33.353,33.353,32.32,32.7627,10842
11/27/2012,32.6889,33.5744,32.6889,32.7627,18973
11/28/2012,32.7627,33.2054,32.7627,32.9103,14907
11/29/2012,33.9433,35.4191,33.9433,34.9026,42011
12/2/2012,35.7143,35.7143,33.2054,34.6074,36590
12/3/2012,33.2054,33.5744,32.9103,33.0578,6098
12/4/2012,31.8772,34.6812,31.8034,33.353,20328
12/5/2012,33.4268,33.9433,32.4675,33.1316,17618
12/6/2012,32.5413,33.2792,32.0248,33.1316,168722
12/9/2012,32.6151,33.2054,32.4675,33.1316,16262
12/10/2012,32.6151,32.6151,31.5821,31.5821,27782
12/11/2012,31.7296,31.7296,31.7296,31.7296,678
12/12/2012,32.4675,32.4675,31.951,32.32,9486
12/13/2012,32.4675,32.4675,32.3937,32.3937,23038
12/17/2012,33.2054,34.3123,33.2054,33.722,38623
12/18/2012,33.4268,33.722,32.7627,33.4268,23038
12/19/2012,33.5744,33.5744,33.2054,33.353,8809
12/20/2012,33.5744,33.9433,33.4268,33.722,13552
12/23/2012,33.9433,33.9433,32.6151,33.0578,5421
12/24/2012,33.2054,33.2054,32.7627,32.7627,7454
12/26/2012,32.9103,33.353,32.5413,32.9103,21683
12/27/2012,33.1316,33.5744,33.1316,33.2792,33202
12/30/2012,33.9433,33.9433,33.4268,33.5744,18973
1/1/2013,32.9103,33.0578,32.9103,32.9103,4743
1/2/2013,32.4675,32.8365,32.1724,32.3937,8131
1/3/2013,32.0986,32.6151,32.0986,32.32,11519
1/6/2013,32.32,32.4675,32.0986,32.2462,13552
1/7/2013,31.5083,31.7296,31.5083,31.6558,2710
1/8/2013,32.3937,32.3937,31.7296,31.8034,25071
1/9/2013,31.6558,31.8772,31.6558,31.7296,8809
1/10/2013,31.8034,31.8034,31.7296,31.7296,12874
1/13/2013,32.0248,32.0248,31.8772,31.951,2710
1/14/2013,31.951,32.0986,31.7296,31.951,6098
1/15/2013,32.0986,32.32,32.0248,32.1724,10164
1/16/2013,32.4675,32.4675,32.3937,32.3937,4066
1/17/2013,32.6151,33.2054,32.5413,33.1316,52175
1/20/2013,33.1316,33.1316,32.0986,32.6151,35913
1/21/2013,32.0248,33.2054,32.0248,32.4675,14907
1/22/2013,32.4675,32.6151,32.4675,32.5413,1355
1/23/2013,33.5744,35.1978,33.5744,34.5336,116547
1/24/2013,34.6074,34.6812,33.6482,34.4599,113837
