Date,Open,High,Low,Close,Volume
9/30/2021,12.0,12.0,12.0,12.0,51
10/3/2021,14.4,14.4,14.4,14.4,61
10/4/2021,17.2,17.2,17.2,17.2,3636
10/5/2021,20.6,20.6,13.8,14.4,658335
10/6/2021,14.0,14.0,13.3,13.5,151629
10/7/2021,13.5,13.7,12.9,13.1,234450
10/10/2021,12.6,12.6,12.1,12.5,108329
10/11/2021,12.1,12.7,11.7,12.3,69328
10/12/2021,13.7,13.7,12.0,12.2,150816
10/13/2021,12.2,12.9,12.0,12.5,85787
10/14/2021,12.5,12.5,12.1,12.1,21793
10/17/2021,12.5,12.5,12.0,12.1,54744
10/18/2021,12.3,12.3,12.0,12.1,45256
10/19/2021,12.0,12.0,11.1,11.9,5623
10/21/2021,11.0,11.9,11.0,11.1,6041
10/24/2021,11.2,11.3,11.2,11.3,40000
10/26/2021,10.8,11.7,10.7,11.3,114622
10/27/2021,10.8,10.8,10.7,10.7,7244
10/31/2021,10.6,10.6,10.6,10.6,11978
11/1/2021,10.6,11.0,10.5,10.6,27235
11/2/2021,11.9,11.9,10.4,10.5,24245
11/10/2021,10.0,10.0,10.0,10.0,361
11/11/2021,10.0,10.0,9.8,10.0,10500
11/14/2021,9.0,9.5,9.0,9.4,2000
11/15/2021,9.0,9.0,9.0,9.0,3269
11/17/2021,8.9,9.2,8.9,9.2,6803
11/23/2021,9.3,9.3,9.2,9.3,12700
11/24/2021,9.3,9.3,9.3,9.3,14544
11/25/2021,9.2,9.2,9.2,9.2,2700
11/29/2021,10.0,11.0,9.8,10.5,932571
12/1/2021,9.4,9.4,9.3,9.3,13622
12/2/2021,9.2,9.2,9.2,9.2,10300
12/5/2021,9.9,10.0,9.7,9.9,79109
12/7/2021,10.0,10.0,9.7,9.9,56122
12/8/2021,10.0,10.0,9.8,9.9,57882
12/9/2021,10.4,10.5,10.4,10.4,3397
12/13/2021,9.5,10.4,9.1,9.9,67269
12/14/2021,9.7,9.8,9.7,9.8,67461
12/15/2021,10.4,10.4,10.4,10.4,7000
12/19/2021,10.0,10.0,10.0,10.0,10000
12/20/2021,0.0,10.0,10.0,10.0,24000
12/21/2021,9.9,10.0,9.8,9.9,15002
12/22/2021,9.9,9.9,9.9,9.9,8173
12/26/2021,9.7,9.7,9.6,9.6,29968
12/27/2021,10.1,10.1,9.4,9.6,70244
12/29/2021,10.4,10.4,10.4,10.4,1
1/3/2022,10.4,10.4,10.4,10.4,174
1/4/2022,9.7,9.7,9.7,9.7,10000
1/5/2022,9.6,10.3,9.0,9.0,372517
1/6/2022,10.3,10.3,9.5,9.9,10
1/10/2022,9.5,9.5,9.3,9.4,45186
1/11/2022,9.3,9.3,9.2,9.3,14811
1/12/2022,9.2,9.5,9.2,9.4,10000
1/17/2022,9.3,9.3,9.3,9.3,10000
1/19/2022,9.3,9.3,9.3,9.3,4500
1/23/2022,9.0,9.0,9.0,9.0,2500
1/24/2022,9.2,9.2,9.0,9.1,5000
1/25/2022,9.0,9.0,9.0,9.0,2500
1/26/2022,9.0,9.0,9.0,9.0,15250
1/30/2022,10.0,10.0,10.0,10.0,10000
1/31/2022,9.4,9.4,9.4,9.4,7674
2/7/2022,9.3,9.3,9.3,9.3,120
2/10/2022,10.0,10.0,10.0,10.0,1
2/13/2022,8.7,8.7,8.7,8.7,350
2/14/2022,8.7,9.9,8.7,8.7,18573
2/15/2022,9.9,9.9,9.9,9.9,4
2/16/2022,9.7,10.0,9.6,9.8,75000
2/27/2022,8.7,8.7,7.9,8.0,50000
3/2/2022,7.9,7.9,7.9,7.9,500
3/6/2022,9.2,9.2,9.2,9.2,57000
3/9/2022,8.8,9.1,8.8,8.9,15897
3/14/2022,9.3,10.5,9.3,9.3,28195
3/15/2022,10.4,10.4,10.4,10.4,1
3/16/2022,9.5,9.5,9.5,9.5,133
3/20/2022,9.8,9.8,9.8,9.8,15000
3/22/2022,10.3,10.4,10.1,10.2,82730
3/23/2022,10.3,11.3,10.3,11.1,143793
3/24/2022,11.0,11.2,10.5,10.7,50475
3/27/2022,10.8,10.8,10.0,10.2,139200
3/28/2022,10.2,10.2,10.0,10.1,33163
3/29/2022,10.8,12.1,10.8,12.1,172661
3/30/2022,13.9,14.1,12.0,13.8,456937
3/31/2022,15.7,16.5,14.2,16.5,712076
4/3/2022,19.5,19.5,15.0,16.2,487816
4/4/2022,18.0,19.4,15.6,19.4,787916
4/5/2022,22.4,23.2,20.5,23.2,2181266
4/6/2022,23.3,26.0,22.2,22.5,1807096
4/7/2022,21.2,22.8,19.0,21.6,1513781
4/10/2022,22.3,22.3,19.8,20.0,436661
4/11/2022,19.3,19.8,18.0,18.7,640149
4/12/2022,18.2,20.5,18.2,20.5,631690
4/13/2022,20.5,21.9,19.5,21.5,1008049
4/17/2022,22.1,22.7,21.2,22.0,766546
4/18/2022,22.0,22.6,20.2,20.4,486909
4/19/2022,20.2,22.3,20.0,21.5,450477
4/20/2022,22.0,22.2,20.3,21.2,297383
4/21/2022,21.9,21.9,19.6,20.1,569547
4/24/2022,21.0,21.0,19.1,19.9,204386
4/25/2022,19.9,20.0,18.8,19.5,286051
4/26/2022,19.8,19.8,18.5,18.9,325000
4/27/2022,19.6,19.6,17.6,17.9,87393
4/28/2022,18.9,18.9,17.6,18.2,115458
5/5/2022,19.2,19.2,18.5,18.6,28300
5/8/2022,17.6,18.8,17.1,17.4,189771
5/9/2022,18.8,18.8,17.4,18.0,268073
5/10/2022,18.2,18.4,17.2,17.4,151779
5/11/2022,17.2,18.0,16.5,17.0,32396
5/12/2022,17.2,17.2,16.0,16.5,160602
5/16/2022,16.6,16.6,15.0,15.1,311139
5/17/2022,15.5,15.5,14.0,14.1,149363
5/18/2022,14.3,14.7,13.4,13.7,198617
5/19/2022,13.2,15.0,13.2,15.0,507226
5/22/2022,15.5,15.5,14.6,14.9,83013
5/23/2022,15.4,16.3,15.2,15.7,502528
5/24/2022,16.4,16.4,15.1,15.1,38100
5/26/2022,14.0,16.0,14.0,15.3,15133
5/29/2022,15.9,16.7,15.7,16.5,249505
5/30/2022,17.9,17.9,15.5,15.7,231105
5/31/2022,16.3,16.3,15.0,15.1,78106
6/9/2022,21.0,21.3,19.8,20.1,599843
6/12/2022,21.0,21.0,19.3,20.2,423695
6/13/2022,20.6,20.6,18.2,18.2,366811
6/14/2022,19.6,19.6,18.1,18.3,144634
6/15/2022,19.5,19.5,18.6,19.0,969638
6/16/2022,19.9,19.9,19.5,19.7,413225
6/19/2022,19.1,21.2,19.1,20.8,1693054
6/20/2022,20.6,21.9,20.1,20.9,581089
6/21/2022,22.9,22.9,20.4,22.3,1742721
6/22/2022,24.5,24.5,21.4,21.4,344205
6/23/2022,23.5,23.5,21.4,23.1,714432
6/26/2022,24.9,24.9,23.0,23.8,800947
6/27/2022,22.8,24.0,22.5,22.7,245613
6/28/2022,24.9,24.9,22.3,23.2,248252
6/29/2022,25.5,25.5,23.0,24.0,648515
6/30/2022,26.4,26.4,24.0,24.1,622537
7/3/2022,26.5,26.5,23.0,23.5,527371
7/4/2022,24.5,24.5,23.3,23.6,542807
7/5/2022,24.3,25.5,24.2,24.4,1590403
7/6/2022,24.3,26.8,24.3,26.7,1348050
7/7/2022,27.0,29.3,26.9,29.0,1743640
7/12/2022,30.0,31.9,30.0,31.9,1508402
7/13/2022,31.7,33.4,30.9,31.6,1218824
7/14/2022,32.9,32.9,29.1,32.1,855213
7/17/2022,32.7,32.7,28.9,29.1,674014
7/18/2022,30.6,30.6,26.2,26.2,431823
7/19/2022,24.2,28.3,23.6,27.0,1034764
7/20/2022,28.2,28.3,25.8,26.8,649884
7/21/2022,27.6,29.4,26.3,29.4,1363445
7/24/2022,29.5,30.4,27.5,28.3,676215
7/25/2022,28.0,28.5,26.3,27.7,450053
7/26/2022,28.9,28.9,25.5,25.8,525692
7/27/2022,28.3,28.3,24.8,25.2,475263
7/28/2022,27.7,27.7,23.5,23.7,239101
7/31/2022,22.3,26.0,22.3,26.0,332978
8/1/2022,27.8,28.2,26.1,27.1,538748
8/2/2022,27.1,27.9,25.2,25.5,665161
8/3/2022,25.7,26.7,25.3,26.1,425163
8/4/2022,26.9,28.7,26.8,28.7,1826124
8/7/2022,30.3,30.3,28.2,29.0,586629
8/8/2022,30.0,31.8,29.2,30.7,838647
8/10/2022,32.4,32.4,29.8,31.6,1064215
8/11/2022,32.9,34.7,31.4,33.6,1516320
8/14/2022,35.3,35.3,32.0,32.5,621990
8/16/2022,31.2,32.9,31.2,32.5,573680
8/17/2022,33.3,34.4,33.0,34.0,607960
8/21/2022,34.0,35.4,33.1,33.6,844335
8/22/2022,34.2,34.2,31.8,31.9,492614
8/23/2022,31.6,33.0,29.9,30.4,496274
8/24/2022,29.2,32.5,29.2,31.0,236853
8/25/2022,31.4,32.0,30.5,31.0,569355
8/28/2022,31.8,31.8,28.0,28.5,250549
8/29/2022,29.7,30.2,28.0,29.1,266083
8/30/2022,28.8,30.9,28.8,30.1,219996
8/31/2022,30.7,30.7,27.7,28.0,334391
9/1/2022,30.6,30.6,27.1,27.6,203489
9/4/2022,30.0,30.0,25.2,25.3,230656
9/5/2022,24.2,26.5,24.2,24.7,228300
9/6/2022,25.2,25.2,23.6,24.0,134220
9/7/2022,24.0,25.2,22.0,22.5,159499
9/8/2022,24.7,24.7,22.0,22.1,217821
9/11/2022,23.8,25.0,22.9,23.5,371836
9/12/2022,24.0,25.7,23.5,25.5,185879
9/13/2022,26.3,27.3,25.2,25.9,343877
9/14/2022,27.0,27.0,25.5,25.7,223385
9/15/2022,26.3,27.7,26.1,27.5,230315
9/18/2022,27.5,28.3,26.0,26.2,420008
9/19/2022,26.9,26.9,24.8,25.1,325282
9/20/2022,25.9,25.9,23.2,23.8,300797
9/21/2022,23.7,24.9,23.7,24.3,137505
9/22/2022,24.5,24.6,23.8,24.5,19853
9/25/2022,23.1,24.9,23.1,23.2,51134
9/27/2022,23.4,25.6,23.3,25.4,205610
9/29/2022,25.3,25.3,23.4,23.9,64325
10/2/2022,23.5,23.6,23.2,23.4,12530
10/3/2022,25.3,25.3,22.0,22.0,79054
10/4/2022,22.0,23.0,21.9,22.4,35519
10/6/2022,21.8,23.8,20.7,21.2,40785
10/10/2022,20.0,21.8,19.1,19.2,31825
10/11/2022,18.0,21.0,17.8,21.0,100934
10/12/2022,21.8,23.1,21.7,23.1,277964
10/13/2022,23.0,23.5,20.8,21.0,143101
10/16/2022,20.0,21.9,19.0,19.3,47561
10/17/2022,19.7,21.0,19.4,19.7,159087
10/18/2022,20.7,20.7,18.6,18.9,11015
10/19/2022,19.6,19.6,17.4,17.5,74481
10/20/2022,18.3,18.3,17.6,17.7,46302
10/23/2022,18.8,18.8,16.7,17.0,35593
10/24/2022,16.2,16.7,15.8,16.0,108018
10/25/2022,16.9,17.0,15.7,15.9,136099
10/26/2022,15.8,16.5,15.3,16.0,188409
10/27/2022,17.2,17.2,16.0,16.1,427574
10/30/2022,16.8,16.8,14.8,15.0,129462
10/31/2022,16.0,16.0,13.9,14.0,95738
11/1/2022,13.5,15.3,13.5,15.0,172070
11/2/2022,14.8,15.7,14.8,15.5,159114
11/3/2022,16.4,16.4,15.5,15.6,120614
11/6/2022,15.7,16.1,14.6,14.8,90669
11/7/2022,15.8,15.8,14.3,14.4,95927
11/8/2022,15.0,15.0,14.5,14.7,62405
11/9/2022,14.7,15.5,14.0,15.2,139604
11/10/2022,16.0,16.0,15.0,15.1,270337
11/13/2022,15.2,16.5,15.0,16.2,459660
11/14/2022,16.6,17.1,15.6,15.7,362709
11/15/2022,15.9,16.0,15.4,15.4,115132
11/16/2022,15.1,15.5,14.9,15.4,228752
11/17/2022,16.2,16.9,16.2,16.9,386175
11/20/2022,17.9,18.0,16.1,16.2,615704
11/21/2022,16.7,16.7,15.1,15.4,371801
11/22/2022,16.9,16.9,15.4,15.6,274190
11/23/2022,16.0,16.0,15.4,15.4,272884
11/24/2022,16.4,16.4,15.2,15.6,100026
11/27/2022,16.0,17.1,15.4,16.4,530991
