Date,Open,High,Low,Close,Volume
10/1/2012,191.3805,198.5185,191.3805,194.4781,147312
10/2/2012,201.6162,203.367,197.9125,200.7407,169884
10/3/2012,203.2997,211.4478,201.4815,206.5993,420404
10/4/2012,208.7542,214.1414,204.7812,206.1279,331452
10/7/2012,206.1279,211.3131,204.0404,205.3199,208494
10/8/2012,204.8485,208.4175,199.3266,201.1448,151470
10/9/2012,205.3872,205.3872,198.8552,199.3266,207455
10/10/2012,203.7037,206.734,199.4613,200.4041,163053
10/11/2012,204.0404,205.9933,196.0943,198.5859,178794
10/14/2012,201.5488,205.3199,199.9327,202.6263,221414
10/15/2012,202.6936,205.3872,198.5185,199.2593,150876
10/16/2012,203.0303,203.0303,198.6532,198.7879,147164
10/17/2012,201.3468,201.3468,196.9697,197.7778,77666
10/18/2012,198.6532,202.0202,197.3064,200.202,105287
10/21/2012,202.6936,204.5791,200.0,202.2896,93407
10/22/2012,203.9731,203.9731,199.798,200.6734,117018
10/23/2012,201.2794,202.0202,200.6734,201.3468,83457
10/30/2012,200.1347,202.0202,200.1347,200.3367,51381
10/31/2012,200.6734,200.6734,198.8552,199.1919,67271
11/1/2012,198.6532,200.6061,196.9697,197.3064,80190
11/4/2012,197.7104,197.7104,193.6027,193.8047,44699
11/5/2012,196.3636,196.3636,192.6599,193.8721,46926
11/6/2012,198.4512,208.0135,197.7778,205.6566,450252
11/7/2012,208.3502,209.4276,202.6936,203.2997,275616
11/8/2012,204.7138,205.3872,194.0067,196.3636,132611
11/11/2012,195.2862,195.9596,187.2054,187.9461,195426
11/12/2012,195.2862,198.5859,192.5926,193.6027,276953
11/13/2012,196.5656,201.6835,190.0337,197.4411,231957
11/14/2012,199.4613,200.6061,195.8249,197.3737,110336
11/15/2012,199.5959,199.5959,194.6128,195.4209,163796
11/18/2012,196.5656,196.633,191.9192,192.9293,171072
11/19/2012,191.4478,192.5926,188.5522,188.8215,165578
11/20/2012,189.2929,190.9091,186.5993,186.936,94892
11/21/2012,190.5051,190.5724,186.1953,186.8687,95634
11/22/2012,185.1852,189.2256,185.1852,186.3973,69053
11/26/2012,186.6667,188.4848,179.2593,180.7407,88655
11/27/2012,180.8081,180.8081,176.835,177.5084,118206
11/28/2012,180.4714,180.4714,177.1044,177.7104,45738
11/29/2012,181.1448,184.8485,180.2694,184.4444,78705
12/2/2012,186.532,187.4747,179.798,180.6734,94298
12/3/2012,181.1448,182.1549,180.4714,180.8081,38016
12/4/2012,181.1448,181.6835,179.9327,180.8754,47520
12/5/2012,184.8485,184.8485,180.0,181.2795,25542
12/6/2012,180.4714,181.5488,179.798,180.8081,76181
12/9/2012,180.8754,181.0101,179.2593,180.6061,65934
12/10/2012,181.4815,181.4815,178.2492,179.3266,47817
12/11/2012,177.3064,180.3367,177.3064,179.596,30294
12/12/2012,179.798,181.1448,178.5859,178.8552,37274
12/13/2012,179.6633,180.404,178.5185,179.3939,42026
12/17/2012,179.798,181.8182,178.5185,181.6835,49302
12/18/2012,181.8182,181.8182,179.798,180.5387,30146
12/19/2012,180.8081,184.3098,180.5387,183.4343,84200
12/20/2012,183.165,183.165,181.8855,182.4916,38610
12/23/2012,180.6061,182.7609,180.6061,181.1448,61034
12/24/2012,181.7508,187.8788,180.9428,182.8956,143897
12/27/2012,181.8182,181.8182,171.0909,171.5455,140800
12/30/2012,171.8182,172.7273,169.5455,170.4545,62810
1/1/2013,170.4545,177.7273,170.0,171.2727,42680
1/2/2013,171.0,172.2727,169.2727,169.5455,35640
1/3/2013,170.0,170.0,168.1818,169.6364,35860
1/6/2013,172.7273,177.0909,170.0,170.4545,38940
1/7/2013,169.5455,170.3636,168.6364,168.9091,21340
1/8/2013,168.6364,169.1818,168.3636,168.3636,22440
1/9/2013,168.3636,169.4545,167.7273,168.0,33440
1/10/2013,169.8182,169.8182,167.7273,169.2727,7810
1/13/2013,169.7273,169.8182,167.0909,167.1818,22880
1/14/2013,167.2727,167.2727,166.3636,166.6364,9900
1/15/2013,164.7273,165.5455,164.6364,165.0,16610
1/16/2013,165.4545,166.0909,163.9091,164.8182,20460
1/17/2013,164.1818,165.4545,164.0,164.6364,21890
1/20/2013,163.4545,164.4545,163.0,163.2727,27610
1/21/2013,162.3636,163.0909,160.5455,161.8182,22550
1/22/2013,161.8182,161.8182,160.0,160.2727,33880
1/23/2013,161.4545,161.4545,159.9091,160.0909,12210
1/24/2013,160.9091,162.0909,159.8182,160.0,28820
1/27/2013,159.2727,160.9091,159.1818,159.5455,33660
1/28/2013,159.4545,168.1818,159.3636,167.2727,84370
1/29/2013,168.1818,171.0,168.1818,168.8182,68860
1/30/2013,168.1818,169.5455,166.8182,167.0,43340
1/31/2013,165.4545,168.1818,165.4545,166.7273,41140
2/3/2013,168.0909,170.9091,166.7273,170.3636,74250
2/4/2013,170.9091,170.9091,168.2727,169.5455,54340
2/5/2013,169.0909,175.5455,166.0909,174.9091,96470
2/6/2013,172.7273,178.5455,172.7273,177.4545,90200
2/7/2013,176.3636,181.7273,175.1818,180.0909,109450
2/10/2013,180.9091,182.7273,178.7273,180.7273,122540
2/11/2013,180.0,181.5455,176.7273,177.5455,63690
2/12/2013,177.2727,178.0909,176.3636,176.5455,49610
2/13/2013,177.2727,177.2727,174.2727,175.1818,100100
2/14/2013,174.7273,180.0,174.7273,177.0,80850
2/17/2013,177.7273,179.2727,176.0,176.0909,74910
2/18/2013,174.7273,178.0,174.7273,175.0909,40480
2/19/2013,173.6364,176.3636,172.9091,173.0909,80190
2/20/2013,172.7273,173.5455,168.6364,169.6364,83600
2/24/2013,164.9091,169.0,164.9091,166.9091,44330
2/25/2013,167.2727,170.0,164.7273,165.0909,41140
2/26/2013,165.4545,167.9091,164.0,165.9091,57970
2/27/2013,165.4545,166.0,161.0909,161.8182,30690
2/28/2013,161.8182,165.1818,160.1818,163.9091,31020
3/3/2013,157.4545,158.8182,155.9091,156.9091,47300
3/4/2013,161.1818,161.2727,158.6364,159.2727,35640
3/5/2013,160.9091,160.9091,158.0,159.0,17270
3/6/2013,159.2727,160.6364,159.0909,159.2727,42020
