Date,Open,High,Low,Close,Volume
10/1/2012,74.3926,74.3926,73.3722,73.9553,13377
10/2/2012,72.9835,76.2877,72.8863,74.1497,27783
10/3/2012,76.6278,77.2595,73.3722,75.2187,23667
10/4/2012,73.6637,75.8017,72.8863,73.7123,15435
10/7/2012,72.449,72.449,70.4568,71.3314,17493
10/8/2012,70.4568,71.38,69.5335,70.068,22638
10/9/2012,72.8863,73.7609,71.4286,73.0807,16464
10/10/2012,69.7279,69.7765,69.7279,69.7279,5145
10/11/2012,71.4286,71.4286,68.7561,70.0194,17493
10/14/2012,69.4849,72.4004,69.242,70.1166,9261
10/15/2012,68.7561,69.4849,68.7561,68.8533,10290
10/16/2012,69.4849,69.4849,68.999,69.2906,18522
10/17/2012,69.5335,70.9427,68.2702,69.5821,11319
10/21/2012,68.999,69.5821,68.7561,69.2906,8232
10/22/2012,68.999,68.999,68.999,68.999,7203
10/23/2012,71.4286,71.4286,69.0962,70.1166,8232
10/30/2012,71.4286,71.4286,69.242,69.5821,23667
10/31/2012,69.4849,69.4849,69.4849,69.4849,12348
11/1/2012,69.9708,69.9708,69.4363,69.5335,7203
11/4/2012,69.0476,71.2828,68.173,69.5335,5145
11/5/2012,68.5131,68.999,68.0272,68.4645,14406
11/6/2012,68.2702,69.4849,68.1244,68.173,20580
11/7/2012,67.93,67.93,67.3469,67.6385,8232
11/8/2012,67.0554,67.0554,67.0554,67.0554,2058
11/11/2012,66.6181,68.8047,66.6181,67.4441,18522
11/12/2012,68.0758,68.8047,67.6385,68.0272,23667
11/13/2012,66.6181,69.9708,66.6181,69.242,6174
11/14/2012,68.1244,70.6025,68.1244,68.9019,23667
11/15/2012,72.8377,72.8863,69.4849,72.3032,20580
11/18/2012,72.8863,74.344,72.3032,72.8377,73059
11/19/2012,71.4286,72.4004,71.4286,71.7201,19551
11/20/2012,70.4568,72.6433,70.4568,71.0884,15435
11/21/2012,70.6997,73.1778,70.6025,71.2342,24696
11/22/2012,72.8863,76.2391,72.8863,73.6637,14406
11/26/2012,72.8863,74.2468,72.8863,73.7609,7203
11/27/2012,72.8863,74.344,72.8863,73.0807,14406
11/28/2012,74.3926,74.3926,72.8863,73.9067,23667
11/29/2012,74.7327,75.8017,73.8581,75.0729,47334
12/2/2012,75.3158,75.3158,73.7123,74.1011,20580
12/3/2012,74.8299,74.8299,74.8299,74.8299,2058
12/4/2012,73.8095,74.8299,71.4772,72.9835,13377
12/5/2012,72.8863,73.3722,71.6715,72.7405,22638
12/6/2012,72.0117,72.3518,70.4568,71.9145,29841
12/9/2012,69.242,70.4082,69.242,69.5821,5145
12/10/2012,69.9708,69.9708,68.5131,69.6793,33957
12/11/2012,70.4568,70.4568,70.4568,70.4568,2058
12/12/2012,69.7279,70.0194,69.7279,69.9222,4116
12/13/2012,70.068,74.344,70.068,70.6025,111132
12/17/2012,72.8863,75.1215,72.8863,74.1983,16464
12/18/2012,73.5666,75.3158,73.5666,74.7327,12348
12/19/2012,76.1905,77.2595,75.3158,76.8222,23667
12/20/2012,77.2595,77.7454,75.413,76.725,28812
12/23/2012,78.9602,79.2031,76.7736,78.3771,8232
12/24/2012,78.4257,80.4179,77.7454,79.2517,16464
12/26/2012,77.7454,77.7454,75.8017,76.3848,25725
12/27/2012,76.8222,76.8707,75.3158,76.0933,32928
12/30/2012,77.7454,77.7454,75.8017,76.8222,17493
1/1/2013,75.7046,75.8503,75.7046,75.8017,3087
1/2/2013,75.8017,75.8017,75.8017,75.8017,20580
1/3/2013,75.8017,76.2391,75.8017,75.8503,24696
1/6/2013,75.7532,77.6968,75.7532,76.0447,16464
1/7/2013,76.2877,76.2877,75.3158,76.1905,22638
1/8/2013,76.7736,77.1623,76.7736,76.8222,26754
1/9/2013,77.7454,77.7454,75.8017,77.3567,24696
1/10/2013,76.0447,76.0447,75.9475,75.9961,12348
1/13/2013,77.2595,77.2595,77.2595,77.2595,2058
1/14/2013,76.7736,76.7736,76.7736,76.7736,1029
1/15/2013,77.3081,77.6968,77.3081,77.5024,2058
1/16/2013,77.7454,78.0855,77.2595,77.4053,8232
1/17/2013,76.8222,77.0651,76.2391,76.8707,27783
1/20/2013,77.2595,77.2595,76.0933,76.3363,25725
1/21/2013,76.7736,77.6968,76.7736,76.9679,20580
1/22/2013,76.2877,80.6122,76.2877,79.3975,21609
1/23/2013,82.6045,82.6045,79.5918,82.3615,14406
1/24/2013,84.0622,84.0622,80.6608,82.1672,11319
1/27/2013,82.2157,82.2157,81.3897,81.6327,6174
1/28/2013,81.827,83.0904,81.827,82.6045,21609
1/29/2013,82.6045,83.0904,82.1672,82.6531,22638
1/30/2013,82.7502,82.7502,82.7502,82.7502,1029
1/31/2013,82.6045,82.6045,82.6045,82.6045,1029
2/3/2013,82.1186,84.7911,82.1186,83.2362,14406
2/4/2013,81.6812,82.6045,81.1467,81.7784,22638
2/5/2013,83.5277,86.6861,83.5277,85.3256,32928
2/6/2013,86.9777,87.4636,85.034,86.0544,33957
2/7/2013,86.9777,87.7065,86.4917,87.1234,20580
2/10/2013,86.8805,86.9777,86.8319,86.8319,11319
2/11/2013,88.8727,88.8727,85.034,85.9572,42189
2/12/2013,86.5403,86.9777,84.5481,85.6171,16464
2/13/2013,83.8192,83.8192,83.4791,83.5763,10290
2/14/2013,83.6735,83.6735,83.0904,83.4305,24696
2/17/2013,84.5481,85.034,83.3333,83.7221,60711
2/18/2013,83.6249,83.8192,83.1876,83.4791,27783
2/19/2013,82.8474,84.0136,80.1749,82.4587,13377
2/20/2013,79.3003,81.1467,78.7172,79.8834,5145
2/24/2013,82.6045,82.6045,81.5841,81.9242,8232
2/25/2013,80.5151,80.5151,79.8348,80.0777,43218
2/26/2013,80.3693,80.3693,80.3207,80.3207,11319
2/27/2013,78.7172,79.1059,77.7454,77.9883,60711
2/28/2013,78.2313,78.2313,77.7454,77.8912,3087
3/3/2013,75.3158,75.3158,73.8581,74.7327,7203
3/4/2013,77.2595,77.2595,77.2595,77.2595,1029
3/5/2013,76.3363,76.3363,74.8785,76.0933,7203
3/6/2013,73.0321,75.9475,73.0321,74.0039,3087
3/7/2013,74.3926,77.0165,74.1983,75.2673,17493
3/10/2013,73.9067,74.0525,72.9349,73.1778,25725
3/11/2013,72.8863,73.4694,72.8863,73.3722,14406
3/13/2013,75.3158,76.7736,75.3158,75.7532,4116
3/14/2013,74.4898,74.6356,74.4898,74.5384,8232
3/18/2013,77.2109,77.2109,77.2109,77.2109,1029
3/19/2013,76.0933,76.0933,76.0933,76.0933,3087
3/20/2013,77.2109,77.2595,77.2109,77.2109,3087
3/24/2013,74.0039,74.0525,74.0039,74.0039,8232
3/25/2013,74.1011,74.1011,74.1011,74.1011,2058
3/27/2013,75.5588,76.5306,74.1497,75.6074,19551
3/28/2013,75.3158,75.8017,74.8299,75.1215,6174
4/1/2013,71.9145,75.8017,71.9145,75.1701,17493
4/2/2013,73.9067,76.0447,73.9067,75.7532,38073
4/3/2013,75.3158,81.1467,75.3158,79.7862,81291
4/4/2013,79.689,81.6327,79.689,81.4383,34986
4/7/2013,79.2031,80.7094,79.2031,79.689,3087
4/8/2013,78.9602,78.9602,77.7454,78.7658,14406
4/9/2013,77.9398,81.1467,77.8426,78.3771,10290
4/10/2013,79.932,79.9806,79.7862,79.932,28812
4/11/2013,79.2031,80.6608,79.2031,80.0777,8232
4/15/2013,80.1749,80.1749,80.1749,80.1749,5145
4/16/2013,79.8834,79.8834,77.7454,78.5228,40131
4/17/2013,76.725,76.725,76.6764,76.6764,2058
4/18/2013,77.7454,77.7454,77.2595,77.551,3087
4/21/2013,77.2595,77.2595,76.5792,76.9193,4116
4/22/2013,75.3644,75.5102,75.3644,75.4616,3087
4/24/2013,79.2031,79.2031,79.2031,79.2031,1029
4/25/2013,77.7454,77.7454,75.3644,75.3644,23667
4/28/2013,75.8017,77.7454,74.1011,76.9193,7203
4/29/2013,76.7736,77.7454,76.7736,77.4538,6174
4/30/2013,77.7454,77.7454,77.7454,77.7454,1029
5/7/2013,77.7454,77.7454,77.7454,77.7454,2058
5/8/2013,79.2031,79.2031,77.5024,78.0855,12348
5/9/2013,77.794,77.794,77.7454,77.7454,4116
5/13/2013,77.7454,78.7172,77.7454,77.8912,8232
5/14/2013,79.2031,82.6045,78.2313,80.5151,42189
5/15/2013,79.2517,79.689,79.0573,79.2031,19551
5/16/2013,80.6608,83.5763,80.6608,82.8474,36015
5/19/2013,86.0058,87.4636,83.6249,85.7629,50421
5/20/2013,88.9213,94.1691,88.9213,91.691,123480
5/21/2013,91.8853,92.5656,87.5607,89.0185,67914
5/22/2013,87.4636,89.1642,84.5481,87.3178,41160
5/26/2013,91.3022,91.3022,86.4917,88.6297,4116
5/27/2013,88.9213,88.9213,86.0544,87.5607,21609
5/28/2013,86.7347,86.7347,83.8192,84.5967,38073
5/29/2013,89.31,89.3586,86.4917,87.9009,69972
5/30/2013,94.6064,95.724,89.8931,91.2051,107016
6/2/2013,92.3226,92.3226,89.6501,89.8931,53508
6/3/2013,89.8931,89.8931,86.5403,87.9981,73059
6/4/2013,87.9009,87.9981,83.5763,84.3537,99813
6/5/2013,85.034,86.3946,82.6045,84.6939,188307
