Date,Open,High,Low,Close,Volume
10/1/2012,37.7316,37.7316,33.6484,34.1021,40336
10/2/2012,37.051,37.4291,35.3875,35.3875,80011
10/3/2012,37.5803,37.5803,34.4801,35.1607,40006
10/4/2012,36.5217,36.673,34.4801,34.8582,43312
10/7/2012,35.9168,35.9168,34.4801,34.707,48271
10/8/2012,34.4045,34.8582,34.2533,34.4801,21821
10/9/2012,35.5387,36.2949,34.2533,35.0094,16531
10/10/2012,34.7826,34.7826,33.5728,34.0265,43312
10/11/2012,33.8752,33.8752,32.8923,33.0435,18184
10/14/2012,32.6654,32.741,32.5142,32.5898,4298
10/15/2012,32.5142,35.0094,32.5142,34.4045,26119
10/16/2012,33.3459,34.3289,33.3459,33.8752,7274
10/17/2012,33.2703,34.7826,33.2703,34.5558,10580
10/18/2012,33.7996,34.7826,33.7996,33.7996,17854
10/21/2012,33.724,33.724,32.6654,33.1947,24136
10/22/2012,33.6484,33.6484,33.6484,33.6484,8927
10/23/2012,32.1361,34.7826,32.1361,33.6484,28764
10/30/2012,35.0094,35.0094,35.0094,35.0094,331
10/31/2012,34.7826,36.2949,33.3459,35.3875,14548
11/1/2012,35.4631,35.4631,33.9509,34.2533,19176
11/4/2012,33.3459,33.7996,33.3459,33.4216,7604
11/5/2012,33.2703,33.2703,33.0435,33.1947,5621
11/6/2012,32.5898,32.8923,31.758,32.3629,11903
11/7/2012,32.1361,32.5142,30.2457,31.758,7274
11/8/2012,30.6994,30.6994,30.6994,30.6994,331
11/11/2012,31.758,31.758,30.2457,30.6994,1984
11/12/2012,28.8091,30.6238,28.8091,30.2457,28764
11/13/2012,32.5142,32.5142,31.0775,32.2873,3306
11/14/2012,30.3214,32.8923,30.3214,31.8336,7274
11/15/2012,32.4386,32.5142,32.3629,32.4386,1323
11/18/2012,33.7996,33.7996,32.5142,32.9679,3306
11/19/2012,30.9263,31.0775,30.8507,30.8507,16531
11/20/2012,29.7164,29.8677,29.6408,29.7164,6613
11/21/2012,30.2457,30.2457,29.8677,30.0945,9919
11/22/2012,30.8507,30.8507,29.7921,29.9433,11241
11/26/2012,29.4896,29.4896,29.1115,29.2628,4629
11/27/2012,29.8677,29.8677,28.3554,29.1115,1323
11/28/2012,29.4896,29.4896,27.5992,28.2042,5290
11/29/2012,30.2457,30.2457,28.5822,29.1871,20168
12/2/2012,29.4896,29.4896,29.1115,29.2628,14217
12/4/2012,28.7335,29.4896,28.1285,28.5066,8927
12/5/2012,27.9773,28.431,27.2968,27.7505,39014
12/6/2012,27.3724,27.3724,26.9187,27.2212,21491
12/9/2012,27.3724,27.448,27.3724,27.3724,3968
12/10/2012,26.6163,26.6163,26.6163,26.6163,992
12/11/2012,27.9773,27.9773,27.9773,27.9773,6613
12/12/2012,27.5992,28.3554,26.6919,27.9773,13225
12/13/2012,27.9773,27.9773,27.9773,27.9773,1653
12/17/2012,27.9773,29.0359,27.9017,28.3554,5621
12/18/2012,27.9773,28.0529,27.9773,27.9773,3306
12/19/2012,28.0529,28.6578,27.9773,28.2798,7274
12/20/2012,28.8847,28.8847,28.1285,28.5066,7274
12/24/2012,28.7335,28.7335,28.7335,28.7335,1653
12/26/2012,27.9773,28.7335,27.9773,28.0529,1984
12/27/2012,28.3554,29.1115,28.3554,28.5822,5621
12/30/2012,29.1115,29.7164,28.2798,28.9603,10249
1/1/2013,29.3384,29.4896,28.9603,29.1871,18515
1/2/2013,28.2042,28.9603,28.2042,28.5066,3306
1/3/2013,28.3554,28.3554,28.3554,28.3554,992
1/6/2013,28.2798,28.2798,28.2042,28.2042,2645
1/7/2013,27.8261,28.431,27.8261,28.2042,2976
1/8/2013,28.1285,28.1285,27.7505,28.0529,32401
1/9/2013,28.1285,28.431,28.1285,28.2042,992
1/13/2013,28.2042,28.2042,28.0529,28.0529,2314
1/14/2013,27.9017,27.9017,27.3724,27.5992,10911
1/15/2013,28.2798,28.2798,28.2798,28.2798,331
1/16/2013,28.431,28.431,28.431,28.431,331
1/17/2013,28.7335,28.7335,28.3554,28.431,6282
1/20/2013,28.3554,28.6578,28.1285,28.3554,7935
1/21/2013,28.5066,28.5822,28.5066,28.5066,3968
1/22/2013,27.7505,28.431,27.7505,28.1285,10249
1/23/2013,28.9603,30.2457,28.5066,29.414,7935
1/24/2013,30.2457,31.0019,29.4896,30.3214,6613
1/27/2013,31.0019,31.0019,30.2457,30.397,10249
1/28/2013,30.2457,30.4726,30.0189,30.2457,3968
1/29/2013,30.775,32.1361,30.5482,30.775,11903
1/30/2013,30.3214,31.6824,30.2457,30.3214,11572
1/31/2013,30.5482,30.6238,30.2457,30.5482,27773
2/3/2013,31.3043,33.0435,31.2287,32.9679,129936
2/4/2013,34.0265,34.0265,31.758,32.2873,10249
2/5/2013,32.0605,32.5898,31.6068,32.0605,11241
2/6/2013,32.1361,32.1361,31.9093,31.9849,20829
2/7/2013,31.758,32.2873,31.6824,31.9849,24136
2/10/2013,31.758,32.2873,31.758,31.8336,30748
2/11/2013,33.1191,33.1947,31.758,32.1361,43643
2/12/2013,32.8923,33.6484,31.8336,32.2873,43312
2/13/2013,33.4216,35.4631,33.3459,35.4631,478084
2/14/2013,35.6144,37.5803,35.6144,36.2949,132911
2/17/2013,37.7316,37.8072,33.3459,34.3289,99188
2/18/2013,34.7826,35.3119,33.6484,34.1777,154733
2/19/2013,34.4045,34.4045,33.2703,33.724,136218
2/20/2013,33.8752,35.1607,32.5142,32.741,100179
2/24/2013,32.5898,32.6654,31.38,31.6824,61496
2/25/2013,31.758,32.8166,30.5482,30.6994,61166
2/26/2013,30.8507,31.4556,30.3214,31.1531,72407
2/27/2013,31.6824,31.6824,30.2457,30.5482,78358
3/3/2013,28.7826,29.5652,27.4783,27.8261,40538
3/4/2013,28.6957,29.7391,27.8261,27.8261,50025
3/5/2013,29.1304,29.1304,27.6522,27.7391,22425
3/6/2013,26.4348,26.9565,26.3478,26.5217,9200
3/7/2013,27.6522,27.6522,26.5217,26.8696,6038
3/10/2013,26.8696,26.8696,25.3043,26.087,18113
3/11/2013,25.5652,26.2609,25.5652,25.913,10925
3/12/2013,24.6957,26.6087,24.6957,26.1739,21563
3/13/2013,26.5217,26.9565,26.2609,26.5217,13225
3/14/2013,25.3043,26.2609,25.3043,25.913,2013
3/18/2013,25.913,27.5652,25.913,26.4348,10638
3/19/2013,26.4348,26.8696,26.4348,26.6087,11788
3/24/2013,25.3043,26.087,25.3043,25.6522,4888
3/25/2013,26.5217,26.5217,25.2174,26.087,2588
3/27/2013,25.2174,25.2174,24.0,24.2609,4025
3/28/2013,25.0435,25.0435,24.2609,24.3478,4600
3/31/2013,23.5652,23.5652,23.5652,23.5652,2300
4/1/2013,22.1739,23.0435,22.1739,22.3478,17250
4/3/2013,22.0,22.0,21.7391,21.8261,7763
4/4/2013,21.7391,21.7391,20.8696,21.2174,20125
4/7/2013,22.1739,22.1739,21.2174,21.3913,7763
4/8/2013,22.6087,23.0435,22.3478,22.7826,5750
4/9/2013,22.7826,23.3043,22.5217,22.9565,30475
4/10/2013,22.9565,23.913,22.9565,23.4783,47438
4/11/2013,22.7826,23.913,22.7826,23.4783,48013
4/15/2013,23.8261,25.8261,23.4783,25.0435,28175
4/16/2013,23.913,23.913,23.0435,23.0435,37663
4/17/2013,23.4783,23.7391,22.8696,23.3913,28750
4/18/2013,23.7391,23.8261,22.6957,23.2174,12363
4/21/2013,22.6957,23.2174,22.4348,22.5217,10638
4/22/2013,22.6087,22.6957,22.5217,22.6087,18113
4/24/2013,22.6957,22.6957,22.4348,22.5217,9488
4/25/2013,22.1739,22.1739,21.913,22.0,6613
4/28/2013,21.7391,21.7391,21.1304,21.3913,4888
4/29/2013,20.8696,21.7391,20.8696,21.3913,7188
4/30/2013,21.7391,22.8696,21.7391,22.3478,21275
5/2/2013,22.087,23.5652,22.087,23.3043,36513
5/5/2013,23.7391,23.913,22.9565,23.1304,17825
5/6/2013,22.1739,23.2174,22.087,22.2609,15813
5/7/2013,22.6957,23.4783,22.5217,23.1304,30763
5/8/2013,23.913,24.3478,22.4348,23.8261,57788
5/9/2013,24.087,26.1739,23.4783,26.087,241788
5/12/2013,27.6522,28.6087,27.4783,28.1739,74750
5/13/2013,27.6522,30.3478,27.5652,29.913,188888
5/14/2013,28.9565,30.8696,28.6957,29.913,162725
5/15/2013,29.5652,31.6522,28.8696,31.2174,84813
5/16/2013,30.087,31.7391,30.0,30.087,169913
5/19/2013,31.2174,33.0435,30.8696,33.0435,285200
5/20/2013,33.0435,33.3043,31.4783,32.5217,158125
5/21/2013,32.6087,35.6522,30.6957,35.3913,298713
5/22/2013,35.6522,37.8261,33.2174,36.3478,388125
5/26/2013,36.5217,37.8261,34.0,34.3478,238338
5/27/2013,35.5652,36.4348,33.913,34.6957,229425
5/28/2013,35.7391,35.7391,34.087,34.4348,176813
5/29/2013,35.2174,36.9565,34.6957,36.5217,156688
5/30/2013,37.8261,38.6087,35.4783,35.913,157550
6/2/2013,36.4348,37.3043,35.8261,36.6957,311363
6/3/2013,36.7826,37.2174,35.2174,35.7391,117300
6/4/2013,36.8696,37.3913,35.0435,35.3043,272550
6/5/2013,35.6522,36.2609,33.5652,35.0435,272550
6/6/2013,36.1739,36.1739,33.5652,33.913,80500
6/9/2013,32.6087,32.8696,31.3043,31.4783,109825
6/11/2013,35.2174,35.2174,32.1739,32.5217,119600
6/12/2013,32.6087,32.7826,31.3043,32.2609,135700
6/13/2013,32.7826,34.1739,32.4348,33.0435,107238
6/16/2013,33.0435,33.3043,32.0,32.1739,184575
6/17/2013,34.3478,34.4348,31.7391,32.1739,136563
6/18/2013,32.1739,32.5217,31.3043,31.4783,167900
6/19/2013,32.9565,32.9565,31.4783,31.7391,110975
6/20/2013,32.1739,32.4348,30.4348,30.6957,77050
6/23/2013,31.3043,31.3043,30.087,30.3478,64975
6/24/2013,29.5652,30.0,29.5652,29.5652,12075
6/26/2013,31.3043,31.3043,29.5652,30.0,41975
6/27/2013,29.7391,30.087,29.1304,29.3913,23863
6/30/2013,29.5652,29.5652,28.7826,28.9565,27025
7/2/2013,29.7391,30.6957,29.5652,30.0,47438
7/3/2013,30.6957,30.6957,29.5652,29.6522,53188
7/4/2013,29.3043,31.0435,29.3043,30.6087,80213
7/7/2013,30.8696,31.3043,29.1304,29.3913,89988
7/8/2013,30.2609,30.2609,28.8696,29.0435,50313
7/9/2013,28.9565,31.5652,28.6957,30.087,177675
7/10/2013,30.2609,30.3478,28.6957,28.8696,61238
7/11/2013,29.5652,29.5652,28.0,28.5217,22138
7/14/2013,28.6957,28.6957,27.3043,27.7391,20125
7/15/2013,27.8261,29.3913,27.0435,27.5652,97175
7/16/2013,29.5652,29.5652,27.7391,27.7391,119600
7/17/2013,29.1304,29.3913,28.1739,28.4348,96025
7/18/2013,29.4783,29.5652,28.7826,28.9565,84238
7/21/2013,29.6522,29.6522,26.3478,26.9565,52325
7/22/2013,28.087,28.1739,27.0435,27.7391,12363
7/23/2013,26.3478,26.3478,25.0435,26.087,15813
7/24/2013,26.8696,27.7391,26.8696,27.2174,10925
7/25/2013,27.0435,27.0435,25.6522,26.0,32775
7/28/2013,24.0,25.2174,24.0,24.4348,18113
7/29/2013,26.6957,26.6957,24.3478,24.3478,41400
7/30/2013,26.3478,26.3478,24.0,24.087,62388
7/31/2013,25.1304,25.1304,22.6087,22.7826,218213
8/1/2013,23.2174,24.2609,21.8261,22.5217,87975
8/4/2013,23.913,23.913,21.8261,22.4348,49450
8/5/2013,23.7391,23.7391,22.1739,22.5217,49450
8/12/2013,23.3913,23.3913,22.5217,22.8696,20988
8/13/2013,23.4783,23.4783,22.9565,23.0435,41688
8/14/2013,23.0435,23.4783,22.6957,22.6957,52038
8/18/2013,23.0435,24.3478,23.0435,24.1739,96888
8/19/2013,24.4348,25.1304,24.2609,24.8696,78488
8/20/2013,25.6522,25.6522,24.6957,24.6957,50025
8/21/2013,23.6522,24.7826,23.6522,23.7391,67275
8/22/2013,24.6087,25.5652,23.913,25.3913,132250
8/25/2013,26.3478,26.3478,25.4783,25.913,112700
8/26/2013,26.087,27.8261,26.087,26.6087,113850
8/27/2013,26.2609,27.8261,26.2609,26.3478,102925
8/29/2013,25.6522,26.4348,25.4783,25.6522,47150
9/1/2013,25.7391,26.6087,25.4783,25.7391,45425
9/2/2013,25.7391,25.8261,25.3913,25.4783,25875
9/3/2013,25.1304,25.5652,25.0435,25.1304,33638
9/4/2013,24.9565,24.9565,24.6957,24.6957,28175
9/5/2013,24.9565,24.9565,24.5217,24.7826,19550
9/8/2013,24.7826,24.7826,24.0,24.1739,45138
9/9/2013,24.1739,24.1739,23.5652,23.8261,28175
9/10/2013,24.3478,26.1739,24.3478,26.0,190038
9/11/2013,27.5652,28.5217,27.5652,28.4348,281463
9/12/2013,29.5652,31.0435,28.6957,29.6522,190613
9/15/2013,29.3043,30.4348,28.8696,30.087,193775
9/16/2013,29.5652,30.4348,29.4783,29.4783,198375
9/17/2013,29.5652,29.5652,28.4348,28.6087,97175
9/18/2013,28.6957,29.8261,27.0435,27.6522,105800
9/19/2013,27.2174,28.6957,27.1304,28.087,28175
9/22/2013,28.0,28.0,26.6957,26.8696,49163
9/23/2013,27.3913,29.4783,26.1739,29.2174,171350
9/24/2013,32.0,32.0,29.5652,30.0,173363
9/25/2013,29.5652,30.9565,29.2174,29.7391,181125
9/26/2013,29.3913,29.5652,28.3478,28.7826,140875
9/29/2013,28.8696,29.2174,28.6957,28.6957,143750
9/30/2013,31.0435,31.0435,28.087,28.5217,79350
10/1/2013,28.7826,31.2174,28.6957,30.6957,292388
10/2/2013,31.2174,31.3043,29.5652,30.1739,76188
10/3/2013,30.4348,30.8696,29.1304,29.3043,78775
10/6/2013,28.4348,28.6957,27.8261,27.913,30763
10/7/2013,28.0,28.4348,27.8261,27.8261,52613
10/8/2013,27.8261,27.8261,26.087,26.8696,65550
10/9/2013,26.6087,27.6522,26.1739,26.8696,29900
10/20/2013,26.4348,26.4348,26.2609,26.2609,7188
10/21/2013,26.087,26.9565,25.3043,26.6087,25875
