Date,Open,High,Low,Close,Volume
10/1/2012,99.54545455,101.8181818,99.54545455,100.8181818,2000
10/2/2012,100.1818182,101.8181818,100.1818182,101.1818182,15000
10/3/2012,106.1818182,106.1818182,101.3636364,102.2727273,13000
10/4/2012,102.7272727,104.1818182,100.9090909,102.2727273,10500
10/7/2012,100.0,100.0,99.54545455,99.72727273,8500
10/8/2012,100.0,100.0,99.09090909,99.54545455,13500
10/9/2012,100.4545455,104.3636364,100.4545455,103.2727273,12000
10/10/2012,101.9090909,102.7272727,100.0,101.8181818,14000
10/11/2012,101.0,101.0,100.0909091,100.6363636,3000
10/14/2012,100.2727273,102.6363636,98.18181818,99.90909091,18500
10/15/2012,100.0909091,100.9090909,99.18181818,99.81818182,17500
10/16/2012,100.9090909,100.9090909,100.9090909,100.9090909,1500
10/17/2012,101.0,101.8181818,101.0,101.6363636,17500
10/18/2012,102.0,103.3636364,101.8181818,102.1818182,7500
10/21/2012,100.0,100.0,100.0,100.0,1500
10/22/2012,99.09090909,99.18181818,99.09090909,99.09090909,1500
10/23/2012,100.2727273,101.0,100.2727273,100.5454545,2000
10/31/2012,102.7272727,103.1818182,102.7272727,102.9090909,1000
11/1/2012,101.8181818,104.4545455,101.8181818,102.1818182,6500
11/4/2012,100.0909091,102.2727273,99.09090909,99.54545455,6500
11/5/2012,98.36363636,100.0,98.18181818,98.81818182,11500
11/6/2012,107.2727273,107.2727273,99.27272727,100.1818182,5500
11/7/2012,99.18181818,99.18181818,99.18181818,99.18181818,500
11/8/2012,99.18181818,99.18181818,99.09090909,99.09090909,4000
11/11/2012,98.18181818,101.8181818,97.27272727,98.54545455,4500
11/13/2012,100.0,108.3636364,100.0,106.4545455,19000
11/14/2012,108.1818182,109.0,105.4545455,106.4545455,23000
11/15/2012,107.7272727,107.7272727,101.1818182,106.7272727,7000
11/18/2012,106.7272727,109.0909091,106.7272727,108.2727273,7000
11/19/2012,102.7272727,102.7272727,102.4545455,102.4545455,8000
11/20/2012,104.0909091,104.6363636,102.7272727,104.3636364,10500
11/21/2012,103.8181818,106.1818182,103.8181818,104.5454545,9000
11/22/2012,105.0,105.0,105.0,105.0,2000
11/26/2012,105.0,105.0,105.0,105.0,500
11/27/2012,104.5454545,104.8181818,103.7272727,104.2727273,5000
11/28/2012,114.4545455,114.4545455,104.5454545,113.5454545,5500
12/2/2012,104.1818182,106.1818182,104.1818182,105.2727273,3000
12/3/2012,114.5454545,114.5454545,106.1818182,108.2727273,2000
12/6/2012,109.0909091,109.0909091,103.8181818,105.8181818,2000
12/10/2012,101.8181818,101.8181818,101.8181818,101.8181818,500
12/12/2012,103.0,103.0,101.9090909,102.8181818,12500
12/13/2012,102.4545455,102.7272727,102.4545455,102.6363636,2500
12/18/2012,102.7272727,102.7272727,102.7272727,102.7272727,500
12/24/2012,102.7272727,102.7272727,101.8181818,102.3636364,1500
12/30/2012,106.3636364,106.3636364,104.6363636,105.4545455,1000
1/1/2013,105.0,105.0,105.0,105.0,500
1/2/2013,103.8181818,103.8181818,103.8181818,103.8181818,500
1/3/2013,103.8181818,111.6363636,103.8181818,107.7272727,1000
1/8/2013,104.6363636,104.6363636,104.6363636,104.6363636,2000
1/10/2013,104.0909091,108.1818182,104.0909091,106.9090909,3500
1/14/2013,105.9090909,110.3636364,105.9090909,108.0909091,1000
1/16/2013,108.0909091,108.1818182,108.0909091,108.0909091,1000
1/20/2013,104.7272727,104.7272727,104.7272727,104.7272727,500
1/22/2013,106.8181818,106.8181818,106.8181818,106.8181818,500
1/23/2013,107.4545455,108.1818182,107.4545455,107.8181818,1000
1/24/2013,107.7272727,107.7272727,107.4545455,107.6363636,1500
1/27/2013,111.7272727,112.7272727,108.2727273,111.7272727,4500
1/30/2013,109.0909091,109.0909091,109.0909091,109.0909091,500
2/3/2013,110.4545455,110.9090909,110.4545455,110.6363636,1000
2/4/2013,110.9090909,112.3636364,110.9090909,111.1818182,2500
2/5/2013,116.3636364,116.3636364,111.1818182,113.7272727,1000
2/6/2013,114.5454545,118.1818182,114.5454545,116.8181818,6500
2/7/2013,117.6363636,118.1818182,117.6363636,117.8181818,2000
2/10/2013,118.1818182,118.6363636,116.4545455,117.7272727,2500
2/11/2013,117.2727273,120.4545455,116.4545455,117.1818182,7500
2/12/2013,117.2727273,117.2727273,116.3636364,116.6363636,5000
2/14/2013,123.6363636,123.6363636,123.6363636,123.6363636,1000
2/18/2013,118.1818182,124.5454545,118.1818182,120.9090909,1500
2/19/2013,121.8181818,121.8181818,118.3636364,119.4545455,1500
2/20/2013,115.5454545,116.4545455,115.4545455,115.7272727,6000
2/24/2013,114.0909091,114.0909091,113.6363636,113.7272727,1500
2/26/2013,111.8181818,111.8181818,111.8181818,111.8181818,500
2/27/2013,110.9090909,110.9090909,108.1818182,108.8181818,5000
3/3/2013,106.4545455,106.4545455,106.4545455,106.4545455,500
3/4/2013,104.5454545,104.5454545,104.5454545,104.5454545,500
3/5/2013,102.7272727,103.0,102.7272727,102.8181818,1000
3/6/2013,103.7272727,103.7272727,103.7272727,103.7272727,500
3/7/2013,108.1818182,109.0909091,103.7272727,107.0,1500
3/10/2013,105.4545455,105.4545455,105.4545455,105.4545455,500
3/12/2013,104.6363636,106.3636364,104.5454545,104.9090909,3500
3/13/2013,105.0,105.0,105.0,105.0,1500
3/14/2013,106.3636364,106.3636364,106.3636364,106.3636364,1000
3/18/2013,106.4545455,106.4545455,106.4545455,106.4545455,1000
3/19/2013,106.5454545,106.5454545,106.5454545,106.5454545,500
3/20/2013,106.4545455,106.4545455,106.4545455,106.4545455,1000
3/24/2013,106.5454545,106.5454545,104.7272727,105.3636364,1500
3/25/2013,105.6363636,109.0909091,104.7272727,106.4545455,1500
3/27/2013,105.5454545,105.5454545,105.5454545,105.5454545,500
3/28/2013,105.0,105.0,105.0,105.0,500
3/31/2013,102.8181818,102.8181818,102.8181818,102.8181818,500
4/2/2013,104.6363636,104.7272727,103.0,103.9090909,4500
4/3/2013,101.0,101.0,101.0,101.0,1500
4/7/2013,99.54545455,99.54545455,99.54545455,99.54545455,500
4/8/2013,98.63636364,98.63636364,98.63636364,98.63636364,500
4/11/2013,101.8181818,101.8181818,101.8181818,101.8181818,500
4/22/2013,95.45454545,106.3636364,95.45454545,100.0,1500
4/24/2013,95.63636364,95.63636364,95.45454545,95.54545455,1500
4/30/2013,101.8181818,101.8181818,101.8181818,101.8181818,500
5/7/2013,100.0,100.0,95.54545455,96.09090909,4000
5/8/2013,100.9090909,100.9090909,98.27272727,99.72727273,1500
5/9/2013,103.6363636,103.6363636,103.6363636,103.6363636,500
5/13/2013,97.54545455,97.90909091,97.54545455,97.72727273,1500
5/14/2013,100.1818182,107.2727273,100.1818182,105.5454545,4000
5/15/2013,101.8181818,101.8181818,100.0,100.9090909,1000
5/19/2013,104.5454545,108.1818182,103.6363636,106.0909091,2000
5/20/2013,108.8181818,109.0,104.5454545,106.4545455,4000
5/21/2013,107.2727273,107.2727273,104.5454545,105.7272727,1500
5/22/2013,106.3636364,106.3636364,101.9090909,105.0,9000
5/27/2013,101.8181818,101.8181818,101.8181818,101.8181818,500
5/28/2013,106.3636364,106.3636364,105.3636364,105.8181818,1000
5/29/2013,110.4545455,110.9090909,105.7272727,108.3636364,3500
6/2/2013,113.3636364,113.3636364,107.2727273,111.2727273,1500
6/3/2013,103.6363636,103.6363636,100.9090909,101.9090909,5000
6/4/2013,105.4545455,105.4545455,100.0,100.5454545,8500
6/5/2013,101.3636364,101.8181818,98.90909091,100.4545455,10000
6/6/2013,99.27272727,99.27272727,99.27272727,99.27272727,500
6/9/2013,100.0,100.0,100.0,100.0,500
6/11/2013,99.09090909,99.09090909,99.09090909,99.09090909,2000
6/12/2013,100.0,103.6363636,100.0,102.0909091,4500
6/13/2013,98.18181818,103.6363636,97.36363636,100.9090909,5000
6/16/2013,104.5454545,107.1818182,104.5454545,105.8181818,1000
6/17/2013,102.7272727,102.7272727,101.8181818,102.2727273,1000
6/19/2013,103.6363636,105.0,103.6363636,104.5454545,3000
6/20/2013,105.9090909,106.3636364,101.0909091,104.7272727,7500
6/23/2013,101.9090909,110.1818182,101.9090909,107.3636364,1500
6/26/2013,107.2727273,107.2727273,100.5454545,102.9090909,2500
6/27/2013,97.36363636,97.36363636,97.27272727,97.27272727,1000
6/30/2013,97.36363636,98.27272727,97.36363636,97.54545455,2500
7/2/2013,104.5454545,107.2727273,104.4545455,106.0909091,20000
7/3/2013,107.2727273,107.2727273,103.6363636,104.8181818,3000
7/4/2013,100.9090909,105.4545455,100.0,102.3636364,13500
7/7/2013,102.7272727,104.2727273,102.7272727,103.7272727,9500
7/8/2013,108.1818182,108.1818182,104.5454545,105.4545455,7500
7/9/2013,102.5454545,113.5454545,102.5454545,108.0,22500
7/10/2013,108.2727273,108.2727273,107.2727273,107.5454545,11500
7/11/2013,104.7272727,104.7272727,101.8181818,103.2727273,13500
7/14/2013,100.9090909,100.9090909,100.0,100.2727273,7000
7/15/2013,101.8181818,109.0909091,101.8181818,107.7272727,5000
7/16/2013,108.6363636,109.0,102.7272727,108.0,3500
7/17/2013,108.1818182,109.0909091,103.6363636,107.9090909,5000
7/21/2013,86.90909091,86.90909091,86.81818182,86.81818182,1000
7/22/2013,85.54545455,85.54545455,85.45454545,85.45454545,2500
