Date,Open,High,Low,Close,Volume
4/20/2022,11.0,11.0,11.0,11.0,1
4/21/2022,12.1,12.1,12.1,12.1,116
4/24/2022,13.3,13.3,13.3,13.3,1
4/25/2022,14.6,14.6,14.6,14.6,1
4/26/2022,16.0,16.0,16.0,16.0,1
4/27/2022,17.6,17.6,17.6,17.6,1
4/28/2022,19.3,19.3,19.3,19.3,1
5/5/2022,21.2,21.2,21.2,21.2,2115
5/8/2022,23.3,23.3,23.3,23.3,10001
5/9/2022,25.6,25.6,25.6,25.6,11943
5/10/2022,28.1,28.1,28.1,28.1,73558
5/11/2022,30.9,30.9,30.9,30.9,59617
5/12/2022,33.9,33.9,33.9,33.9,44719
5/16/2022,37.2,37.2,35.2,37.2,1820134
5/17/2022,39.0,40.9,35.0,40.9,863257
5/18/2022,41.0,41.0,36.9,36.9,323879
5/19/2022,36.8,37.9,33.6,36.0,294188
5/22/2022,39.5,39.5,33.8,34.1,48627
5/23/2022,34.2,37.2,34.2,35.8,280906
5/24/2022,36.2,36.3,34.7,34.9,95150
5/26/2022,34.5,36.4,34.5,36.1,47663
5/29/2022,39.1,39.1,37.0,38.3,197968
5/30/2022,40.7,40.7,37.3,37.5,91923
5/31/2022,40.0,40.0,36.9,37.5,109884
6/9/2022,53.0,55.9,53.0,55.9,99474
6/12/2022,61.4,61.4,58.0,61.4,563530
6/13/2022,56.3,65.0,56.3,58.5,153366
6/14/2022,60.0,62.9,57.0,59.2,226145
6/15/2022,59.9,64.0,58.5,59.8,209707
6/16/2022,61.8,63.6,59.9,62.0,208853
6/19/2022,60.8,68.2,60.8,67.9,262609
6/20/2022,72.8,74.5,67.2,74.4,110716
6/21/2022,81.8,81.8,74.8,81.7,147479
6/22/2022,89.8,89.8,78.8,79.3,234464
6/23/2022,86.0,87.0,75.6,82.1,94267
6/26/2022,86.0,86.0,80.0,82.7,168120
6/27/2022,84.7,84.7,76.0,77.7,60162
6/28/2022,85.4,85.4,75.6,79.5,111888
6/29/2022,87.3,87.3,78.4,80.1,171307
6/30/2022,88.1,88.1,78.1,79.4,116643
7/3/2022,87.0,87.0,72.1,74.8,164215
7/4/2022,76.0,79.4,75.9,78.1,124233
7/5/2022,78.9,78.9,74.0,74.6,43810
7/6/2022,75.9,75.9,69.5,74.3,167539
7/7/2022,77.4,80.0,75.3,76.8,180180
7/12/2022,78.5,83.0,77.6,79.2,217762
7/13/2022,78.1,81.8,73.0,74.7,92943
7/14/2022,78.5,78.5,69.8,70.9,278339
7/17/2022,71.1,73.0,64.2,65.6,92794
7/18/2022,67.7,67.7,59.1,59.8,253888
7/19/2022,58.0,65.7,57.3,65.7,203167
7/20/2022,68.5,70.7,67.1,68.2,390214
7/21/2022,69.9,73.9,67.3,71.5,263796
7/24/2022,76.0,76.0,66.0,67.3,130675
7/25/2022,65.1,69.5,65.1,69.1,70172
7/26/2022,70.4,70.4,66.5,67.6,121853
7/27/2022,74.3,74.3,64.5,65.3,73961
7/28/2022,71.8,71.8,61.2,62.0,83222
7/31/2022,66.0,68.2,63.0,68.1,104760
8/1/2022,69.7,71.0,67.4,68.1,90830
8/2/2022,68.6,68.9,64.6,65.0,72089
8/3/2022,68.9,70.0,63.0,68.2,129595
8/4/2022,71.8,74.9,69.2,74.0,314091
8/7/2022,79.8,79.8,70.5,73.5,66795
8/8/2022,76.6,78.9,71.3,74.3,236315
8/10/2022,74.3,74.4,70.0,73.8,152689
8/11/2022,74.0,76.3,71.8,73.0,120469
8/14/2022,71.2,75.3,70.3,70.9,67221
8/16/2022,69.0,70.5,68.4,69.1,100443
8/17/2022,68.0,73.3,68.0,72.0,56577
8/21/2022,74.7,74.7,69.2,70.8,88639
8/22/2022,70.9,73.0,69.1,69.4,101073
8/23/2022,69.3,71.6,66.6,67.0,67154
8/24/2022,65.0,71.0,65.0,69.8,22252
8/25/2022,68.0,72.0,68.0,71.6,72355
8/28/2022,70.3,73.0,66.2,66.9,105477
8/29/2022,65.0,72.0,65.0,71.9,89169
8/30/2022,69.0,73.3,69.0,70.8,63927
8/31/2022,70.0,72.0,68.5,70.1,53525
9/1/2022,68.5,71.9,68.5,71.7,17000
9/4/2022,72.0,72.0,68.6,69.4,59682
9/5/2022,69.5,71.4,69.4,69.6,56122
9/6/2022,67.2,70.6,67.2,69.2,37660
9/7/2022,69.5,70.0,67.1,67.6,74030
9/8/2022,70.7,70.7,67.0,67.2,17061
9/11/2022,67.1,69.0,67.1,68.8,38856
9/12/2022,70.0,70.0,66.2,66.5,16103
9/13/2022,69.0,69.5,66.6,67.7,64541
9/14/2022,69.0,69.5,66.5,67.5,37797
9/15/2022,69.4,72.0,68.0,71.2,158050
9/18/2022,72.8,72.8,68.6,69.6,65684
9/19/2022,63.6,70.0,63.6,69.1,39122
9/20/2022,71.0,71.0,66.4,66.4,95703
9/21/2022,66.5,68.6,63.3,65.3,7065
9/22/2022,63.3,69.0,63.3,64.0,10055
9/25/2022,63.3,68.0,63.3,64.4,16553
9/26/2022,64.1,67.4,64.1,66.1,7743
9/27/2022,65.6,69.0,65.5,68.7,50370
9/28/2022,68.0,69.9,68.0,69.0,49497
9/29/2022,69.4,69.4,67.6,68.9,8509
10/2/2022,67.2,68.6,65.1,66.4,9608
10/3/2022,66.9,69.0,65.1,67.4,36616
10/4/2022,67.9,67.9,65.2,65.3,30664
10/6/2022,63.0,68.5,63.0,64.9,17229
10/10/2022,64.9,66.7,58.5,63.8,32755
10/11/2022,57.6,66.8,57.6,64.8,750
10/12/2022,65.0,69.0,65.0,68.9,44929
10/13/2022,69.8,69.8,63.1,63.5,24348
10/16/2022,68.4,68.4,63.0,63.1,1711
10/17/2022,68.7,68.7,62.4,62.9,43063
10/18/2022,67.9,67.9,63.1,63.2,9971
10/19/2022,68.2,68.2,60.8,61.6,25498
