Date,Open,High,Low,Close,Volume
10/1/2012,72.5,79.95,70.0,75.85,14100
10/2/2012,80.0,83.0,78.05,78.95,17350
10/3/2012,77.0,79.0,74.05,76.85,14800
10/4/2012,77.0,78.0,72.5,73.4,14500
10/7/2012,76.5,77.5,70.8,72.85,9100
10/8/2012,72.5,72.5,69.3,70.6,4450
10/9/2012,71.05,77.5,71.05,75.7,12150
10/10/2012,75.05,75.55,71.1,71.4,7000
10/11/2012,71.0,74.2,70.0,71.65,4600
10/14/2012,72.5,73.0,69.0,70.05,8350
10/15/2012,71.75,71.75,69.0,69.9,5850
10/16/2012,68.0,72.4,67.5,70.3,3750
10/17/2012,70.0,70.1,69.0,69.2,5900
10/18/2012,69.0,70.8,68.3,69.4,4800
10/21/2012,68.7,74.35,68.7,73.2,7750
10/22/2012,75.5,80.45,73.1,79.15,19800
10/23/2012,81.5,82.0,77.65,78.75,18200
10/30/2012,82.45,82.45,74.0,75.45,7400
10/31/2012,72.15,77.85,72.15,72.55,13200
11/1/2012,76.5,76.7,73.25,74.85,12200
11/4/2012,78.5,82.3,77.0,81.8,56900
11/5/2012,84.0,88.4,84.0,86.4,55650
11/6/2012,87.1,88.45,82.8,84.1,18500
11/7/2012,83.5,84.5,81.0,82.1,21400
11/8/2012,80.7,85.5,80.7,84.35,31600
11/11/2012,83.35,84.95,79.2,79.9,20900
11/12/2012,82.0,82.0,75.35,76.7,12650
11/13/2012,75.5,79.75,75.0,78.5,18350
11/14/2012,77.25,80.4,76.05,76.75,10000
11/15/2012,78.4,78.4,76.05,76.2,14750
11/18/2012,79.3,79.3,74.25,75.35,13650
11/19/2012,74.0,74.4,68.55,70.15,17550
11/20/2012,70.0,71.75,66.9,67.7,14650
11/21/2012,72.0,73.0,68.0,69.95,7850
11/22/2012,69.3,72.0,69.3,70.7,9050
11/26/2012,71.75,76.45,71.75,74.25,23750
11/27/2012,73.55,75.0,73.0,73.35,12550
11/28/2012,75.65,75.65,72.3,72.75,6950
11/29/2012,75.95,78.5,75.25,76.55,20750
12/2/2012,77.05,77.05,71.25,72.15,17700
12/3/2012,73.95,74.0,70.0,70.4,10850
12/4/2012,69.3,75.0,69.3,74.35,20000
12/5/2012,74.25,74.8,72.2,73.8,8750
12/6/2012,71.5,73.5,71.0,71.45,9400
12/9/2012,70.25,70.25,68.15,68.35,11050
12/10/2012,67.8,68.35,65.3,66.5,9350
12/11/2012,64.75,64.75,60.0,60.9,22050
12/12/2012,61.05,62.15,60.2,60.55,11050
12/13/2012,60.5,61.4,60.0,60.55,6350
12/17/2012,60.5,63.25,60.5,62.0,17800
12/18/2012,62.65,62.7,61.05,61.3,13150
12/19/2012,61.3,62.5,60.5,62.0,21650
12/23/2012,61.0,61.0,58.05,58.6,7300
12/24/2012,58.0,58.0,57.0,57.7,9050
12/26/2012,57.55,58.95,57.3,57.6,7950
12/27/2012,57.8,58.2,56.55,56.75,8350
12/30/2012,55.0,57.35,54.55,55.05,12850
1/1/2013,55.9,55.95,53.8,54.05,7200
1/2/2013,53.3,53.85,53.3,53.75,4600
1/3/2013,54.0,54.95,53.0,53.55,8300
1/6/2013,52.65,53.4,52.25,52.75,6050
1/7/2013,53.0,53.5,52.05,52.8,2900
1/8/2013,53.0,53.0,52.5,52.6,1500
1/9/2013,52.55,52.55,51.65,51.9,8600
1/10/2013,51.5,52.5,51.5,52.15,4450
1/13/2013,53.95,55.5,53.0,54.1,14150
1/14/2013,53.5,54.2,53.5,53.7,4850
1/15/2013,52.75,54.0,52.75,53.7,4450
1/16/2013,53.25,54.15,53.25,53.75,4450
1/17/2013,53.9,55.0,53.8,54.8,19550
1/20/2013,54.7,54.75,54.25,54.5,4450
1/21/2013,54.35,54.45,53.8,54.1,1950
1/22/2013,54.1,54.25,53.05,53.15,6600
1/23/2013,54.45,54.5,53.05,53.2,7550
1/24/2013,54.0,54.35,53.05,53.25,5800
1/27/2013,54.0,54.15,53.1,53.25,6300
1/28/2013,53.05,53.35,53.0,53.15,4250
1/29/2013,53.0,57.45,53.0,55.1,26800
1/30/2013,55.5,55.5,54.0,54.2,5700
1/31/2013,54.0,54.15,53.2,53.65,6750
2/3/2013,54.0,54.75,53.1,54.2,8000
2/4/2013,54.15,54.15,53.2,53.3,7100
2/5/2013,53.6,54.2,53.0,53.5,4900
2/6/2013,53.55,54.0,53.2,53.4,10900
2/7/2013,54.15,54.15,53.15,53.25,7350
2/10/2013,53.4,53.6,52.9,53.0,8300
2/11/2013,53.3,53.95,53.1,53.5,7500
2/12/2013,54.0,54.05,53.1,53.25,7350
2/13/2013,53.25,53.75,52.75,52.85,9450
2/14/2013,53.1,54.45,53.1,53.75,10250
2/17/2013,52.7,54.0,52.7,53.3,14550
2/18/2013,53.3,53.35,52.3,52.5,12600
2/19/2013,52.8,52.9,51.85,52.1,10200
2/20/2013,52.15,52.5,50.65,50.75,6300
2/24/2013,50.8,51.0,50.0,50.1,8200
2/25/2013,50.95,51.25,49.15,49.3,3600
2/26/2013,50.0,50.95,50.0,50.2,2300
2/27/2013,50.15,50.25,48.55,49.1,4700
2/28/2013,49.0,50.45,48.75,49.35,2600
3/3/2013,47.25,47.5,46.5,46.85,1100
3/4/2013,48.75,48.75,47.1,47.5,2450
3/5/2013,48.25,48.25,47.3,47.35,1200
3/6/2013,47.25,47.25,45.6,45.7,3450
3/7/2013,45.35,45.4,45.25,45.3,1100
3/10/2013,45.25,45.25,44.5,44.85,2250
3/11/2013,43.3,44.5,43.15,43.35,700
3/12/2013,43.0,44.45,43.0,43.3,800
3/13/2013,45.55,46.75,45.2,45.7,3150
3/14/2013,43.35,46.5,43.35,45.0,1600
3/18/2013,45.5,45.5,44.5,45.25,750
3/19/2013,47.0,47.0,45.0,45.75,1000
3/20/2013,45.0,45.0,44.4,44.75,1550
3/24/2013,44.0,44.0,42.5,43.1,2350
3/25/2013,43.5,43.5,41.55,42.05,2500
3/27/2013,40.7,41.0,40.05,40.5,2550
3/28/2013,40.55,41.8,40.55,41.35,2750
3/31/2013,41.65,41.65,40.2,40.85,1050
4/1/2013,39.0,39.0,38.35,38.75,1250
4/2/2013,39.05,39.45,38.55,39.05,3050
4/3/2013,39.5,39.6,38.9,39.1,2500
4/4/2013,38.5,38.75,38.0,38.35,1450
4/7/2013,37.75,37.75,37.55,37.6,1050
4/8/2013,37.5,39.45,37.5,38.5,1250
4/9/2013,41.35,41.75,40.05,40.55,3600
4/10/2013,41.5,42.95,40.8,41.0,5900
4/11/2013,40.15,45.1,40.1,45.1,25850
4/15/2013,48.0,49.6,48.0,49.6,18100
4/16/2013,52.5,52.5,47.1,48.0,19400
4/17/2013,49.9,50.75,45.4,48.2,21500
4/18/2013,50.8,53.0,49.9,52.7,50500
4/21/2013,52.75,57.45,52.75,56.3,34700
4/22/2013,56.0,56.0,52.05,52.85,16400
4/24/2013,55.95,56.55,53.55,53.9,15950
4/25/2013,55.0,55.1,53.5,53.65,18250
4/28/2013,53.45,53.45,50.0,51.0,13600
4/29/2013,52.7,56.1,52.0,55.9,48900
4/30/2013,56.0,59.85,54.25,55.65,42800
5/2/2013,55.0,58.0,54.5,55.65,30100
5/5/2013,56.95,59.95,55.9,58.15,29850
5/6/2013,58.45,63.95,57.55,62.75,63800
5/7/2013,67.25,69.0,67.25,69.0,50000
5/8/2013,72.5,75.5,67.65,69.05,68200
5/9/2013,70.85,70.85,65.55,69.45,49450
5/12/2013,68.75,68.9,65.05,65.7,33300
5/13/2013,65.5,66.9,61.15,61.75,43350
5/14/2013,61.5,63.2,58.25,62.55,56000
5/15/2013,62.95,67.4,62.95,65.55,18650
5/16/2013,67.4,67.5,63.5,64.25,22950
5/19/2013,65.5,65.5,62.1,62.65,30750
5/20/2013,63.05,63.5,60.0,60.25,26300
5/21/2013,60.0,61.5,58.5,58.85,21700
5/22/2013,59.0,60.3,58.0,58.3,18650
5/26/2013,60.4,61.35,58.8,60.1,25950
5/27/2013,61.45,63.75,60.95,61.1,18350
5/28/2013,59.2,66.75,59.2,65.8,60400
5/29/2013,67.5,69.0,66.45,66.85,35050
5/30/2013,66.7,69.95,64.3,67.45,42900
6/2/2013,67.75,68.3,63.5,64.55,48850
6/3/2013,66.45,66.8,65.0,65.85,29150
6/4/2013,66.5,71.9,66.5,71.05,89500
6/5/2013,72.5,73.75,69.15,70.4,43900
6/6/2013,71.0,72.5,67.7,68.95,47200
6/9/2013,69.0,69.9,64.95,65.4,33250
6/11/2013,72.5,73.95,70.0,70.85,29550
6/12/2013,72.95,72.95,68.15,68.85,39150
6/13/2013,69.0,71.0,68.75,69.75,34300
6/16/2013,71.7,72.5,69.7,70.2,30750
6/17/2013,71.0,71.7,68.6,68.85,30300
6/18/2013,69.5,70.0,67.55,68.2,27650
6/19/2013,67.75,71.0,67.3,67.9,32050
6/20/2013,68.25,69.15,65.35,65.75,29550
6/23/2013,67.4,67.85,64.3,64.9,14950
6/24/2013,65.5,65.95,62.85,63.4,16650
6/26/2013,65.5,66.45,63.2,63.7,19500
6/27/2013,65.0,65.0,61.15,62.1,21900
6/30/2013,61.75,63.0,61.05,61.3,14400
7/2/2013,63.5,66.0,62.5,64.8,10750
7/3/2013,66.05,67.0,63.9,64.45,10250
7/4/2013,64.5,65.9,63.5,64.4,17350
7/7/2013,66.0,67.5,65.9,66.95,24050
7/8/2013,68.95,73.6,67.0,73.6,83250
7/9/2013,78.5,80.95,78.35,80.95,49700
7/10/2013,84.9,87.5,76.0,77.45,48600
7/11/2013,76.0,77.5,70.0,70.95,38450
7/14/2013,70.6,71.95,67.5,69.25,20150
7/15/2013,72.0,75.45,68.75,73.4,24350
7/16/2013,77.0,77.0,68.15,70.1,34700
7/17/2013,71.45,71.85,68.5,69.0,20150
7/18/2013,70.0,70.0,66.5,67.8,14450
7/21/2013,71.25,71.25,63.3,65.35,13800
7/22/2013,67.5,67.5,62.5,64.1,9200
7/23/2013,66.45,66.45,59.1,60.0,11600
7/24/2013,60.0,66.0,60.0,66.0,14850
7/25/2013,67.5,67.5,61.2,62.55,7700
7/28/2013,61.0,62.5,59.85,60.65,7350
7/29/2013,63.0,64.15,62.0,62.5,8650
7/30/2013,63.5,63.9,59.15,60.3,9450
7/31/2013,61.5,62.5,60.5,61.7,5500
8/1/2013,61.95,62.0,60.25,60.95,5050
8/4/2013,59.85,60.0,57.7,58.65,6150
8/5/2013,60.0,62.5,59.25,61.35,9700
8/12/2013,60.0,62.0,60.0,61.25,6750
8/13/2013,62.35,64.0,61.4,63.2,11650
8/14/2013,64.25,68.0,62.25,67.2,26250
8/18/2013,67.0,71.5,67.0,70.25,29250
8/19/2013,71.5,77.0,70.0,76.3,71050
8/20/2013,76.95,76.95,73.0,73.2,33850
8/21/2013,74.0,76.25,71.35,73.2,42900
8/22/2013,74.5,80.5,73.55,80.3,95350
8/25/2013,83.5,88.0,78.4,79.2,55600
8/26/2013,82.5,82.5,76.0,78.1,44550
8/27/2013,79.9,79.9,73.0,73.7,42600
8/29/2013,72.1,77.0,72.1,75.05,15000
9/1/2013,76.0,78.95,75.05,75.9,22200
9/2/2013,76.95,77.0,71.5,72.85,19650
9/3/2013,70.55,75.45,70.55,73.4,12000
9/4/2013,74.75,76.7,74.05,74.8,24100
9/5/2013,75.95,76.3,72.5,72.8,21450
9/8/2013,71.25,76.0,71.25,74.9,25500
9/9/2013,77.0,82.35,76.95,81.7,86500
9/10/2013,82.4,88.45,82.0,84.95,74300
9/11/2013,85.0,87.5,81.75,83.85,49350
9/12/2013,83.85,91.95,81.3,91.6,134600
9/15/2013,96.0,99.45,84.15,90.0,63600
9/16/2013,90.0,90.0,85.0,89.0,37400
9/17/2013,89.0,93.9,85.95,86.7,67150
9/18/2013,88.9,88.9,80.5,82.65,42900
9/19/2013,81.5,84.5,80.0,81.0,35500
9/22/2013,82.0,83.45,77.75,81.65,26550
9/23/2013,84.0,86.15,83.05,84.4,29250
9/24/2013,85.0,87.45,80.05,80.85,29950
9/25/2013,80.1,80.75,76.2,77.2,16800
9/26/2013,75.05,82.5,75.0,80.35,25250
9/29/2013,80.5,80.75,77.0,77.55,14500
9/30/2013,75.9,76.9,72.5,73.2,17800
10/1/2013,73.05,75.5,72.5,72.85,11700
10/2/2013,74.95,76.9,73.5,75.9,10450
10/3/2013,77.25,78.95,75.5,76.2,15050
10/6/2013,74.0,74.5,72.3,72.85,8750
10/7/2013,72.55,72.55,70.6,71.35,11750
10/8/2013,70.5,70.65,67.0,68.1,8400
10/9/2013,66.1,69.95,65.85,67.65,8750
10/20/2013,62.75,66.2,62.75,63.8,3800
