Date,Open,High,Low,Close,Volume
10/1/2012,74.03,74.87,73.32,73.99,520196
10/2/2012,74.03,74.87,73.45,73.82,979474
10/3/2012,73.4,74.41,73.15,73.53,964580
10/4/2012,73.2,74.45,73.07,73.15,742254
10/7/2012,73.24,73.61,71.52,71.9,700702
10/8/2012,73.57,73.57,71.69,71.98,455663
10/9/2012,73.36,73.36,71.65,71.86,399456
10/10/2012,71.94,72.65,71.1,71.23,367970
10/11/2012,71.1,72.32,71.06,71.1,348914
10/14/2012,71.56,71.56,69.64,70.1,689728
10/15/2012,71.52,71.52,70.06,70.85,325078
10/16/2012,70.48,72.07,70.44,71.19,407587
10/17/2012,70.69,71.52,70.23,70.6,333231
10/18/2012,71.1,71.19,70.52,70.69,283284
10/21/2012,71.1,72.23,70.85,71.56,345519
10/22/2012,72.11,72.23,71.36,71.9,248761
10/23/2012,72.32,74.07,71.86,73.36,429916
10/30/2012,73.61,74.37,72.78,74.07,241733
10/31/2012,74.03,75.25,73.82,74.91,542357
11/1/2012,75.04,75.2,73.78,74.41,374258
11/4/2012,73.32,74.79,71.61,72.44,301769
11/5/2012,73.91,73.91,71.56,72.15,419731
11/6/2012,73.15,73.91,71.94,71.98,318620
11/7/2012,71.94,72.57,71.94,72.07,177539
11/8/2012,72.15,72.65,71.73,72.44,277621
11/11/2012,71.61,72.53,71.36,72.07,439575
11/12/2012,71.1,72.36,71.02,71.44,386163
11/13/2012,71.1,71.9,70.64,71.56,396897
11/14/2012,72.28,72.28,71.27,71.73,406103
11/15/2012,71.31,72.36,71.31,71.94,323861
11/18/2012,72.65,72.65,71.56,72.07,279459
11/19/2012,71.94,71.94,71.1,71.15,370263
11/20/2012,71.15,71.15,70.18,70.27,341121
11/21/2012,71.94,71.94,70.23,70.27,255910
11/22/2012,70.35,71.1,70.14,70.27,255672
11/26/2012,70.27,70.48,69.52,69.56,250699
11/27/2012,69.85,70.27,69.01,69.1,208525
11/28/2012,70.27,70.27,68.09,68.26,274943
11/29/2012,69.39,71.1,69.22,70.44,295623
12/2/2012,71.1,71.52,69.14,69.6,281157
12/3/2012,69.14,69.85,69.06,69.56,119991
12/4/2012,69.06,70.06,68.72,69.64,247375
12/5/2012,69.56,70.39,69.43,70.02,190902
12/6/2012,69.85,70.52,69.01,70.27,368186
12/9/2012,70.23,70.39,69.1,70.27,224087
12/10/2012,70.27,70.56,69.43,70.31,294069
12/11/2012,69.52,70.27,69.52,70.06,174023
12/12/2012,70.27,70.48,69.72,70.06,193269
12/13/2012,70.52,70.56,69.68,70.23,164988
12/17/2012,69.89,70.94,69.85,70.23,408661
12/18/2012,70.6,70.6,69.98,70.1,232146
12/19/2012,70.23,70.52,69.98,70.14,177680
12/20/2012,70.27,71.06,70.23,70.73,321874
12/23/2012,70.77,71.4,70.31,70.6,281971
12/24/2012,70.69,71.06,70.23,70.44,207014
12/26/2012,71.06,71.1,70.27,70.39,250746
12/27/2012,70.9,70.9,70.23,70.31,299759
12/30/2012,70.85,70.85,70.27,70.52,363667
1/1/2013,70.69,70.81,70.27,70.35,174358
1/2/2013,70.35,70.35,69.93,69.98,174427
1/3/2013,70.02,70.27,69.85,70.02,299878
1/6/2013,70.14,70.27,69.85,69.93,156499
1/7/2013,69.81,70.06,69.6,69.64,165344
1/8/2013,69.64,70.48,69.64,70.1,245798
1/9/2013,69.85,71.19,69.85,70.64,407849
1/10/2013,70.23,71.31,71.31,70.69,232
1/13/2013,70.52,70.69,70.31,70.35,141770
1/14/2013,70.39,70.81,70.23,70.69,199797
1/15/2013,70.73,71.1,70.31,70.69,244983
1/16/2013,70.94,71.06,70.56,70.77,202976
1/17/2013,70.9,71.02,70.6,70.85,272480
1/20/2013,71.06,71.06,70.64,70.77,245988
1/21/2013,70.9,70.9,70.48,70.56,184159
1/22/2013,70.69,70.9,70.6,70.77,213639
1/23/2013,70.9,70.94,70.69,70.69,217535
1/24/2013,70.69,70.9,70.6,70.64,271596
1/27/2013,70.52,71.36,70.48,70.98,251534
1/28/2013,71.1,71.73,70.64,71.52,385567
1/29/2013,71.31,72.44,71.31,72.28,703071
1/30/2013,73.15,73.2,71.9,72.36,513619
1/31/2013,72.32,72.74,72.15,72.48,380234
2/3/2013,72.53,72.9,72.36,72.82,492268
2/4/2013,73.57,74.49,73.11,74.07,905024
2/5/2013,74.62,75.29,74.03,75.16,638491
2/6/2013,75.29,76.04,75.29,75.54,619364
2/7/2013,76.12,76.12,75.25,75.54,390683
2/10/2013,76.12,76.17,75.33,75.83,404501
2/11/2013,75.96,76.67,75.91,76.42,806378
