Date,Open,High,Low,Close,Volume
10/1/2012,42.3913,43.1159,41.6667,41.9565,995532
10/2/2012,42.3913,43.913,42.3913,42.8261,1123182
10/3/2012,43.6232,44.5652,42.971,43.3333,1502268
10/4/2012,44.9275,45.5072,42.971,43.2609,1667730
10/7/2012,43.913,44.2029,41.3768,41.5942,779838
10/8/2012,41.7391,42.5362,40.3623,40.7971,794604
10/9/2012,42.029,42.2464,40.7971,40.942,1138638
10/10/2012,42.029,42.029,39.8551,40.0725,766590
10/11/2012,40.5797,40.8696,39.7826,40.0,767694
10/14/2012,40.5797,40.942,39.2754,39.5652,881544
10/15/2012,39.9275,40.7971,39.7826,39.8551,535992
10/16/2012,40.5072,41.087,39.8551,40.0725,624588
10/17/2012,40.1449,40.3623,39.1304,39.2754,594090
10/18/2012,40.1449,40.1449,38.7681,39.058,667506
10/21/2012,39.3478,39.4928,38.1159,38.3333,514188
10/22/2012,38.2609,38.6232,37.8261,38.4783,634524
10/23/2012,38.4783,40.1449,38.4783,39.7826,751410
10/30/2012,39.1304,40.1449,39.1304,39.8551,564558
10/31/2012,39.8551,40.1449,39.4203,39.7101,498732
11/1/2012,39.7101,40.0725,39.6377,39.7826,613134
11/4/2012,39.8551,39.8551,38.0435,38.1884,566490
11/5/2012,38.4058,38.7681,37.8261,38.1159,414414
11/6/2012,39.058,39.058,37.4638,37.8261,638526
11/7/2012,38.0435,38.2609,36.9565,37.1739,477480
11/8/2012,37.1739,37.6812,36.0145,36.6667,564144
11/11/2012,36.4493,37.1015,35.2899,35.5072,434424
11/12/2012,35.7246,36.5942,35.5072,36.0145,537096
11/13/2012,36.2319,37.6812,35.8696,37.3188,538062
11/14/2012,37.6812,37.6812,36.5942,37.2464,383778
11/15/2012,37.2464,37.6812,37.1739,37.3188,388194
11/18/2012,37.4638,37.8261,36.3043,36.7391,494730
11/19/2012,36.5942,37.1015,36.087,36.5942,925428
11/20/2012,36.0145,36.5217,35.1449,35.2174,303462
11/21/2012,35.5072,36.0145,34.4203,34.7826,288144
11/22/2012,35.0,35.5797,34.7101,34.9275,282210
11/26/2012,34.8551,35.2174,34.4203,34.5652,341136
11/27/2012,34.6377,34.7101,33.7681,33.9855,171948
11/28/2012,34.4203,34.7826,33.0435,33.2609,393024
11/29/2012,34.3478,36.1594,34.1304,35.7971,622242
12/2/2012,36.8841,36.8841,34.2029,34.6377,370806
12/3/2012,35.2899,35.3623,33.7681,33.9855,298632
12/4/2012,33.9855,34.2029,33.4058,33.7681,402684
