Date,Open,High,Low,Close,Volume
9/30/2021,19.9,19.9,19.9,19.9,6
10/3/2021,23.8,23.8,23.8,23.8,5
10/4/2021,28.5,28.5,28.5,28.5,1
10/5/2021,34.2,34.2,34.2,34.2,5000
10/6/2021,29.0,29.0,28.0,29.0,4960
10/7/2021,27.7,27.7,27.7,27.7,1000
10/10/2021,29.8,29.8,29.8,29.8,4
10/11/2021,25.7,29.7,25.7,29.1,12
10/12/2021,27.1,30.0,26.2,29.3,13
10/13/2021,31.8,31.8,31.8,31.8,1
10/14/2021,38.1,38.1,38.1,38.1,1
10/17/2021,34.4,36.6,30.5,31.7,22005
10/18/2021,36.8,36.8,36.8,36.8,1
10/19/2021,39.0,39.0,37.0,37.0,1001
10/21/2021,35.0,35.6,35.0,35.0,205
10/24/2021,36.4,36.4,36.4,36.4,2
10/25/2021,35.0,35.0,35.0,35.0,1
10/26/2021,38.5,38.5,38.5,38.5,1
11/4/2021,48.5,48.5,48.5,48.5,1
11/7/2021,54.9,54.9,54.9,54.9,1
11/8/2021,63.0,65.0,63.0,64.0,2
11/9/2021,67.0,67.0,67.0,67.0,1
11/14/2021,79.0,79.0,72.0,72.3,25
11/15/2021,85.9,85.9,85.9,85.9,7
11/18/2021,0.0,85.9,85.9,85.9,1
11/21/2021,100.0,100.0,100.0,100.0,2
11/22/2021,0.0,100.0,100.0,100.0,1
12/1/2021,0.0,100.0,100.0,100.0,1
12/2/2021,0.0,100.0,100.0,100.0,1
12/6/2021,115.0,115.0,115.0,115.0,18000
12/8/2021,0.0,115.0,115.0,115.0,101
12/9/2021,93.8,93.8,93.8,93.8,14901
12/12/2021,75.1,75.1,75.1,75.1,1
12/13/2021,60.1,60.1,60.1,60.1,5
12/14/2021,48.1,48.1,48.1,48.1,38006
12/15/2021,38.5,38.5,38.5,38.5,1000
12/19/2021,30.9,30.9,30.8,30.9,2005
12/20/2021,25.1,28.0,25.1,28.0,1001
12/21/2021,22.5,22.5,22.4,22.5,1503
12/22/2021,24.7,24.7,22.0,22.9,3002
12/23/2021,23.0,27.2,23.0,27.0,5501
12/26/2021,32.4,32.4,32.2,32.4,20000
12/27/2021,28.0,30.8,26.0,26.3,12500
12/28/2021,27.5,27.5,22.0,26.4,5810
12/29/2021,28.9,29.0,28.9,28.9,3100
12/30/2021,23.2,23.2,23.2,23.2,1
1/2/2022,18.7,22.5,18.7,21.2,4
1/3/2022,17.0,19.0,17.0,18.0,2
1/4/2022,15.2,15.2,15.2,15.2,1
1/5/2022,15.0,18.2,15.0,16.9,4
1/6/2022,20.2,20.2,20.2,20.2,1
1/9/2022,24.2,24.2,24.2,24.2,3050
1/10/2022,25.7,25.7,25.7,25.7,1
1/11/2022,28.0,28.9,28.0,28.4,13
1/12/2022,29.1,29.1,29.1,29.1,607
1/13/2022,23.3,27.9,23.3,27.7,28
1/16/2022,22.2,26.6,22.2,24.0,1303
1/17/2022,19.2,19.2,19.2,19.2,1
1/18/2022,23.0,23.0,23.0,23.0,1
1/19/2022,24.0,24.0,23.1,23.7,2714
1/20/2022,20.1,23.0,19.2,20.7,20018
1/23/2022,17.0,20.0,17.0,20.0,1059
1/24/2022,16.1,16.1,16.0,16.0,2002
1/25/2022,13.4,19.2,13.4,17.8,5001
1/26/2022,20.0,21.3,20.0,21.0,6000
1/27/2022,25.0,25.0,19.3,24.9,2042
1/30/2022,23.0,23.0,22.0,23.0,1001
1/31/2022,22.0,24.0,22.0,22.5,4000
2/2/2022,18.0,18.0,18.0,18.0,2
2/3/2022,14.5,14.5,14.5,14.5,5
2/6/2022,14.0,14.0,14.0,14.0,2
2/7/2022,16.8,16.8,16.8,16.8,100
2/8/2022,20.1,20.1,20.1,20.1,5
2/9/2022,16.1,24.0,16.1,21.0,3206
2/10/2022,24.0,24.1,24.0,24.1,1820
2/13/2022,28.9,28.9,28.9,28.9,2000
2/14/2022,23.2,27.0,23.2,26.7,11
2/15/2022,21.5,29.9,21.5,29.8,102
2/16/2022,24.8,24.8,24.8,24.8,5330
2/22/2022,29.5,29.5,29.5,29.5,3
2/24/2022,23.8,23.8,23.8,23.8,500
2/27/2022,19.2,19.2,19.2,19.2,1450
3/3/2022,15.4,15.4,15.4,15.4,1
3/6/2022,18.4,18.4,18.4,18.4,50
3/7/2022,22.0,22.0,20.0,21.9,35000
3/10/2022,22.0,22.0,22.0,22.0,1000
3/13/2022,22.0,22.0,20.0,20.1,2100
3/14/2022,18.1,24.1,18.1,24.0,2216
3/15/2022,24.0,24.0,24.0,24.0,100
3/16/2022,27.9,27.9,27.9,27.9,600
3/20/2022,29.9,29.9,22.4,22.9,21205
3/21/2022,27.0,27.0,27.0,27.0,12
3/22/2022,32.4,32.4,26.0,29.2,3216
3/23/2022,34.0,34.0,25.0,26.0,3423
