Date,Open,High,Low,Close,Volume
9/8/2022,26.1,26.1,26.1,26.1,1
11/13/2022,200.0,2000.0,200.0,594.4,9
11/17/2022,639.0,639.0,639.0,639.0,10
11/20/2022,702.9,702.9,702.9,702.9,10
11/21/2022,773.1,773.1,773.1,773.1,10
11/22/2022,850.4,850.4,850.4,850.4,20
11/23/2022,935.4,935.4,935.4,935.4,10
11/24/2022,1028.9,1028.9,1028.9,1028.9,10
11/27/2022,1131.7,1131.7,1131.7,1131.7,10
11/28/2022,1244.8,1244.8,1244.8,1244.8,10
11/29/2022,1369.2,1369.2,1369.2,1369.2,10
11/30/2022,1506.1,1506.1,1506.1,1506.1,10
12/1/2022,1656.7,1656.7,1656.7,1656.7,90
12/5/2022,1760.2,1822.3,1760.2,1791.3,20
12/6/2022,1970.4,1970.4,1970.4,1970.4,5
12/8/2022,2167.4,2167.4,2167.4,2167.4,5
12/11/2022,2384.0,2384.1,2384.0,2384.1,10
12/13/2022,2622.5,2622.5,2622.5,2622.5,1
12/18/2022,2884.0,2884.0,2884.0,2884.0,1
1/5/2023,2595.6,2595.6,2595.6,2595.6,1
2/23/2023,2336.2,2336.2,2336.2,2336.2,1
2/26/2023,2102.6,2102.6,2102.6,2102.6,1
2/28/2023,2312.8,2312.8,2312.8,2312.8,5
3/1/2023,2081.6,2081.6,2081.6,2081.6,1
3/7/2023,1873.5,1873.5,1873.5,1873.5,1
3/19/2023,1686.2,1686.2,1686.2,1686.2,1
4/25/2023,1854.8,1854.8,1854.8,1854.8,5
5/7/2023,1670.0,1670.0,1670.0,1670.0,1
5/16/2023,1774.3,1774.3,1503.0,1566.9,12
5/22/2023,1420.0,1420.0,1410.3,1418.4,6
5/23/2023,1280.0,1280.0,1276.6,1279.4,6
7/12/2023,1140.4,1140.4,1140.4,1140.4,1
7/13/2023,1254.4,1254.4,1254.4,1254.4,1
7/16/2023,1379.8,1379.8,1379.8,1379.8,1
7/20/2023,1517.7,1517.7,1517.7,1517.7,1
7/23/2023,1669.4,1669.4,1669.4,1669.4,1
7/27/2023,1836.3,1836.3,1836.3,1836.3,1
8/9/2023,2200.0,2200.0,2190.0,2199.8,48
8/10/2023,2300.0,2300.0,2300.0,2300.0,1
8/16/2023,2415.0,2415.0,2415.0,2415.0,1
8/17/2023,2600.0,2656.5,2600.0,2644.9,15
8/20/2023,2850.0,2850.0,2800.0,2825.0,2
8/27/2023,2825.0,2825.0,2825.0,2825.0,10
8/28/2023,2950.0,2950.0,2825.0,2856.3,24
8/29/2023,2980.0,2980.0,2980.0,2980.0,1
8/31/2023,3000.0,3050.0,3000.0,3016.7,3
9/5/2023,2715.1,2750.0,2715.1,2727.5,18
9/26/2023,2998.1,2998.1,2998.1,2998.1,5
11/8/2023,2700.0,2700.0,2700.0,2700.0,24
11/9/2023,2700.0,2700.0,2700.0,2700.0,10
11/29/2023,2430.0,2430.0,2430.0,2430.0,13
1/3/2024,2200.0,2200.0,2200.0,2200.0,2
1/4/2024,1980.0,2000.0,1980.0,1981.5,28
1/8/2024,1981.5,1981.5,1783.4,1795.8,32
1/9/2024,1795.8,1795.8,1616.3,1637.7,25
1/10/2024,1501.0,1600.0,1500.0,1523.0,22
1/18/2024,1500.0,1650.0,1500.0,1575.0,4
1/22/2024,1649.0,1650.0,1649.0,1649.5,10
1/23/2024,1660.0,1680.0,1660.0,1661.8,22
1/25/2024,1650.0,1650.0,1650.0,1650.0,9
1/30/2024,1700.0,1720.0,1700.0,1710.0,20
1/31/2024,1701.0,1701.0,1701.0,1701.0,5
2/1/2024,1700.0,1700.0,1700.0,1700.0,10
2/6/2024,1660.0,1660.0,1660.0,1660.0,10
